"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","fix"
"1",1,"Jeff Adrien\adrieje01","PF",24,"GSW",23,0,196,4.2,9.9,0.426,0,0,NA,4.2,9.9,0.426,2,3.5,0.579,4.2,6.4,10.7,1.8,0.7,0.9,1.7,5.1,10.5,"jeffadrien"
"2",2,"Arron Afflalo\afflaar01","SG",25,"DEN",69,69,2324,4.8,9.7,0.498,1.6,3.8,0.423,3.2,5.9,0.546,2.1,2.5,0.847,0.7,3.2,3.9,2.6,0.5,0.5,1.1,2.4,13.4,"arronafflalo"
"3",3,"Maurice Ager\agerma01","SG",26,"MIN",4,0,29,7.4,13.7,0.545,3.7,5,0.75,3.7,8.7,0.429,0,0,NA,0,2.5,2.5,1.2,1.2,0,5,5,18.6,"mauriceager"
"4",5,"Solomon Alabi\alabiso01","C",22,"TOR",12,0,59,1.8,9.2,0.2,0,0,NA,1.8,9.2,0.2,0,1.2,0,4.3,4.3,8.5,1.2,1.2,1.2,1.8,3.1,3.7,"solomonalabi"
"5",6,"Cole Aldrich\aldrico01","C",22,"OKC",18,0,142,2,3.8,0.533,0,0,NA,2,3.8,0.533,0.5,1,0.5,3.3,5.6,8.9,1,1.3,1.8,2,7.6,4.6,"colealdrich"
"6",7,"LaMarcus Aldridge\aldrila01","PF",25,"POR",81,81,3211,7.9,15.9,0.5,0,0.3,0.174,7.9,15.6,0.505,3.9,5,0.791,3.1,4.8,7.9,1.9,0.9,1.1,1.7,2.5,19.8,"lamarcusaldridge"
"7",8,"Malik Allen\allenma01","PF",32,"ORL",18,0,178,2.2,6.3,0.355,0,0,NA,2.2,6.3,0.355,0.2,0.4,0.5,2.4,4,6.5,0.8,0.2,0.8,0.6,6.1,4.7,"malikallen"
"8",9,"Ray Allen\allenra02","SG",35,"BOS",80,80,2890,6,12.2,0.491,2.1,4.7,0.444,3.9,7.5,0.52,2.4,2.7,0.881,0.6,2.8,3.4,2.7,1,0.2,1.5,1.8,16.5,"rayallen"
"9",10,"Tony Allen\allento01","SG",29,"MEM",72,31,1494,6,11.9,0.51,0.1,0.6,0.174,6,11.3,0.527,3.3,4.4,0.753,1.7,3,4.7,2.5,3.1,1.1,2.1,3.9,15.5,"tonyallen"
"10",11,"Al-Farouq Aminu\aminual01","SF",20,"LAC",81,14,1452,4,10.1,0.394,1.1,3.5,0.315,2.9,6.5,0.437,2.3,3,0.773,1.9,4.8,6.6,1.5,1.5,0.6,2.6,3,11.3,"alfarouqaminu"
"11",12,"Lou Amundson\amundlo01","PF",28,"GSW",46,7,691,4.3,9.5,0.454,0,0,NA,4.3,9.5,0.454,1.8,4.5,0.391,4.2,5.4,9.6,0.9,0.7,1.7,1.3,4.5,10.4,"louamundson"
"12",13,"Chris Andersen\anderch01","C",32,"DEN",45,0,732,4,6.7,0.599,0,0,0,4,6.7,0.603,4.2,6.6,0.637,3.7,7.1,10.8,1,1.1,2.9,1.2,3.9,12.3,"chrisandersen"
"13",15,"James Anderson\anderja01","SF",21,"SAS",26,2,286,3.9,10.2,0.383,2.3,5.8,0.391,1.6,4.4,0.371,1.8,2.3,0.778,0.3,2.6,2.9,2.3,0.4,0.8,1.6,3,11.8,"jamesanderson"
"14",16,"Ryan Anderson\anderry01","PF",22,"ORL",64,14,1424,5.7,13.3,0.43,3.4,8.6,0.393,2.3,4.7,0.5,2.4,3,0.812,3.3,5.7,9,1.3,0.8,1,1.2,3.5,17.2,"ryananderson"
"15",18,"Joel Anthony\anthojo01","C",28,"MIA",75,11,1463,1.3,2.4,0.535,0,0,NA,1.3,2.4,0.535,1.2,1.8,0.644,2.6,4,6.5,0.6,0.2,2.3,0.9,4.8,3.8,"joelanthony"
"16",20,"Trevor Ariza\arizatr01","SF",25,"NOH",75,75,2600,4.2,10.6,0.398,1.1,3.8,0.303,3.1,6.8,0.45,1.9,2.7,0.701,0.8,4.8,5.6,2.2,1.7,0.4,1.6,2.5,11.4,"trevorariza"
"17",23,"Darrell Arthur\arthuda01","PF",22,"MEM",80,9,1609,6.9,14,0.497,0,0.1,0,6.9,13.8,0.502,2.4,3,0.813,2.6,5.1,7.7,1.2,1.2,1.4,2,5.1,16.3,"darrellarthur"
"18",24,"Omer Asik\asikom01","C",24,"CHI",82,0,989,2.8,5.1,0.553,0,0,NA,2.8,5.1,0.553,2.7,5.3,0.503,4.1,7.1,11.1,1.2,0.7,2,2.3,5.6,8.3,"omerasik"
"19",25,"D.J. Augustin\augusdj01","PG",23,"CHA",82,82,2757,5.2,12.5,0.416,1.4,4.3,0.333,3.8,8.2,0.461,3.5,3.9,0.906,0.5,2.4,2.9,6.5,0.7,0,2,2,15.4,"djaugustin"
"20",26,"Luke Babbitt\babbilu01","SF",21,"POR",24,0,137,3.9,14.5,0.273,0.8,4.2,0.188,3.2,10.2,0.308,0.8,2.4,0.333,1.6,6.3,7.9,1.6,0.5,0.5,2.1,3.9,9.5,"lukebabbitt"
"21",28,"Marcus Banks\banksma01","PG",29,"TOR",3,0,22,0,3.3,0,0,0,NA,0,3.3,0,9.8,13.1,0.75,0,1.6,1.6,4.9,1.6,0,3.3,6.5,9.8,"marcusbanks"
"22",29,"Leandro Barbosa\barbole01","SG",28,"TOR",58,0,1395,7.6,16.9,0.45,1.9,5.5,0.338,5.7,11.4,0.505,2.8,3.5,0.796,0.4,2.2,2.6,3.1,1.3,0.2,2.2,2.9,19.8,"leandrobarbosa"
"23",30,"J.J. Barea\bareajo01","PG",26,"DAL",81,2,1669,6.1,14,0.439,1.4,4.1,0.349,4.7,9.9,0.476,2.9,3.4,0.847,0.6,2.8,3.4,6.8,0.6,0,2.9,2.9,16.6,"jjbarea"
"24",31,"Andrea Bargnani\bargnan01","C",25,"TOR",66,66,2353,8,17.9,0.448,1.2,3.4,0.345,6.9,14.5,0.472,4.4,5.4,0.82,1.1,4.1,5.2,1.8,0.5,0.7,2.3,2.4,21.6,"andreabargnani"
"25",32,"Matt Barnes\barnema02","SF",30,"LAL",53,0,1020,4.6,9.8,0.47,1.2,3.8,0.318,3.4,6.1,0.564,2.1,2.7,0.779,2.6,5.5,8,2.5,1.4,0.8,2,4.5,12.6,"mattbarnes"
