"","Rk","Player","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP","fix"
"1",1,"Jeff Adrien\adrieje01","PF",24,"GSW",23,196,11.3,0.457,0,0.352,13,20.7,16.8,7.3,1,1.9,12.6,16.1,NA,0.1,0.1,0.2,0.051,NA,-3.9,-1.2,-5.1,-0.2,"jeffadrien"
"2",2,"Arron Afflalo\afflaar01","SG",25,"DEN",69,2324,13.6,0.62,0.396,0.26,2.3,9.9,6.2,10.9,0.7,1,9.2,14.8,NA,4.8,1.4,6.2,0.128,NA,2.4,-0.2,2.1,2.4,"arronafflalo"
"3",3,"Maurice Ager\agerma01","SG",26,"MIN",4,29,10.1,0.682,0.364,0,0,7.9,3.8,6,1.7,0,26.7,22,NA,0,0,0,-0.015,NA,-2.7,-3.6,-6.3,0,"mauriceager"
"4",5,"Solomon Alabi\alabiso01","C",22,"TOR",12,59,2,0.189,0,0.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,NA,-0.2,0,-0.2,-0.142,NA,-8.2,0,-8.2,-0.1,"solomonalabi"
"5",6,"Cole Aldrich\aldrico01","C",22,"OKC",18,142,7,0.537,0,0.267,11.1,17.5,14.4,4,1.8,3.6,32.3,7.9,NA,0,0.2,0.2,0.066,NA,-3.4,2.6,-0.8,0,"colealdrich"
"6",7,"LaMarcus Aldridge\aldrila01","PF",25,"POR",81,3211,21.5,0.549,0.016,0.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,NA,7.6,3.5,11.1,0.166,NA,1.9,0.5,2.4,3.5,"lamarcusaldridge"
"7",8,"Malik Allen\allenma01","PF",32,"ORL",18,178,3.3,0.361,0,0.065,8.1,12.8,10.5,3.3,0.3,1.7,8.6,9.1,NA,-0.1,0.2,0.2,0.046,NA,-5.3,1.4,-3.9,-0.1,"malikallen"
"8",9,"Ray Allen\allenra02","SG",35,"BOS",80,2890,16.4,0.615,0.387,0.224,2.3,9,5.8,12.7,1.4,0.4,9.8,19.8,NA,5.8,4.2,10,0.166,NA,3.2,0.4,3.6,4.1,"rayallen"
"9",10,"Tony Allen\allento01","SG",29,"MEM",72,1494,18.3,0.562,0.047,0.37,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,NA,2,2.7,4.7,0.152,NA,0.7,2.9,3.6,2.1,"tonyallen"
"10",11,"Al-Farouq Aminu\aminual01","SF",20,"LAC",81,1452,9.6,0.499,0.352,0.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,NA,-0.8,1.4,0.7,0.022,NA,-3.1,0.1,-3,-0.4,"alfarouqaminu"
