"","Rk","Player","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP","fix"
"11",12,"Lou Amundson\amundlo01","PF",28,"GSW",46,691,11.5,0.452,0,0.475,13,17.4,15.2,3.5,1,3.6,9.8,15.7,NA,0.2,0.5,0.6,0.044,NA,-4,-0.9,-4.9,-0.5,"louamundson"
"12",13,"Chris Andersen\anderch01","C",32,"DEN",45,732,19,0.636,0.007,0.985,12.2,22.1,17.3,4,1.6,6,11.3,13.5,NA,1.9,1.2,3.2,0.207,NA,0.2,3.1,3.3,1,"chrisandersen"
"13",15,"James Anderson\anderja01","SF",21,"SAS",26,286,8.5,0.529,0.568,0.222,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,NA,0.1,0.2,0.3,0.051,NA,-1.9,-1.5,-3.4,-0.1,"jamesanderson"
"14",16,"Ryan Anderson\anderry01","PF",22,"ORL",64,1424,19,0.591,0.65,0.223,10.8,18.1,14.5,6.2,1.1,2.1,7.8,20.4,NA,4,2.5,6.4,0.216,NA,4.1,0.2,4.4,2.3,"ryananderson"
"15",18,"Joel Anthony\anthojo01","C",28,"MIA",75,1463,7.3,0.583,0,0.737,9,12.4,10.8,2.2,0.4,5,21.5,5.3,NA,1.2,2.1,3.3,0.107,NA,-2.2,3.1,0.9,1.1,"joelanthony"
"16",20,"Trevor Ariza\arizatr01","SF",25,"NOH",75,2600,11.3,0.487,0.356,0.259,2.8,16.4,9.5,10,2.5,1,12.2,17.7,NA,-0.4,3.8,3.4,0.062,NA,-1.2,2.3,1.1,2,"trevorariza"
"17",23,"Darrell Arthur\arthuda01","PF",22,"MEM",80,1609,15.7,0.534,0.01,0.215,8.5,17,12.7,5.4,1.7,3.2,11.4,21.6,NA,1.5,2.2,3.8,0.113,NA,-1.6,0.3,-1.3,0.3,"darrellarthur"
"18",24,"Omer Asik\asikom01","C",24,"CHI",82,989,11.8,0.559,0,1.028,13.7,22.3,18.1,4.7,1.1,4.3,23.8,12.5,NA,0.5,2.2,2.7,0.13,NA,-3.5,3,-0.5,0.4,"omerasik"
"19",25,"D.J. Augustin\augusdj01","PG",23,"CHA",82,2757,15.9,0.541,0.348,0.31,1.7,8.3,4.9,31.1,1,0.1,12.5,21.2,NA,4.9,1.3,6.2,0.108,NA,2.4,-2.8,-0.3,1.1,"djaugustin"
"20",26,"Luke Babbitt\babbilu01","SF",21,"POR",24,137,1,0.305,0.291,0.164,5.1,22.4,13.4,6.9,0.8,1.2,11.9,22.8,NA,-0.6,0.1,-0.4,-0.143,NA,-9.6,-2.5,-12,-0.3,"lukebabbitt"
"21",28,"Marcus Banks\banksma01","PG",29,"TOR",3,22,6.8,0.543,0,4,0,5.5,2.7,17.2,2.3,0,26.6,15.3,NA,0,0,0,0.011,NA,-5,-2.8,-7.8,0,"marcusbanks"
"22",29,"Leandro Barbosa\barbole01","SG",28,"TOR",58,1395,15.3,0.539,0.326,0.21,1.2,7.4,4.2,14.6,1.9,0.3,10.5,25.6,NA,1.4,0.1,1.5,0.052,NA,1.4,-3.5,-2.1,0,"leandrobarbosa"
"23",30,"J.J. Barea\bareajo01","PG",26,"DAL",81,1669,14.8,0.535,0.291,0.242,2.1,8.8,5.6,31.2,0.9,0,15.9,23.9,NA,1.9,1.4,3.2,0.093,NA,0.6,-1.7,-1.1,0.4,"jjbarea"
"24",31,"Andrea Bargnani\bargnan01","C",25,"TOR",66,2353,16.4,0.533,0.19,0.298,3.6,13.9,8.6,8.8,0.7,1.5,10.3,28.2,NA,2.2,0.3,2.5,0.052,NA,0.2,-2.9,-2.7,-0.4,"andreabargnani"
"25",32,"Matt Barnes\barnema02","SF",30,"LAL",53,1020,14.6,0.569,0.384,0.276,8.4,16.7,12.7,10.5,2,1.6,15.6,16.6,NA,1.4,1.6,3,0.142,NA,0.6,1.2,1.8,1,"mattbarnes"
"26",34,"Brandon Bass\bassbr01","PF",25,"ORL",76,1980,15.9,0.571,0.003,0.361,8.1,16.7,12.5,5,0.7,2,11.5,19.8,NA,3.2,3.1,6.3,0.153,NA,-1.4,0.9,-0.5,0.7,"brandonbass"
"27",35,"Tony Battie\battito01","C",34,"PHI",38,377,9.5,0.489,0.031,0.146,5.2,25.1,15.1,4.8,0.7,3,10.5,13.9,NA,0,0.6,0.6,0.075,NA,-5.3,0.8,-4.5,-0.2,"tonybattie"
"28",37,"Nicolas Batum\batumni01","SF",22,"POR",80,2522,14.8,0.563,0.424,0.203,5.1,12.8,8.8,8.1,1.5,1.6,8.6,17.8,NA,4.4,2.3,6.6,0.126,NA,1.7,0,1.7,2.4,"nicolasbatum"
"29",39,"Michael Beasley\beaslmi01","SF",22,"MIN",73,2361,15.5,0.51,0.132,0.234,5.4,14.1,9.6,12.3,1.1,1.7,12.4,28.3,NA,0.7,1,1.7,0.035,NA,-0.8,-1.6,-2.4,-0.3,"michaelbeasley"
"30",40,"Rodrigue Beaubois\beaubro01","PG",22,"DAL",28,496,11.4,0.5,0.372,0.135,1.7,10.2,6.1,21.9,2.1,1.2,16.6,26.7,NA,-0.4,0.7,0.2,0.022,NA,-1.4,-0.1,-1.5,0.1,"rodriguebeaubois"
"31",41,"Marco Belinelli\belinma01","SG",24,"NOH",80,1957,12.1,0.56,0.469,0.181,1.1,8.4,4.7,8,1.1,0.3,9.4,20,NA,1.9,1.5,3.4,0.084,NA,0.7,-1.7,-1.1,0.5,"marcobelinelli"
"32",42,"Charlie Bell\bellch01","SG",31,"GSW",19,171,4.7,0.357,0.488,0.093,3.9,8.1,6,10.1,1.8,0.4,11.8,13.1,NA,-0.2,0,-0.1,-0.04,NA,-4.5,-1.9,-6.4,-0.2,"charliebell"
"33",43,"Raja Bell\bellra01","SG",34,"UTA",68,2097,8.2,0.528,0.413,0.218,1.8,8.4,5.1,8.3,1.4,0.5,11,12.6,NA,1.2,0.5,1.7,0.04,NA,-0.8,-1.1,-1.9,0.1,"rajabell"
"34",45,"Andris Biedrins\biedran01","C",24,"GSW",59,1397,12.1,0.526,0,0.117,11.5,23.3,17.3,6,1.9,2.8,16.9,10.6,NA,1.1,1.5,2.6,0.088,NA,-2.3,1.9,-0.3,0.6,"andrisbiedrins"
"35",47,"DeJuan Blair\blairde01","PF",21,"SAS",81,1734,17.1,0.524,0.003,0.235,14.8,22.9,18.9,7.1,2.8,1.7,14.9,20.1,NA,1.5,3.2,4.8,0.132,NA,-1.1,2.2,1.1,1.3,"dejuanblair"
"36",48,"Steve Blake\blakest01","PG",30,"LAL",79,1581,7.5,0.5,0.631,0.098,1.4,9.5,5.6,15,1.3,0.1,18.6,11.3,NA,0.3,1.5,1.8,0.055,NA,-1.9,-0.4,-2.3,-0.1,"steveblake"
"37",49,"Andray Blatche\blatcan01","PF",24,"WAS",64,2172,16.9,0.497,0.019,0.296,9.3,18.7,13.8,11.7,2.3,1.8,13.7,25.5,NA,0.3,2.1,2.4,0.053,NA,-1,0.6,-0.5,0.8,"andrayblatche"
"38",50,"Eric Bledsoe\bledser01","PG",21,"LAC",81,1841,10.8,0.499,0.239,0.274,4.4,9.8,7.1,24.2,2.6,1.1,26.3,17.9,NA,-1.3,1.6,0.3,0.008,NA,-2.6,0.6,-2,0,"ericbledsoe"
"39",51,"Keith Bogans\boganke01","SG",30,"CHI",82,1461,9,0.559,0.772,0.104,1.6,10.1,5.9,10.1,1.4,0.5,11.3,11.4,NA,1.4,2.2,3.6,0.118,NA,-0.4,0.4,0,0.7,"keithbogans"
"40",52,"Andrew Bogut\bogutan01","C",26,"MIL",65,2297,16.7,0.496,0.005,0.292,9.8,27.1,18.3,10.4,1.1,5.8,13,19.6,NA,0.3,5.1,5.4,0.112,NA,-2.6,5,2.4,2.6,"andrewbogut"
"41",53,"Matt Bonner\bonnema01","PF",30,"SAS",66,1432,13.5,0.617,0.62,0.116,5,14.2,9.7,6.2,0.9,1,6.5,13.4,NA,3,1.4,4.4,0.147,NA,2.1,-0.1,2,1.5,"mattbonner"
"42",54,"Trevor Booker\booketr01","PF",23,"WAS",65,1063,15.3,0.582,0.004,0.399,10.2,17,13.5,5.2,1.4,3,11.3,13.9,NA,1.8,0.8,2.6,0.119,NA,-1,0.3,-0.7,0.3,"trevorbooker"
"43",55,"Carlos Boozer\boozeca01","C",29,"CHI",59,1882,18.8,0.542,0,0.289,8.3,26.3,17.6,14.3,1.3,0.7,13.5,26.9,NA,1.9,3.9,5.8,0.149,NA,-0.7,1.4,0.7,1.3,"carlosboozer"
"44",56,"Chris Bosh\boshch01","PF",26,"MIA",77,2795,19.4,0.569,0.024,0.446,6.4,20,13.6,8.9,1.1,1.4,9.8,23.5,NA,6.1,4.3,10.3,0.177,NA,0.1,0.3,0.4,1.7,"chrisbosh"
"45",57,"Earl Boykins\boykiea01","PG",34,"MIL",57,862,17.6,0.526,0.202,0.233,2,5.6,3.7,30.9,2.4,0.3,11.8,23.9,NA,1.1,1.1,2.3,0.125,NA,0.8,-1.8,-1,0.2,"earlboykins"
"46",58,"Craig Brackins\brackcr01","PF",23,"PHI",3,33,0.1,0.25,0.313,0,7,7,7,4.6,1.6,0,0,22.3,NA,-0.1,0,-0.1,-0.154,NA,-7.8,-3.7,-11.5,-0.1,"craigbrackins"
"47",59,"Avery Bradley\bradlav01","PG",20,"BOS",31,162,2.2,0.36,0.075,0.179,3.2,9.3,6.5,11.9,3,0,18.1,26.1,NA,-0.8,0.3,-0.5,-0.139,NA,-9.6,0,-9.7,-0.3,"averybradley"
"48",60,"Elton Brand\brandel01","PF",31,"PHI",81,2809,18.5,0.553,0.001,0.278,9.7,18,13.9,7.1,1.7,2.9,8.4,19.7,NA,5.1,4.4,9.4,0.161,NA,0.5,1.9,2.4,3.1,"eltonbrand"
"49",62,"Ronnie Brewer\brewero02","SG",25,"CHI",81,1781,13.8,0.518,0.063,0.311,3.7,13.2,8.6,12.1,3.2,0.9,10.2,13.9,NA,1.7,3.8,5.4,0.147,NA,-1.4,3.2,1.8,1.7,"ronniebrewer"
"50",63,"Jon Brockman\brockjo01","C",23,"MIL",63,677,9.6,0.567,0,0.628,12.4,19.4,15.8,4.2,1.1,0.3,16.7,10,NA,0.8,1,1.9,0.132,NA,-3,0.7,-2.2,0,"jonbrockman"
"51",66,"Kwame Brown\brownkw01","C",28,"CHA",66,1714,12.8,0.55,0,0.616,10.3,21.6,15.9,4.1,0.8,1.8,12.6,14.9,NA,1.8,1.7,3.5,0.097,NA,-2.2,-0.1,-2.3,-0.1,"kwamebrown"
"52",67,"Shannon Brown\brownsh01","SG",25,"LAL",82,1568,13.6,0.518,0.33,0.157,2.6,8.5,5.7,10,2.3,0.8,9.8,22.2,NA,1.1,1.9,3.1,0.093,NA,-0.6,-1.1,-1.7,0.1,"shannonbrown"
"53",68,"Kobe Bryant\bryanko01","SG",32,"LAL",82,2779,23.9,0.548,0.217,0.356,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,NA,6.8,3.5,10.3,0.178,NA,4.7,-0.9,3.8,4.1,"kobebryant"
"54",69,"Chase Budinger\budinch01","SF",22,"HOU",78,1738,14.2,0.534,0.418,0.21,3.4,15,9.2,11.5,1.2,0.7,8.5,19.9,NA,2.2,1.2,3.4,0.095,NA,0.6,-1.3,-0.7,0.6,"chasebudinger"
"55",70,"Caron Butler\butleca01","SF",30,"DAL",29,867,14.2,0.523,0.172,0.233,3.1,12.5,8,9.1,1.7,0.7,10.5,25.1,NA,0.2,1,1.2,0.067,NA,-1.4,0,-1.4,0.1,"caronbutler"
"56",72,"Andrew Bynum\bynuman01","C",23,"LAL",54,1500,21.1,0.606,0,0.506,13.3,24.7,19.2,7.7,0.7,5.4,12.8,17.6,NA,3.8,2.8,6.6,0.21,NA,0.5,2.8,3.3,2,"andrewbynum"
"57",73,"Will Bynum\bynumwi01","PG",28,"DET",61,1125,15.2,0.524,0.123,0.3,1.6,6.7,4,28.6,2.5,0.3,15.3,22.5,NA,1.1,0.4,1.5,0.066,NA,-0.2,-2.9,-3.1,-0.3,"willbynum"
"58",74,"Jose Calderon\caldejo01","PG",29,"TOR",68,2102,16.3,0.522,0.262,0.173,1.7,9.9,5.7,43,2,0.3,18.8,16.8,NA,3.2,0.4,3.7,0.084,NA,1.4,-2.7,-1.3,0.4,"josecalderon"
"59",75,"Marcus Camby\cambyma01","C",36,"POR",59,1540,14.8,0.426,0.003,0.238,13.8,35.2,24.1,11.7,1.4,5,16,11.7,NA,0.8,3,3.7,0.116,NA,-2.9,5.2,2.3,1.7,"marcuscamby"
"60",76,"Derrick Caracter\caracde01","C",22,"LAL",41,215,10,0.532,0,0.348,10.3,12.2,11.3,5.1,1,3.5,20,20.2,NA,0,0.3,0.3,0.057,NA,-4.5,-0.3,-4.9,-0.2,"derrickcaracter"
"61",77,"Brian Cardinal\cardibr01","SF",33,"DAL",56,618,9.7,0.672,0.87,0.18,2,8.9,5.6,9.1,2,0.9,13.6,9.5,NA,1,0.7,1.7,0.132,NA,1.1,1.3,2.4,0.7,"briancardinal"
"62",80,"Matt Carroll\carroma01","SG",30,"CHA",54,582,12.2,0.53,0.231,0.261,2.5,11.7,7.1,6.9,1.6,0.8,9.4,19.8,NA,0.3,0.5,0.8,0.062,NA,-2.3,-2,-4.3,-0.3,"mattcarroll"
"63",83,"Omri Casspi\casspom01","SF",22,"SAC",71,1702,11.7,0.517,0.452,0.185,4.8,16,10.3,6.6,1.6,0.6,10.3,16.7,NA,1.1,1.3,2.5,0.069,NA,-0.6,-0.7,-1.3,0.3,"omricasspi"
"64",84,"Mario Chalmers\chalmma01","PG",24,"MIA",70,1579,10.3,0.538,0.595,0.16,1,9.5,5.5,16.8,2.5,0.3,18,15,NA,0.7,2.3,2.9,0.089,NA,-0.3,0.3,0,0.8,"mariochalmers"
"65",85,"Tyson Chandler\chandty01","C",28,"DAL",74,2059,18.4,0.697,0,0.725,12.2,26.6,19.7,2.4,0.9,3,14.1,14.2,NA,5.8,3.5,9.4,0.218,NA,0.5,1.7,2.2,2.2,"tysonchandler"
"66",87,"Josh Childress\childjo01","SG",27,"PHO",54,894,13,0.567,0.075,0.276,8.9,11.1,10,7,1.9,1.9,15.5,14.3,NA,0.8,0.6,1.4,0.076,NA,-0.7,1.3,0.5,0.6,"joshchildress"
"67",90,"Jason Collins\collija04","C",32,"ATL",49,593,5.4,0.539,0.014,0.577,6.1,14.5,10.4,5.3,0.8,1.2,22.6,9.2,NA,0.1,0.5,0.6,0.049,NA,-4.4,0.5,-3.9,-0.3,"jasoncollins"
"68",91,"Sherron Collins\collish01","PG",23,"CHA",20,66,3.6,0.334,0.4,0.04,0,9.2,4.6,19.6,1.6,0,13.6,20.9,NA,-0.2,0,-0.2,-0.121,NA,-6.9,-3.3,-10.2,-0.1,"sherroncollins"
"69",92,"Darren Collison\collida01","PG",23,"IND",79,2360,15.6,0.534,0.143,0.267,1.9,8.6,5.3,28.9,1.9,0.4,16.6,21.9,NA,2.1,2.2,4.3,0.087,NA,0.2,-0.9,-0.7,0.8,"darrencollison"
"70",93,"Nick Collison\collini01","C",30,"OKC",71,1524,10.8,0.6,0,0.302,9.5,14.6,12.1,6.7,1.4,1.5,16.7,9.8,NA,2.1,1.5,3.6,0.113,NA,-0.3,1.4,1,1.2,"nickcollison"
"71",94,"Mike Conley\conlemi01","PG",23,"MEM",81,2872,15.9,0.521,0.228,0.259,1.3,9,5.1,28,2.6,0.5,14.2,19.4,NA,3.4,3.2,6.6,0.111,NA,1.4,-0.1,1.3,2.4,"mikeconley"
"72",95,"Brian Cook\cookbr01","PF",30,"LAC",40,447,11.6,0.534,0.465,0.141,5,20,12.6,5.6,1.4,1.9,12.2,20.5,NA,0.1,0.5,0.6,0.064,NA,-1.8,-1.6,-3.5,-0.2,"briancook"
"73",96,"Daequan Cook\cookda02","SG",23,"OKC",43,598,12.8,0.63,0.851,0.11,1.6,12.1,7,5.3,1.2,0.1,8.2,15.7,NA,1.2,0.4,1.6,0.126,NA,2.5,-2.7,-0.2,0.3,"daequancook"
"74",97,"Marcus Cousin\cousima01","C",24,"UTA",4,18,7.8,0.667,0,0,0,20.3,10.1,0,0,4.5,25,10.2,NA,0,0,0,0.008,NA,-7.5,-2.4,-9.9,0,"marcuscousin"
"75",98,"DeMarcus Cousins\couside01","C",20,"SAC",81,2309,14.6,0.484,0.018,0.4,10.4,24.4,17.2,14.7,1.9,2.1,18.5,27.2,NA,-1.9,2.9,1.1,0.022,NA,-2.9,1.5,-1.4,0.4,"demarcuscousins"
"76",99,"Jamal Crawford\crawfja01","SG",30,"ATL",76,2297,14.2,0.545,0.399,0.297,1.2,5.6,3.4,17.7,1.3,0.5,12.8,23.4,NA,1.9,1.4,3.4,0.071,NA,0.7,-2.7,-2,0,"jamalcrawford"
"77",102,"Stephen Curry\curryst01","PG",22,"GSW",74,2489,19.4,0.595,0.325,0.216,2.3,10.9,6.5,28.1,2.2,0.6,16.4,24.4,NA,5.4,1.3,6.6,0.128,NA,3.5,-1.6,1.9,2.4,"stephencurry"
"78",103,"Samuel Dalembert\dalemsa01","C",29,"SAC",80,1938,14.1,0.509,0.004,0.261,12.1,26.9,19.3,5.3,0.9,4.3,17.3,17.1,NA,0.4,2.5,2.9,0.072,NA,-3.6,1.6,-2,0,"samueldalembert"
"79",104,"Erick Dampier\dampier01","C",35,"MIA",51,815,9.7,0.591,0.011,0.494,8.2,17.1,12.9,3.8,0.9,4.5,22.8,8.1,NA,0.5,1.4,1.9,0.109,NA,-2.8,3,0.3,0.5,"erickdampier"
"80",105,"Antonio Daniels\daniean01","PG",35,"PHI",4,35,6.7,0.51,0.4,0.4,0,16.5,8.2,7.9,0,0,14.5,9.1,NA,0,0,0,0.044,NA,-4.9,-1.1,-6,0,"antoniodaniels"
"81",106,"Marquis Daniels\daniema01","SF",30,"BOS",49,938,11.7,0.527,0.091,0.246,3.3,11,7.4,10.6,2.2,1.8,12.9,15.1,NA,0.3,1.7,2,0.103,NA,-2.3,2.6,0.3,0.6,"marquisdaniels"
"82",108,"Ed Davis\davised01","PF",21,"TOR",65,1602,15.8,0.583,0,0.343,12.1,22.3,17.1,3.8,1.3,3.2,10.1,13.3,NA,2.9,1.1,4,0.119,NA,-0.1,0.5,0.3,0.9,"eddavis"
"83",109,"Glen Davis\davisgl01","C",25,"BOS",78,2298,12.8,0.499,0.019,0.331,5.7,16.4,11.4,6.6,1.8,1,8.5,20.9,NA,0.6,4.3,4.9,0.102,NA,-2.8,1.4,-1.4,0.3,"glendavis"
"84",110,"Austin Daye\dayeau01","SF",22,"DET",72,1446,13,0.518,0.365,0.229,5.2,18.6,11.6,8.5,1.5,2.2,10.2,18.6,NA,1.2,0.9,2.1,0.07,NA,-0.6,-0.7,-1.3,0.3,"austindaye"
"85",111,"Carlos Delfino\delfica01","SF",28,"MIL",49,1590,13.1,0.517,0.554,0.146,1.7,13.2,7.3,12.1,2.6,0.4,9.5,17.7,NA,0.9,2.6,3.5,0.105,NA,0.5,1.5,2.1,1.6,"carlosdelfino"
"86",112,"Luol Deng\denglu01","SF",25,"CHI",82,3208,15.5,0.549,0.288,0.291,4.4,12.8,8.7,11.9,1.3,1.1,10.7,20.9,NA,4.7,5.2,9.9,0.149,NA,1.2,1,2.2,3.4,"luoldeng"
"87",113,"DeMar DeRozan\derozde01","SG",21,"TOR",82,2851,14.5,0.53,0.045,0.348,3,10.2,6.5,8.6,1.5,0.8,9.8,23.2,NA,2.8,0.5,3.2,0.055,NA,-0.6,-1.9,-2.4,-0.3,"demarderozan"
"88",114,"Boris Diaw\diawbo01","PF",28,"CHA",82,2778,13.9,0.558,0.292,0.159,4.5,13.6,9,20.6,1.4,1.3,16.7,16.8,NA,2.4,2.3,4.8,0.082,NA,0.8,0.7,1.5,2.5,"borisdiaw"
"89",115,"Ike Diogu\dioguik01","PF",27,"LAC",36,470,13.7,0.59,0,0.419,10.3,18.3,14.3,0.7,0.3,0.5,11.2,18.7,NA,0.7,0.3,1,0.104,NA,-2.9,-4.7,-7.6,-0.7,"ikediogu"
"90",116,"DeSagana Diop\diopde01","C",29,"CHA",16,181,5.4,0.347,0,0.458,8,18.9,13.4,5.7,1.2,6.7,27.6,10.3,NA,-0.3,0.3,-0.1,-0.016,NA,-7.4,4.2,-3.3,-0.1,"desaganadiop"
"91",117,"Keyon Dooling\doolike01","PG",30,"MIL",80,1757,11.3,0.509,0.451,0.181,0.8,7.1,3.9,23.4,1.6,0.2,14,17.3,NA,0.8,2.1,2.9,0.08,NA,-1,-1.2,-2.2,-0.1,"keyondooling"
"92",118,"Joey Dorsey\dorsejo01","C",27,"TOR",43,522,14.2,0.529,0,0.657,17.5,25.8,21.6,7.4,2.4,2.5,23.4,14.3,NA,0.2,0.5,0.8,0.072,NA,-1.6,1.6,0,0.3,"joeydorsey"
"93",119,"Toney Douglas\douglto01","SG",24,"NYK",81,1971,15.2,0.534,0.507,0.142,3.7,10.5,7.1,19.5,2.3,0.1,10,20.1,NA,3,1.2,4.2,0.101,NA,2.5,-1.8,0.7,1.4,"toneydouglas"
"94",120,"Chris Douglas-Roberts\douglch01","SF",24,"MIL",44,884,11.5,0.517,0.168,0.326,0.9,11,5.8,9.8,1.8,1.2,10.1,18.4,NA,0.4,1.3,1.6,0.088,NA,-2.8,0.6,-2.3,-0.1,"chrisdouglasroberts"
"95",121,"Zabian Dowdell\dowdeza01","PG",26,"PHO",24,292,11.7,0.457,0.08,0.136,2,5.9,4,27.7,3.5,0.5,18,25,NA,-0.4,0.2,-0.1,-0.019,NA,-3.5,-1,-4.6,-0.2,"zabiandowdell"
"96",123,"Jared Dudley\dudleja01","SF",25,"PHO",82,2140,15.6,0.598,0.402,0.347,6,11.2,8.6,7.6,2.1,0.7,9.6,16.9,NA,4.2,1.4,5.6,0.126,NA,2.6,0.2,2.8,2.5,"jareddudley"
"97",124,"Chris Duhon\duhonch01","PG",28,"ORL",51,774,5.6,0.446,0.403,0.194,1.4,6.3,3.9,22.4,1.1,0.2,30.3,12,NA,-0.7,0.9,0.2,0.014,NA,-4.7,-0.4,-5.1,-0.6,"chrisduhon"
"98",125,"Tim Duncan\duncati01","C",34,"SAS",76,2156,21.9,0.537,0.005,0.307,9.3,26.8,18.3,15.7,1.2,4.8,11.4,22.9,NA,3.7,4,7.7,0.171,NA,-0.1,3.9,3.8,3.2,"timduncan"
"99",126,"Mike Dunleavy\dunlemi02","SG",30,"IND",61,1683,14.6,0.593,0.488,0.24,1.9,16.2,9.1,10.1,1.2,1.3,10.7,16.9,NA,2.6,1.9,4.5,0.129,NA,1.1,0.2,1.3,1.4,"mikedunleavy"
"100",127,"Ronald Dupree\duprero01","SF",30,"TOR",3,13,0.5,0.25,0.25,0,0,28,13.7,10.7,0,0,0,13.8,NA,0,0,0,-0.094,NA,-8.2,-2.5,-10.7,0,"ronalddupree"
"101",128,"Kevin Durant\duranke01","SF",22,"OKC",78,3038,23.6,0.589,0.269,0.439,2.3,17.7,10.3,13.2,1.5,1.8,10.6,30.6,NA,8.6,3.3,12,0.189,NA,3.7,-0.8,2.9,3.7,"kevindurant"
"102",129,"Devin Ebanks\ebankde01","SG",21,"LAL",20,118,19.4,0.507,0.098,0.451,14.9,11.1,13,2.8,1.8,3.2,8.9,25.9,NA,0.2,0.2,0.4,0.144,NA,-1.8,-2.5,-4.3,-0.1,"devinebanks"
"103",130,"Wayne Ellington\ellinwa01","SG",23,"MIN",62,1181,8.6,0.488,0.305,0.134,2.4,7.9,5.1,9.4,1.2,0.2,11.2,17.1,NA,0.1,0.1,0.3,0.01,NA,-2.2,-2.3,-4.6,-0.8,"wayneellington"
"104",131,"Monta Ellis\ellismo01","SG",25,"GSW",80,3227,18.6,0.536,0.235,0.268,1.5,8.5,4.9,23.4,2.6,0.5,12.3,28.1,NA,4.3,1.7,6,0.089,NA,2,-1.8,0.2,1.8,"montaellis"
"105",132,"Francisco Elson\elsonfr01","C",34,"UTA",62,610,8.9,0.529,0,0.274,6.9,16,11.4,7.9,1.8,1.9,20.2,11.9,NA,0.1,0.5,0.6,0.046,NA,-3.5,0.4,-3.1,-0.2,"franciscoelson"
"106",133,"Melvin Ely\elyme01","C",32,"DEN",30,366,8.3,0.573,0,0.412,8.8,14.4,11.7,5.3,0.5,2.3,18.9,9,NA,0.3,0.3,0.6,0.083,NA,-2,1,-1,0.1,"melvinely"
"107",135,"Jeremy Evans\evansje01","SF",23,"UTA",49,463,18.8,0.678,0.009,0.322,9.3,16.1,12.6,8.5,1.9,3,12.6,14.9,NA,1.2,0.4,1.6,0.167,NA,1,0.2,1.2,0.4,"jeremyevans"
"108",137,"Reggie Evans\evansre01","PF",30,"TOR",30,798,12.4,0.466,0.01,0.854,17.2,34.4,25.6,6.4,1.9,0.6,21.6,10.1,NA,0.5,0.8,1.3,0.077,NA,-1.8,1.4,-0.4,0.3,"reggieevans"
