"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","X","ORtg","DRtg","fix"
"1",1,"Jeff Adrien\adrieje01","PF",24,"GSW",23,0,196,5.9,13.9,0.426,0,0,NA,5.9,13.9,0.426,2.8,4.9,0.579,5.9,9,15,2.6,1,1.3,2.3,7.2,14.7,NA,102,110,"jeffadrien"
"2",2,"Arron Afflalo\afflaar01","SG",25,"DEN",69,69,2324,6.7,13.5,0.498,2.3,5.4,0.423,4.5,8.2,0.546,3,3.5,0.847,1,4.5,5.4,3.6,0.7,0.7,1.5,3.3,18.7,NA,123,111,"arronafflalo"
"3",3,"Maurice Ager\agerma01","SG",26,"MIN",4,0,29,10.3,18.9,0.545,5.1,6.9,0.75,5.1,12,0.429,0,0,NA,0,3.4,3.4,1.7,1.7,0,6.9,6.9,25.7,NA,94,114,"mauriceager"
"4",5,"Solomon Alabi\alabiso01","C",22,"TOR",12,0,59,2.6,13.1,0.2,0,0,NA,2.6,13.1,0.2,0,1.8,0,6.1,6.1,12.3,1.8,1.8,1.8,2.6,4.4,5.3,NA,61,112,"solomonalabi"
"5",6,"Cole Aldrich\aldrico01","C",22,"OKC",18,0,142,2.9,5.5,0.533,0,0,NA,2.9,5.5,0.533,0.7,1.5,0.5,4.7,8,12.8,1.5,1.8,2.6,2.9,10.9,6.6,NA,98,104,"colealdrich"
"6",7,"LaMarcus Aldridge\aldrila01","PF",25,"POR",81,81,3211,12,24.1,0.5,0.1,0.4,0.174,12,23.7,0.505,6,7.5,0.791,4.7,7.3,12.1,2.9,1.4,1.6,2.6,3.7,30.1,NA,114,107,"lamarcusaldridge"
"7",8,"Malik Allen\allenma01","PF",32,"ORL",18,0,178,3.3,9.2,0.355,0,0,NA,3.3,9.2,0.355,0.3,0.6,0.5,3.5,5.9,9.5,1.2,0.3,1.2,0.9,8.9,6.8,NA,92,105,"malikallen"
"8",9,"Ray Allen\allenra02","SG",35,"BOS",80,80,2890,8.8,18,0.491,3.1,6.9,0.444,5.7,11,0.52,3.5,4,0.881,0.9,4.1,5,4,1.4,0.3,2.2,2.7,24.3,NA,116,104,"rayallen"
"9",10,"Tony Allen\allento01","SG",29,"MEM",72,31,1494,8.8,17.2,0.51,0.1,0.8,0.174,8.6,16.4,0.527,4.8,6.4,0.753,2.4,4.3,6.7,3.6,4.5,1.5,3,5.6,22.5,NA,110,101,"tonyallen"
"10",11,"Al-Farouq Aminu\aminual01","SF",20,"LAC",81,14,1452,5.7,14.5,0.394,1.6,5.1,0.315,4.1,9.4,0.437,3.3,4.2,0.773,2.7,6.8,9.5,2.1,2.1,0.9,3.7,4.3,16.3,NA,94,108,"alfarouqaminu"
"11",12,"Lou Amundson\amundlo01","PF",28,"GSW",46,7,691,6.1,13.4,0.454,0,0,NA,6.1,13.4,0.454,2.5,6.4,0.391,5.9,7.6,13.6,1.2,1,2.4,1.8,6.4,14.7,NA,101,110,"louamundson"
"12",13,"Chris Andersen\anderch01","C",32,"DEN",45,0,732,5.6,9.4,0.599,0,0.1,0,5.6,9.3,0.603,5.9,9.3,0.637,5.1,9.9,15,1.4,1.6,4,1.7,5.4,17.2,NA,129,102,"chrisandersen"
"13",15,"James Anderson\anderja01","SF",21,"SAS",26,2,286,5.6,14.7,0.383,3.3,8.4,0.391,2.4,6.4,0.371,2.5,3.3,0.778,0.4,3.8,4.2,3.3,0.5,1.1,2.4,4.4,17.1,NA,102,110,"jamesanderson"
"14",16,"Ryan Anderson\anderry01","PF",22,"ORL",64,14,1424,8.3,19.4,0.43,5,12.6,0.393,3.4,6.8,0.5,3.5,4.3,0.812,4.8,8.3,13.1,1.9,1.1,1.4,1.8,5.1,25.2,NA,122,102,"ryananderson"
