"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","fix"
"1",1,"Jeff Adrien\adrieje01","PF",24,"GSW",23,0,196,23,54,0.426,0,0,NA,23,54,0.426,0.426,11,19,0.579,23,35,58,10,4,5,9,28,57,"jeffadrien"
"2",2,"Arron Afflalo\afflaar01","SG",25,"DEN",69,69,2324,312,627,0.498,105,248,0.423,207,379,0.546,0.581,138,163,0.847,45,206,251,168,34,31,71,153,867,"arronafflalo"
"3",3,"Maurice Ager\agerma01","SG",26,"MIN",4,0,29,6,11,0.545,3,4,0.75,3,7,0.429,0.682,0,0,NA,0,2,2,1,1,0,4,4,15,"mauriceager"
"4",5,"Solomon Alabi\alabiso01","C",22,"TOR",12,0,59,3,15,0.2,0,0,NA,3,15,0.2,0.2,0,2,0,7,7,14,2,2,2,3,5,6,"solomonalabi"
"5",6,"Cole Aldrich\aldrico01","C",22,"OKC",18,0,142,8,15,0.533,0,0,NA,8,15,0.533,0.533,2,4,0.5,13,22,35,4,5,7,8,30,18,"colealdrich"
"6",7,"LaMarcus Aldridge\aldrila01","PF",25,"POR",81,81,3211,707,1415,0.5,4,23,0.174,703,1392,0.505,0.501,351,444,0.791,278,431,709,170,82,94,153,220,1769,"lamarcusaldridge"
"7",8,"Malik Allen\allenma01","PF",32,"ORL",18,0,178,11,31,0.355,0,0,NA,11,31,0.355,0.355,1,2,0.5,12,20,32,4,1,4,3,30,23,"malikallen"
"8",9,"Ray Allen\allenra02","SG",35,"BOS",80,80,2890,480,978,0.491,168,378,0.444,312,600,0.52,0.577,193,219,0.881,51,223,274,219,77,16,117,147,1321,"rayallen"
"9",10,"Tony Allen\allento01","SG",29,"MEM",72,31,1494,251,492,0.51,4,23,0.174,247,469,0.527,0.514,137,182,0.753,70,123,193,104,129,44,86,161,643,"tonyallen"
"10",11,"Al-Farouq Aminu\aminual01","SF",20,"LAC",81,14,1452,160,406,0.394,45,143,0.315,115,263,0.437,0.45,92,119,0.773,75,192,267,60,59,25,103,121,457,"alfarouqaminu"
"11",12,"Lou Amundson\amundlo01","PF",28,"GSW",46,7,691,83,183,0.454,0,0,NA,83,183,0.454,0.454,34,87,0.391,81,104,185,17,14,33,24,87,200,"louamundson"
"12",13,"Chris Andersen\anderch01","C",32,"DEN",45,0,732,82,137,0.599,0,1,0,82,136,0.603,0.599,86,135,0.637,75,144,219,20,23,58,25,79,250,"chrisandersen"
"13",15,"James Anderson\anderja01","SF",21,"SAS",26,2,286,31,81,0.383,18,46,0.391,13,35,0.371,0.494,14,18,0.778,2,21,23,18,3,6,13,24,94,"jamesanderson"
"14",16,"Ryan Anderson\anderry01","PF",22,"ORL",64,14,1424,226,525,0.43,134,341,0.393,92,184,0.5,0.558,95,117,0.812,129,226,355,52,30,38,49,137,681,"ryananderson"
"15",18,"Joel Anthony\anthojo01","C",28,"MIA",75,11,1463,53,99,0.535,0,0,NA,53,99,0.535,0.535,47,73,0.644,104,162,266,24,10,93,36,194,153,"joelanthony"
"16",20,"Trevor Ariza\arizatr01","SF",25,"NOH",75,75,2600,303,762,0.398,82,271,0.303,221,491,0.45,0.451,138,197,0.701,61,347,408,162,120,31,118,180,826,"trevorariza"
"17",23,"Darrell Arthur\arthuda01","PF",22,"MEM",80,9,1609,310,624,0.497,0,6,0,310,618,0.502,0.497,109,134,0.813,115,227,342,53,52,63,88,228,729,"darrellarthur"
"18",24,"Omer Asik\asikom01","C",24,"CHI",82,0,989,78,141,0.553,0,0,NA,78,141,0.553,0.553,73,145,0.503,112,194,306,32,20,56,64,153,229,"omerasik"
"19",25,"D.J. Augustin\augusdj01","PG",23,"CHA",82,82,2757,399,958,0.416,111,333,0.333,288,625,0.461,0.474,269,297,0.906,38,187,225,498,54,3,155,152,1178,"djaugustin"
"20",26,"Luke Babbitt\babbilu01","SF",21,"POR",24,0,137,15,55,0.273,3,16,0.188,12,39,0.308,0.3,3,9,0.333,6,24,30,6,2,2,8,15,36,"lukebabbitt"
"21",28,"Marcus Banks\banksma01","PG",29,"TOR",3,0,22,0,2,0,0,0,NA,0,2,0,0,6,8,0.75,0,1,1,3,1,0,2,4,6,"marcusbanks"
"22",29,"Leandro Barbosa\barbole01","SG",28,"TOR",58,0,1395,294,653,0.45,72,213,0.338,222,440,0.505,0.505,109,137,0.796,14,85,99,119,50,6,84,112,769,"leandrobarbosa"
"23",30,"J.J. Barea\bareajo01","PG",26,"DAL",81,2,1669,285,649,0.439,66,189,0.349,219,460,0.476,0.49,133,157,0.847,29,130,159,317,30,1,136,136,769,"jjbarea"
"24",31,"Andrea Bargnani\bargnan01","C",25,"TOR",66,66,2353,525,1173,0.448,77,223,0.345,448,950,0.472,0.48,287,350,0.82,74,269,343,119,34,46,152,160,1414,"andreabargnani"
"25",32,"Matt Barnes\barnema02","SF",30,"LAL",53,0,1020,131,279,0.47,34,107,0.318,97,172,0.564,0.53,60,77,0.779,73,155,228,71,39,22,58,127,356,"mattbarnes"
"26",34,"Brandon Bass\bassbr01","PF",25,"ORL",76,51,1980,332,645,0.515,0,2,0,332,643,0.516,0.515,190,233,0.815,134,290,424,57,27,52,97,159,854,"brandonbass"
"27",35,"Tony Battie\battito01","C",34,"PHI",38,0,377,45,96,0.469,2,3,0.667,43,93,0.462,0.479,8,14,0.571,17,82,99,12,5,15,12,59,100,"tonybattie"
"28",37,"Nicolas Batum\batumni01","SF",22,"POR",80,67,2522,367,807,0.455,118,342,0.345,249,465,0.535,0.528,138,164,0.841,109,252,361,123,68,49,83,194,990,"nicolasbatum"
"29",39,"Michael Beasley\beaslmi01","SF",22,"MIN",73,73,2361,561,1246,0.45,60,164,0.366,501,1082,0.463,0.474,219,291,0.753,118,291,409,158,54,52,195,222,1401,"michaelbeasley"
"30",40,"Rodrigue Beaubois\beaubro01","PG",22,"DAL",28,26,496,94,223,0.422,25,83,0.301,69,140,0.493,0.478,23,30,0.767,7,45,52,64,20,8,47,76,236,"rodriguebeaubois"
"31",41,"Marco Belinelli\belinma01","SG",24,"NOH",80,69,1957,302,691,0.437,134,324,0.414,168,367,0.458,0.534,98,125,0.784,17,134,151,92,38,6,77,146,836,"marcobelinelli"
"32",42,"Charlie Bell\bellch01","SG",31,"GSW",19,0,171,12,43,0.279,6,21,0.286,6,22,0.273,0.349,2,4,0.5,6,12,18,13,6,1,6,13,32,"charliebell"
"33",43,"Raja Bell\bellra01","SG",34,"UTA",68,63,2097,191,467,0.409,68,193,0.352,123,274,0.449,0.482,91,102,0.892,31,145,176,118,56,14,63,169,541,"rajabell"
"34",45,"Andris Biedrins\biedran01","C",24,"GSW",59,55,1397,142,266,0.534,0,0,NA,142,266,0.534,0.534,10,31,0.323,145,281,426,60,52,52,57,198,294,"andrisbiedrins"
"35",47,"DeJuan Blair\blairde01","PF",21,"SAS",81,65,1734,292,583,0.501,0,2,0,292,581,0.503,0.501,90,137,0.657,215,350,565,77,95,42,113,213,674,"dejuanblair"
