last name,first name
Gasol,Marc
Love,Kevin
Leonard,Kawhi
Butler,Jimmy
Jordan,DeAndre
Dragic,Goran
Aldridge,LaMarcus
Thompson,Tristan
Green,Draymond
Jackson,Reggie
Kanter,Enes
Matthews,Wesley
Knight,Brandon
Middleton,Khris
Harris,Tobias
Lopez,Brook
Millsap,Paul
Carroll,DeMarre
Asik,Omer
Lopez,Robin
Young,Thaddeus
Chandler,Tyson
Monroe,Greg
Ellis,Monta
Green,Danny
Shumpert,Iman
Crowder,Jae
Koufos,Kosta
Aminu,Al-Farouq
Joseph,Cory
Johnson,Amir
Brewer,Corey
Beverley,Patrick
Williams,Louis
Davis,Ed
Baynes,Aron
Ajinca,Alexis
Belinelli,Marco
Singler,Kyle
Wright,Brandan
Garnett,Kevin
O'Quinn,Kyle
Barea,Jose
Afflalo,Arron
Watson,C.J.
Dunleavy,Mike
Nelson,Jameer
Williams,Deron
Duncan,Tim
Barton,Will
Pierce,Paul
Jerebko,Jonas
Rondo,Rajon
Williams,Derrick
Cunningham,Dante
Allen,LaVoy
Gooden,Drew
McDaniels,K.J.
Rivers,Austin
Bass,Brandon
Casspi,Omri
Arthur,Darrell
Ginobili,Manu
Teletovic,Mirza
Anthony,Joel
Lin,Jeremy
Smith,Jason
Ingles,Joe
Williams,Mo
Hill,Jordan
Anderson,Alan
RobinsonIII,Glen
Jenkins,John
Ellington,Wayne
Butler,Caron
West,David
Cole,Norris
Larkin,Shane
Bargnani,Andrea
Scola,Luis
Seraphin,Kevin
Gee,Alonzo
Jackson,Pierre
Barbosa,Leandro
Evans,Jeremy
Babbitt,Luke
Johnson,Wesley
Brooks,Aaron
Anderson,James
Neal,Gary
Acy,Quincy
Robinson,Thomas
Withey,Jeff
Holiday,Justin
Whittington,Shayne
Thomas,Lance
Amundson,Louis
Jones,Dahntay
Hayes,Chuck
Terry,Jason
Prince,Tayshaun
Richardson,Jason
Villanueva,Charlie
Jefferson,Richard
Perkins,Kendrick
Jones,James
Price,Ronnie
Smith,Josh
Bonner,Matt
Stoudemire,Amar'e
Roberts,Ronald
Green,Gerald
Hansbrough,Tyler
Thornton,Marcus
Copeland,Chris
Dellavedova,Matthew
Smith,Ishmael
Sloan,Donald
Fredette,Jimmer
Prigioni,Pablo
Bennett,Anthony
Clark,Ian
Pressey,Phil
Reed,Willie
Moreland,Eric
James,LeBron
Wade,Dwyane
Wallace,Gerald
Davis,Glen
Fields,Landry
Smith,J.R.
Miller,Andre
Richard,Luc
Gordon,Ben
Haywood,Brendan
Boozer,Carlos
Biyombo,Bismack
Shved,Alexey
Wright,Dorell
Freeland,Joel
Ridnour,Luke
Brand,Elton
Ayres,Jeff
Datome,Luigi
Dragic,Zoran
Evans,Reggie
Turiaf,Ronny
Turkoglu,Hedo
Butler,Rasual
Marion,Shawn
Mohammed,Nazr
Green,Willie
Maxiell,Jason
Hollins,Ryan
Williams,Shawne
Stuckey,Rodney
Antic,Pero
Dorsey,Joey
Stiemsma,Greg
Udoh,Ekpe
Hummel,Robbie
Morris,Darius
Sims,Henry
Jordan,Jerome
Taylor,Jeff
Jefferson,Cory
Douglas,Toney
Calathes,Nick
Kuzmic,Ognjen
Daye,Austin
Clark,Earl
Walker,Henry
Hamilton,Jordan
Wear,Travis
Franklin,Jamaal
Smith,Greg
Hamilton,Justin
LucasIII,John
James,Bernard
Beasley,Michael
Bynum,Will
Onuaku,Arinze
Blue,Vander
Barron,Earl
Hudson,Lester
McNeal,Jerel
Ledo,Ricky
DeColo,Nando
