last name,first name
Conley,Mike
DeRozan,DeMar
Beal,Bradley
Drummond,Andre
Batum,Nicolas
Horford,Al
James,LeBron
Whiteside,Hassan
Barnes,Harrison
Parsons,Chandler
Fournier,Evan
Anderson,Ryan
Crabbe,Allen
Noah,Joakim
Biyombo,Bismack
Deng,Luol
Howard,Dwight
Turner,Evan
Bazemore,Kent
Mozgov,Timofey
Mahinmi,Ian
Smith,J.R.
Williams,Marvin
Durant,Kevin
Gordon,Eric
Plumlee,Miles
Johnson,Tyler
Clarkson,Jordan
Lee,Courtney
Hill,Solomon
Wade,Dwyane
Harkless,Maurice
Crawford,Jamal
Leuer,Jon
Leonard,Meyers
Dellavedova,Matthew
Lin,Jeremy
Powell,Dwight
Rivers,Austin
Moore,E'Twaun
Gasol,Pau
Jefferson,Al
Dudley,Jared
Augustin,D.J.
Thomas,Lance
Rondo,Rajon
Bayless,Jerryd
Nicholson,Andrew
Nowitzki,Dirk
Afflalo,Arron
Temple,Garrett
Arthur,Darrell
Johnson,Joe
Marjanovic,Boban
Booker,Trevor
Zeller,Tyler
Henderson,Gerald
Smith,Ishmael
Johnson,Wesley
Abrines,Alex
Tolliver,Anthony
Smith,Jason
Ezeli,Festus
Green,Jeff
Ginobili,Manu
Black,Tarik
Ellington,Wayne
Barnes,Matt
Daniels,Troy
Williams,Deron
Satoransky,Tomas
Jianlian,Yi
Hill,Jordan
Barbosa,Leandro
Jefferson,Richard
Hamilton,Justin
Sessions,Ramon
Waiters,Dion
Curry,Seth
Dedmon,Dewayne
Ennis,James
Sullinger,Jared
Scola,Luis
Price,Ronnie
Vasquez,Greivis
Jennings,Brandon
Hibbert,Roy
Williams,Derrick
Richard,Luc
Frazier,Tim
Humphries,Kris
Haslem,Udonis
Johnson,James
Rush,Brandon
Lee,David
Wolters,Nate
Huertas,Marcelo
Hilario,Nene
Pachulia,Zaza
Speights,Marreese
Brooks,Aaron
Foye,Randy
Christon,Semaj
WrotenJr.,Tony
Prigioni,Pablo
Acy,Quincy
Canaan,Isaiah
Bennett,Anthony
Reed,Willie
Dinwiddie,Spencer
Harris,Joe
Wood,Christian
WorldPeace,Metta
Amundson,Louis
Brand,Elton
Novak,Steve
Terry,Jason
Felton,Raymond
Andersen,Chris
Bass,Brandon
Varejao,Anderson
Jack,Jarrett
West,David
Stephens,D.J.
Farmar,Jordan
Green,Gerald
Vujacic,Sasha
Gee,Alonzo
Lawson,Ty
Anderson,Alan
Thornton,Marcus
Stephenson,Lance
Robinson,Thomas
Williams,Elliot
Jones,Terrence
Roberts,Brian
Stone,Julyan
Liggins,DeAndre
McCallum,Ray
Clark,Ian
Early,Cleanthony
Wright,Chris
McAdoo,James
Heslip,Brady
Randle,Chasson
Tokoto,J.P.
Graham,Treveon
Seraphin,Kevin
Bryant,Kobe
Mayo,O.J.
Landry,Carl
Teletovic,Mirza
Kaman,Chris
Gooden,Drew
Wright,Dorell
Cole,Norris
Pleiss,Tibor
Hinrich,Kirk
Anthony,Joel
Blake,Steve
Marshall,Kendall
Kelly,Ryan
Motiejunas,Donatas
Karasev,Sergey
Larkin,Shane
Stoudemire,Amar'e
Villanueva,Charlie
Perkins,Kendrick
Bonner,Matt
Smith,Josh
Miller,Mike
Prince,Tayshaun
DeColo,Nando
Kaun,Sasha
McGee,JaVale
Douglas,Toney
Hansbrough,Tyler
Hairston,P.J.
Aldrich,Cole
Rudez,Damjan
Anderson,James
Sloan,Donald
Whittington,Shayne
DevynMarble,Roy
Sacre,Robert
Inglis,Damien
Sims,Henry
O'Bryant,Johnny
Jones,Dahntay
Bairstow,Cameron
Dawson,Brandon
Brown,Markel
Calathes,Nick
Hamilton,Jordan
Galloway,Langston
Smith,Greg
Holland,John
Miller,Andre
Hickson,J.J
Mohammed,Nazr
Thompson,Jason
Martin,Kevin
Budinger,Chase
Goudelock,Andrew
Gutierrez,Jorge
Ayres,Jeff
Cotton,Bryce
Munford,Xavier
White,Okaro
Jankovic,Stefan
Udrih,Beno
