,last name,first name,position,team,year,average salary,name
100,Miller,Andre,PG,DEN,2012,4875000,andremiller
101,Mozgov,Timofey,C,DEN,2012,3350474,timofeymozgov
102,Brewer,Corey,SG,DEN,2012,3059000,coreybrewer
103,Koufos,Kosta,C,DEN,2012,3000000,kostakoufos
104,Lawson,Ty,PG,DEN,2012,1798552,tylawson
105,Randolph,Anthony,PF,DEN,2012,1750000,anthonyrandolph
106,Fournier,Evan,SG,DEN,2012,1639061,evanfournier
107,Faried,Kenneth,PF,DEN,2012,1545842,kennethfaried
108,Hamilton,Jordan,SF,DEN,2012,1121560,jordanhamilton
109,Miller,Quincy,SF,DEN,2012,725906,quincymiller
110,Stone,Julyan,PG,DEN,2012,617900,julyanstone
111,Maggette,Corey,SF,DET,2012,9624827,coreymaggette
112,Calderon,Jose,PG,DET,2012,9000000,josecalderon
113,Stuckey,Rodney,PG,DET,2012,8500000,rodneystuckey
114,Villanueva,Charlie,PF,DET,2012,7540000,charlievillanueva
115,Maxiell,Jason,PF,DET,2012,5000000,jasonmaxiell
116,Jerebko,Jonas,PF,DET,2012,4500000,jonasjerebko
117,Monroe,Greg,C,DET,2012,3277524,gregmonroe
118,Bynum,Will,PG,DET,2012,3250000,willbynum
119,Knight,Brandon,PG,DET,2012,2897459,brandonknight
120,Drummond,Andre,C,DET,2012,2664793,andredrummond
121,Kravtsov,Vyacheslav,C,DET,2012,1500000,vyacheslavkravtsov
122,Singler,Kyle,SF,DET,2012,1045000,kylesingler
123,Middleton,Khris,SF,DET,2012,725906,khrismiddleton
124,English,Kim,SG,DET,2012,631238,kimenglish
125,Lee,David,PF,GSW,2012,13256280,davidlee
126,Bogut,Andrew,C,GSW,2012,12000000,andrewbogut
127,Jefferson,Richard,SF,GSW,2012,9723000,richardjefferson
128,Biedrins,Andris,C,GSW,2012,9000000,andrisbiedrins
129,Jack,Jarrett,PG,GSW,2012,5000000,jarrettjack
130,Landry,Carl,PF,GSW,2012,4000000,carllandry
131,Rush,Brandon,SG,GSW,2012,4000000,brandonrush
132,Curry,Stephen,PG,GSW,2012,3175066,stephencurry
133,Thompson,Klay,SG,GSW,2012,2435620,klaythompson
134,Barnes,Harrison,SF,GSW,2012,2192970,harrisonbarnes
135,Ezeli,Festus,C,GSW,2012,1302377,festusezeli
136,Green,Draymond,PF,GSW,2012,880248,draymondgreen
137,Bazemore,Kent,SF,GSW,2012,631238,kentbazemore
138,Jones,Dwayne,C,GSW,2012,556391,dwaynejones
139,Machado,Scott,PG,GSW,2012,395829,scottmachado
140,Thomas,Malcolm,PF,GSW,2012,4484,malcolmthomas
141,Machado,Scott,PG,GSW,2012,2786,scottmachado
142,Asik,Omer,C,HOU,2012,8374646,omerasik
143,Lin,Jeremy,PG,HOU,2012,8374646,jeremylin
144,Garcia,Francisco,SG,HOU,2012,5800000,franciscogarcia
145,Scola,Luis,PF,HOU,2012,5724622,luisscola
146,Harden,James,SG,HOU,2012,4458842,jamesharden
147,Robinson,Thomas,PF,HOU,2012,3526480,thomasrobinson
148,Delfino,Carlos,SG,HOU,2012,3000000,carlosdelfino
149,Brooks,Aaron,PG,HOU,2012,2454000,aaronbrooks
150,Jones,Terrence,PF,HOU,2012,1786262,terrencejones
151,White,Royce,PF,HOU,2012,1682460,roycewhite
152,Motiejunas,Donatas,PF,HOU,2012,1639061,donatasmotiejunas
153,Parsons,Chandler,SF,HOU,2012,832965,chandlerparsons
154,Anderson,James,SG,HOU,2012,809973,jamesanderson
155,Smith,Greg,C,HOU,2012,706697,gregsmith
156,Beverley,Patrick,PG,HOU,2012,661830,patrickbeverley
157,Ohlbrecht,Tim,C,HOU,2012,616327,timohlbrecht
158,Hibbert,Roy,C,IND,2012,14610937,royhibbert
159,Granger,Danny,SF,IND,2012,12000000,dannygranger
160,West,David,PF,IND,2012,10000000,davidwest
161,Hill,George,PG,IND,2012,8000000,georgehill
162,Mahinmi,Ian,C,IND,2012,4000000,ianmahinmi
163,Augustin,D.J.,PG,IND,2012,3500000,djaugustin
164,Green,Gerald,SG,IND,2012,3500000,geraldgreen
165,George,Paul,SF,IND,2012,2625256,paulgeorge
166,Hansbrough,Tyler,PF,IND,2012,2262855,tylerhansbrough
167,Ayres,Jeff,PF,IND,2012,1500000,jeffayres
168,Plumlee,Miles,C,IND,2012,1368493,milesplumlee
169,Stephenson,Lance,SF,IND,2012,837500,lancestephenson
170,Johnson,Orlando,SG,IND,2012,751372,orlandojohnson
171,Hansbrough,Ben,PG,IND,2012,473604,benhansbrough
172,Young,Sam,SF,IND,2012,416527,samyoung
173,McGuire,Dominic,SF,IND,2012,5839,dominicmcguire
174,McGuire,Dominic,SF,IND,2012,5839,dominicmcguire
175,Paul,Chris,PG,LAC,2012,15907354,chrispaul
176,Jordan,DeAndre,C,LAC,2012,10759764,deandrejordan
177,Odom,Lamar,PF,LAC,2012,8200000,lamarodom
178,Butler,Caron,SF,LAC,2012,8000000,caronbutler
179,Griffin,Blake,PF,LAC,2012,5824671,blakegriffin
180,Crawford,Jamal,SG,LAC,2012,5337500,jamalcrawford
181,Billups,Chauncey,PG,LAC,2012,4000000,chaunceybillups
182,Gomes,Ryan,SF,LAC,2012,4000000,ryangomes
183,Hill,Grant,SF,LAC,2012,2001033,granthill
184,Bledsoe,Eric,PG,LAC,2012,1853889,ericbledsoe
185,Green,Willie,SF,LAC,2012,1407666,williegreen
186,Barnes,Matt,SF,LAC,2012,1229255,mattbarnes
187,Turiaf,Ronny,C,LAC,2012,1146337,ronnyturiaf
188,Hollins,Ryan,C,LAC,2012,1069509,ryanhollins
189,Wayns,Maalik,PG,LAC,2012,423688,maalikwayns
190,Summers,DaJuan,PF,LAC,2012,5207,dajuansummers
191,Wayns,Maalik,PG,LAC,2012,2786,maalikwayns
192,Wayns,Maalik,PG,LAC,2012,2786,maalikwayns
193,Bryant,Kobe,SF,LAL,2012,27849149,kobebryant
194,Gasol,Pau,PF,LAL,2012,19000000,paugasol
195,Howard,Dwight,C,LAL,2012,16647180,dwighthoward
196,Nash,Steve,PG,LAL,2012,9300500,stevenash
197,WorldPeace,Metta,SF,LAL,2012,6790640,mettaworldpeace
198,Blake,Steve,PG,LAL,2012,4000000,steveblake
199,Duhon,Chris,PG,LAL,2012,3750000,chrisduhon
200,Hill,Jordan,C,LAL,2012,3500000,jordanhill
201,Meeks,Jodie,SG,LAL,2012,1525000,jodiemeeks
202,Jamison,Antawn,PF,LAL,2012,1352181,antawnjamison
203,Clark,Earl,SF,LAL,2012,1200000,earlclark
204,Ebanks,Devin,SF,LAL,2012,1054389,devinebanks
205,Morris,Darius,PG,LAL,2012,962195,dariusmorris
206,Sacre,Robert,C,LAL,2012,473604,robertsacre
207,Goudelock,Andrew,PG,LAL,2012,17934,andrewgoudelock
208,Randolph,Zach,PF,MEM,2012,16500000,zachrandolph
209,Gasol,Marc,C,MEM,2012,14375941,marcgasol
210,Conley,Mike,PG,MEM,2012,8000000,mikeconley
211,Prince,Tayshaun,SF,MEM,2012,7000000,tayshaunprince
212,Arthur,Darrell,PF,MEM,2012,4837500,darrellarthur
213,Allen,Tony,SG,MEM,2012,3150000,tonyallen
214,Bayless,Jerryd,PG,MEM,2012,3067500,jerrydbayless
215,Davis,Ed,PF,MEM,2012,2335775,eddavis
216,Daye,Austin,PF,MEM,2012,2092369,austindaye
217,WrotenJr.,Tony,SG,MEM,2012,1886531,tonywroten
218,Pondexter,Quincy,SF,MEM,2012,1421720,quincypondexter
219,Leuer,Jon,PF,MEM,2012,617900,jonleuer
220,Greene,Donte,SF,MEM,2012,516406,dontegreene
221,Reed,Willie,PF,MEM,2012,395829,williereed
222,Dooling,Keyon,SG,MEM,2012,119310,keyondooling
223,Johnson,Christapher,SF,MEM,2012,2786,christapherjohnson
224,Johnson,Christapher,SF,MEM,2012,2786,christapherjohnson
225,Bosh,Chris,PF,MIA,2012,18306250,chrisbosh
226,James,LeBron,SF,MIA,2012,18306250,lebronjames
227,Wade,Dwyane,SG,MIA,2012,17864333,dwyanewade
228,Miller,Mike,SG,MIA,2012,5800000,mikemiller
229,Haslem,Udonis,PF,MIA,2012,4060000,udonishaslem
230,Chalmers,Mario,PG,MIA,2012,4000000,mariochalmers
231,Anthony,Joel,C,MIA,2012,3650000,joelanthony
232,Allen,Ray,SG,MIA,2012,3159525,rayallen
233,Battier,Shane,SF,MIA,2012,3135000,shanebattier
234,Jones,James,SG,MIA,2012,1500000,jamesjones
235,Lewis,Rashard,PF,MIA,2012,1375844,rashardlewis
236,Cole,Norris,PG,MIA,2012,1082560,norriscole
237,Andersen,Chris,PF,MIA,2012,540872,chrisandersen
238,Varnado,Jarvis,PF,MIA,2012,503087,jarvisvarnado
239,Howard,Juwan,PF,MIA,2012,214758,juwanhoward
240,Howard,Juwan,PF,MIA,2012,7954,juwanhoward
241,Andersen,Chris,PF,MIA,2012,7954,chrisandersen
242,Andersen,Chris,PF,MIA,2012,7954,chrisandersen
243,Howard,Juwan,PF,MIA,2012,7954,juwanhoward
244,Harrellson,Josh,PF,MIA,2012,4484,joshharrellson
245,Varnado,Jarvis,PF,MIA,2012,2786,jarvisvarnado
246,Varnado,Jarvis,PF,MIA,2012,2786,jarvisvarnado
247,Ellis,Monta,SG,MIL,2012,11000000,montaellis
248,Ilyasova,Ersan,SF,MIL,2012,8000000,ersanilyasova
249,Dalembert,Samuel,C,MIL,2012,6849283,samueldalembert
250,Redick,J.J.,SG,MIL,2012,6563333,jjredick
251,Gooden,Drew,PF,MIL,2012,6409680,drewgooden
252,Richard,Luc,SF,MIL,2012,4691288,lucrichard
253,Dunleavy,Mike,SF,MIL,2012,3750000,mikedunleavy
254,Udoh,Ekpe,PF,MIL,2012,3588607,ekpeudoh
255,Henson,John,PF,MIL,2012,3183295,johnhenson
256,Jennings,Brandon,PG,MIL,2012,2543213,brandonjennings
257,Sanders,Larry,C,MIL,2012,2159752,larrysanders
258,Ayon,Gustavo,PF,MIL,2012,1500000,gustavoayon
259,Przybilla,Joel,C,MIL,2012,1352181,joelprzybilla
260,Daniels,Marquis,SF,MIL,2012,1229255,marquisdaniels
261,Smith,Ishmael,PG,MIL,2012,951463,ishmaelsmith
262,Love,Kevin,PF,MIN,2012,15206485,kevinlove
263,Kirilenko,Andrei,SF,MIN,2012,9999385,andreikirilenko
264,Roy,Brandon,SG,MIN,2012,5214750,brandonroy
265,Williams,Derrick,PF,MIN,2012,4809840,derrickwilliams
266,Barea,Jose,PG,MIN,2012,4500000,josebarea
267,Pekovic,Nikola,C,MIN,2012,4320000,nikolapekovic
268,Ridnour,Luke,PG,MIN,2012,4000000,lukeridnour
269,Rubio,Ricky,PG,MIN,2012,3836364,rickyrubio
270,Milicic,Darko,PF,MIN,2012,3491500,darkomilicic
271,Shved,Alexey,PG,MIN,2012,3150000,alexeyshved
272,Stiemsma,Greg,C,MIN,2012,2632938,gregstiemsma
273,Cunningham,Dante,PF,MIN,2012,2090000,dantecunningham
274,Gelabale,Mickael,SF,MIN,2012,1262880,mickaelgelabale
275,Budinger,Chase,SF,MIN,2012,819353,chasebudinger
276,Lee,Malcolm,SG,MIN,2012,715496,malcolmlee
277,Johnson,Chris,PF,MIN,2012,631440,chrisjohnson
278,Gelabale,Mickael,SF,MIN,2012,5026,mickaelgelabale
279,Gelabale,Mickael,SF,MIN,2012,5026,mickaelgelabale
280,Hayward,Lazar,PF,MIN,2012,5026,lazarhayward
281,Johnson,Chris,PF,MIN,2012,5026,chrisjohnson
282,Johnson,Chris,PF,MIN,2012,5026,chrisjohnson
283,Outlaw,Travis,SF,NJN,2012,4000000,travisoutlaw
284,Gordon,Eric,SG,NOP,2012,14591391,ericgordon
285,Anderson,Ryan,PF,NOP,2012,8500000,ryananderson
286,Davis,Anthony,PF,NOP,2012,5799503,anthonydavis
287,Lopez,Robin,C,NOP,2012,5119761,robinlopez
288,Aminu,Al-Farouq,SF,NOP,2012,2755560,alfarouqaminu
289,Smith,Jason,PF,NOP,2012,2500000,jasonsmith
290,Rivers,Austin,SG,NOP,2012,2339080,austinrivers
