,last name,first name,position,team,year,average salary,name
0,Bazemore,Kent,SF,ATL,2017,17500000,kentbazemore
1,Schröder,Dennis,PG,ATL,2017,17500000,dennisschrder
2,Plumlee,Miles,C,ATL,2017,12500000,milesplumlee
3,Dedmon,Dewayne,C,ATL,2017,7050000,dewaynededmon
4,Belinelli,Marco,SF,ATL,2017,6333333,marcobelinelli
5,Ilyasova,Ersan,SF,ATL,2017,6000000,ersanilyasova
6,Muscala,Mike,PF,ATL,2017,5000000,mikemuscala
7,Delaney,Malcom,SG,ATL,2017,2500000,malcomdelaney
8,Prince,Taurean,SF,ATL,2017,2370420,taureanprince
9,Collins,John,PF,ATL,2017,2118000,johncollins
10,Babbitt,Luke,SF,ATL,2017,1974159,lukebabbitt
11,Evans,Jeremy,SF,ATL,2017,1841849,jeremyevans
12,Jenkins,John,SG,ATL,2017,1577230,johnjenkins
13,Bembry,DeAndre',SG,ATL,2017,1533480,deandrebembry
14,Cook,Quinn,PG,ATL,2017,1428781,quinncook
15,Dorsey,Tyler,PG,ATL,2017,1096929,tylerdorsey
16,Brussino,Nicolas,PG,ATL,2017,832994,nicolasbrussino
17,Cavanaugh,Tyler,PF,ATL,2017,815615,tylercavanaugh
18,Mathews,Jordan,SG,ATL,2017,815615,jordanmathews
19,Hayward,Gordon,SF,BOS,2017,31957493,gordonhayward
20,Horford,Al,C,BOS,2017,28331557,alhorford
21,Irving,Kyrie,PG,BOS,2017,18868625,kyrieirving
22,Tatum,Jayson,SF,BOS,2017,6173100,jaysontatum
23,Morris,Marcus,PF,BOS,2017,5000000,marcusmorris
24,Brown,Jaylen,SF,BOS,2017,4849740,jaylenbrown
25,Baynes,Aron,PF,BOS,2017,4328000,aronbaynes
26,Smart,Marcus,PG,BOS,2017,3707815,marcussmart
27,Yabusele,Guerschon,PF,BOS,2017,2457540,guerschonyabusele
28,Rozier,Terry,PG,BOS,2017,1906440,terryrozier
29,Larkin,Shane,PG,BOS,2017,1524305,shanelarkin
30,Ojeleye,Semi,SF,BOS,2017,1510401,semiojeleye
31,Nader,Abdel,SF,BOS,2017,1388032,abdelnader
32,Theis,Daniel,C,BOS,2017,1096929,danieltheis
33,Dixon,Daniel,G,BOS,2017,815615,danieldixon
34,Peak,L.J.,SG,BOS,2017,815615,ljpeak
35,White,Andrew,G,BOS,2017,815615,andrewwhite
36,Crabbe,Allen,SF,BKN,2017,18708125,allencrabbe
37,Mozgov,Timofey,C,BKN,2017,16000000,timofeymozgov
38,Carroll,DeMarre,SF,BKN,2017,14500000,demarrecarroll
39,Lin,Jeremy,PG,BKN,2017,12766667,jeremylin
40,Booker,Trevor,PF,BKN,2017,9187500,trevorbooker
41,Russell,D'Angelo,PG,BKN,2017,5332760,dangelorussell
42,Zeller,Tyler,C,BKN,2017,1821740,tylerzeller
43,Acy,Quincy,SF,BKN,2017,1749815,quincyacy
44,LeVert,Caris,SG,BKN,2017,1597380,carislevert
45,Hollis-Jefferson,Rondae,SF,BKN,2017,1395600,rondaehollisjefferson
46,Whitehead,Isaiah,PG,BKN,2017,1146474,isaiahwhitehead
47,Harris,Joe,SG,BKN,2017,1015838,joeharris
48,Dinwiddie,Spencer,PG,BKN,2017,967911,spencerdinwiddie
49,Doyle,Milton,G,BKN,2017,815615,miltondoyle
50,Mitchell,Akil,PF,BKN,2017,815615,akilmitchell
51,Senglin,Jeremy,PG,BKN,2017,815615,jeremysenglin
52,Kilpatrick,Sean,SG,BKN,2017,750951,seankilpatrick
53,Batum,Nicolas,SG,CHA,2017,24000000,nicolasbatum
54,Howard,Dwight,C,CHA,2017,23500000,dwighthoward
55,Zeller,Cody,PF,CHA,2017,14000000,codyzeller
56,Williams,Marvin,PF,CHA,2017,13628125,marvinwilliams
57,Kidd-Gilchrist,Michael,SF,CHA,2017,13000000,michaelkiddgilchrist
58,Walker,Kemba,PG,CHA,2017,12000000,kembawalker
59,Lamb,Jeremy,SG,CHA,2017,7000000,jeremylamb
60,Monk,Malik,SG,CHA,2017,3175980,malikmonk
61,Kaminsky,Frank,C,CHA,2017,2730040,frankkaminsky
62,Carter-Williams,Michael,PG,CHA,2017,2700000,michaelcarterwilliams
63,Bacon,Dwayne,SF,CHA,2017,1270792,dwaynebacon
64,O'Bryant,Johnny,C,CHA,2017,842894,johnnyobryant
65,Henderson,Terry,SG,CHA,2017,815615,terryhenderson
66,Hicks,Isaiah,PF,CHA,2017,815615,isaiahhicks
