,last name,first name,position,team,year,average salary,name
0,Howard,Dwight,C,ATL,2016,23500000,dwighthoward
1,Millsap,Paul,PF,ATL,2016,20072033,paulmillsap
2,Bazemore,Kent,SF,ATL,2016,17500000,kentbazemore
3,Ilyasova,Ersan,SF,ATL,2016,8000000,ersanilyasova
4,Splitter,Tiago,PF,ATL,2016,5872059,tiagosplitter
5,Dunleavy,Mike,SF,ATL,2016,4837500,mikedunleavy
6,Humphries,Kris,PF,ATL,2016,4000000,krishumphries
7,Sefolosha,Thabo,SF,ATL,2016,4000000,thabosefolosha
8,Splitter,Tiago,PF,ATL,2016,3000000,tiagosplitter
9,Delaney,Malcom,SG,ATL,2016,2500000,malcomdelaney
10,Scott,Mike,PF,ATL,2016,2372549,mikescott
11,Prince,Taurean,SF,ATL,2016,2370420,taureanprince
12,Korver,Kyle,SG,ATL,2016,2311516,kylekorver
13,Schröder,Dennis,PG,ATL,2016,1877716,dennisschrder
14,Bembry,DeAndre',SG,ATL,2016,1533480,deandrebembry
15,HardawayJr.,Tim,SG,ATL,2016,1508381,timhardaway
16,Teague,Jeff,PG,ATL,2016,800000,jeffteague
17,Muscala,Mike,PF,ATL,2016,735231,mikemuscala
18,Calderon,Jose,PG,ATL,2016,392478,josecalderon
19,Kelly,Ryan,PF,ATL,2016,286785,ryankelly
20,Williams,Mo,PG,ATL,2016,141997,mowilliams
21,Neal,Gary,PG,ATL,2016,7219,garyneal
22,Patterson,Lamar,SG,ATL,2016,5145,lamarpatterson
23,Patterson,Lamar,SG,ATL,2016,5145,lamarpatterson
24,Horford,Al,C,BOS,2016,28331557,alhorford
25,Johnson,Amir,PF,BOS,2016,12000000,amirjohnson
26,Bradley,Avery,SG,BOS,2016,8000000,averybradley
27,Zeller,Tyler,C,BOS,2016,8000000,tylerzeller
28,Crowder,Jae,SF,BOS,2016,7000000,jaecrowder
29,Thomas,Isaiah,PG,BOS,2016,6750001,isaiahthomas
30,Jerebko,Jonas,PF,BOS,2016,5000000,jonasjerebko
31,Brown,Jaylen,SF,BOS,2016,4849740,jaylenbrown
32,Smart,Marcus,PG,BOS,2016,3707815,marcussmart
33,Olynyk,Kelly,C,BOS,2016,2330324,kellyolynyk
34,Rozier,Terry,PG,BOS,2016,1906440,terryrozier
35,Young,James,SG,BOS,2016,1749840,jamesyoung
36,Green,Gerald,SG,BOS,2016,1410598,geraldgreen
37,Jackson,Demetrius,PG,BOS,2016,1368438,demetriusjackson
38,Mickey,Jordan,PF,BOS,2016,1223653,jordanmickey
39,Batum,Nicolas,SG,CHA,2016,24000000,nicolasbatum
40,Williams,Marvin,PF,CHA,2016,13628125,marvinwilliams
41,Kidd-Gilchrist,Michael,SF,CHA,2016,13000000,michaelkiddgilchrist
42,Plumlee,Miles,C,CHA,2016,12500000,milesplumlee
43,Walker,Kemba,PG,CHA,2016,12000000,kembawalker
44,Lamb,Jeremy,SG,CHA,2016,7000000,jeremylamb
45,Belinelli,Marco,SF,CHA,2016,6333333,marcobelinelli
46,Sessions,Ramon,PG,CHA,2016,6000000,ramonsessions
47,Zeller,Cody,PF,CHA,2016,4352528,codyzeller
48,Hibbert,Roy,C,CHA,2016,2941176,royhibbert
49,Kaminsky,Frank,C,CHA,2016,2730040,frankkaminsky
50,Hawes,Spencer,PF,CHA,2016,2244951,spencerhawes
51,Roberts,Brian,PG,CHA,2016,1050961,brianroberts
52,Wood,Christian,PF,CHA,2016,944691,christianwood
53,O'Bryant,Johnny,C,CHA,2016,842894,johnnyobryant
54,Weber,Briante,SG,CHA,2016,800003,brianteweber
55,Hawes,Spencer,PF,CHA,2016,566309,spencerhawes
56,Graham,Treveon,SG,CHA,2016,543471,treveongraham
57,McCallum,Ray,PG,CHA,2016,59747,raymccallum
58,McCallum,Ray,PG,CHA,2016,5975,raymccallum
59,O'Bryant,Johnny,C,CHA,2016,5767,johnnyobryant
60,O'Bryant,Johnny,C,CHA,2016,5767,johnnyobryant
61,Weber,Briante,SG,CHA,2016,5145,brianteweber
62,Weber,Briante,SG,CHA,2016,5145,brianteweber
63,Tobey,Mike,C,CHA,2016,3197,miketobey
64,Tobey,Mike,C,CHA,2016,3197,miketobey
65,Wade,Dwyane,SG,CHI,2016,23500000,dwyanewade
