,last name,first name,position,team,year,average salary,name
0,Millsap,Paul,PF,ATL,2015,20072033,paulmillsap
1,Horford,Al,C,ATL,2015,12000000,alhorford
2,Splitter,Tiago,PF,ATL,2015,9000000,tiagosplitter
3,Teague,Jeff,PG,ATL,2015,8000000,jeffteague
4,Korver,Kyle,SG,ATL,2015,6000000,kylekorver
5,Sefolosha,Thabo,SF,ATL,2015,4000000,thabosefolosha
6,Scott,Mike,PF,ATL,2015,3333333,mikescott
7,Splitter,Tiago,PF,ATL,2015,3000000,tiagosplitter
8,Hinrich,Kirk,SG,ATL,2015,2793470,kirkhinrich
9,Bazemore,Kent,SF,ATL,2015,2000000,kentbazemore
10,Schröder,Dennis,PG,ATL,2015,1877716,dennisschrder
11,HardawayJr.,Tim,SG,ATL,2015,1508381,timhardaway
12,Tavares,Walter,C,ATL,2015,1004915,waltertavares
13,Muscala,Mike,PF,ATL,2015,735231,mikemuscala
14,Patterson,Lamar,SG,ATL,2015,699865,lamarpatterson
15,Humphries,Kris,PF,ATL,2015,388025,krishumphries
16,Johnson,Amir,PF,BOS,2015,12000000,amirjohnson
17,Bradley,Avery,SG,BOS,2015,8000000,averybradley
18,Crowder,Jae,SF,BOS,2015,7000000,jaecrowder
19,Thomas,Isaiah,PG,BOS,2015,6750001,isaiahthomas
20,Jerebko,Jonas,PF,BOS,2015,5000000,jonasjerebko
21,Smart,Marcus,PG,BOS,2015,3707815,marcussmart
22,Turner,Evan,SF,BOS,2015,3351755,evanturner
23,Olynyk,Kelly,C,BOS,2015,2330324,kellyolynyk
24,Rozier,Terry,PG,BOS,2015,1906440,terryrozier
25,Zeller,Tyler,C,BOS,2015,1879324,tylerzeller
26,Young,James,SG,BOS,2015,1749840,jamesyoung
27,Sullinger,Jared,PF,BOS,2015,1591605,jaredsullinger
28,Mickey,Jordan,PF,BOS,2015,1223653,jordanmickey
29,Hunter,R.J.,SG,BOS,2015,1174440,rjhunter
30,Holland,John,SF,BOS,2015,441951,johnholland
31,Clarke,Coty,PF,BOS,2015,3089,cotyclarke
32,Clarke,Coty,PF,BOS,2015,3089,cotyclarke
33,Lopez,Brook,C,BKN,2015,21165675,brooklopez
34,Young,Thaddeus,PF,BKN,2015,13500000,thaddeusyoung
35,Jack,Jarrett,PG,BKN,2015,6300000,jarrettjack
36,Bogdanovic,Bojan,SF,BKN,2015,3425510,bojanbogdanovic
37,Karasev,Sergey,SG,BKN,2015,1533840,sergeykarasev
38,Ellington,Wayne,SG,BKN,2015,1533750,wayneellington
39,Larkin,Shane,PG,BKN,2015,1500000,shanelarkin
