,last name,first name,position,team,year,average salary,name
0,Johnson,Joe,SF,ATL,2011,20609682,joejohnson
1,Horford,Al,C,ATL,2011,12000000,alhorford
2,Smith,Josh,SF,ATL,2011,11600000,joshsmith
3,Hinrich,Kirk,SG,ATL,2011,9550000,kirkhinrich
4,Williams,Marvin,PF,ATL,2011,7500000,marvinwilliams
5,Pachulia,Zaza,C,ATL,2011,4750000,zazapachulia
6,Teague,Jeff,PG,ATL,2011,1715929,jeffteague
7,Green,Willie,SF,ATL,2011,1352181,williegreen
8,Radmanovic,Vladimir,SF,ATL,2011,1352181,vladimirradmanovic
9,Collins,Jason,C,ATL,2011,1352181,jasoncollins
10,McGrady,Tracy,SG,ATL,2011,1352181,tracymcgrady
11,Stackhouse,Jerry,SF,ATL,2011,1352181,jerrystackhouse
12,Johnson,Ivan,PF,ATL,2011,473604,ivanjohnson
13,Dampier,Erick,C,ATL,2011,20488,erickdampier
14,Dampier,Erick,C,ATL,2011,10244,erickdampier
15,Dampier,Erick,C,ATL,2011,8195,erickdampier
16,Sloan,Donald,PG,ATL,2011,7176,donaldsloan
17,Garnett,Kevin,PF,BOS,2011,17100000,kevingarnett
18,Pierce,Paul,SF,BOS,2011,15333334,paulpierce
19,Rondo,Rajon,PG,BOS,2011,11000000,rajonrondo
20,Allen,Ray,SG,BOS,2011,10000000,rayallen
21,O'Neal,Jermaine,C,BOS,2011,5995500,jermaineoneal
22,Bass,Brandon,PF,BOS,2011,4000000,brandonbass
23,Wilcox,Chris,PF,BOS,2011,3000000,chriswilcox
24,Bradley,Avery,SG,BOS,2011,1771218,averybradley
25,Pietrus,Mickael,SF,BOS,2011,1223166,mickaelpietrus
26,Daniels,Marquis,SF,BOS,2011,1223166,marquisdaniels
27,Pavlovic,Sasha,SG,BOS,2011,1223166,sashapavlovic
28,Johnson,JaJuan,PF,BOS,2011,1042320,jajuanjohnson
29,Stiemsma,Greg,C,BOS,2011,762195,gregstiemsma
30,Moore,E'Twaun,SG,BOS,2011,617900,etwaunmoore
31,Williams,Sean,PF,BOS,2011,478035,seanwilliams
32,Arroyo,Carlos,PG,BOS,2011,412854,carlosarroyo
33,Hollins,Ryan,C,BOS,2011,248048,ryanhollins
34,Williams,Deron,PG,BKN,2011,16266652,deronwilliams
35,Humphries,Kris,PF,BKN,2011,8000000,krishumphries
36,Outlaw,Travis,SF,BKN,2011,4000000,travisoutlaw
37,Morrow,Anthony,SG,BKN,2011,4000000,anthonymorrow
38,Farmar,Jordan,PG,BKN,2011,3875000,jordanfarmar
39,Petro,Johan,C,BKN,2011,3333333,johanpetro
40,Williams,Shawne,SF,BKN,2011,3000000,shawnewilliams
41,Stevenson,DeShawn,SF,BKN,2011,2500000,deshawnstevenson
42,Lopez,Brook,C,BKN,2011,2461186,brooklopez
43,Brooks,MarShon,SG,BKN,2011,1144662,marshonbrooks
44,Williams,Shelden,C,BKN,2011,992680,sheldenwilliams
45,Williams,Jordan,PF,BKN,2011,473604,jordanwilliams
46,Emmett,Andre,SG,BKN,2011,415742,andreemmett
47,Green,Gerald,SG,BKN,2011,277540,geraldgreen
48,Bogans,Keith,SF,BKN,2011,77120,keithbogans
49,Johnson,Armon,PG,BKN,2011,34644,armonjohnson
50,Green,Gerald,SG,BKN,2011,9714,geraldgreen
51,Johnson,Armon,PG,BKN,2011,6929,armonjohnson
52,Green,Gerald,SG,BKN,2011,5551,geraldgreen
53,Horner,Dennis,SF,BKN,2011,4306,dennishorner
54,Smith,Jerry,SG,BKN,2011,4306,jerrysmith
55,Maggette,Corey,SF,CHA,2011,9624827,coreymaggette
56,Wallace,Gerald,SF,CHA,2011,9615000,geraldwallace
57,Thomas,Tyrus,PF,CHA,2011,8000000,tyrusthomas
58,Diop,DeSagana,C,CHA,2011,6478600,desaganadiop
59,Carroll,Matt,SG,CHA,2011,4680000,mattcarroll
60,Biyombo,Bismack,PF,CHA,2011,3161320,bismackbiyombo
61,Najera,Eduardo,PF,CHA,2011,3000000,eduardonajera
62,Walker,Kemba,PG,CHA,2011,2664793,kembawalker
63,Augustin,D.J.,PG,CHA,2011,2658710,djaugustin
64,Williams,Reggie,SF,CHA,2011,2556250,reggiewilliams
65,Henderson,Gerald,SG,CHA,2011,2353212,geraldhenderson
66,Mullens,B.J.,PF,CHA,2011,1466415,bjmullens
67,White,D.J.,PF,CHA,2011,1277592,djwhite
68,Brown,Derrick,PG,CHA,2011,854389,derrickbrown
69,Moon,Jamorio,PF,CHA,2011,534981,jamoriomoon
70,Higgins,Cory,SG,CHA,2011,473604,coryhiggins
71,Boozer,Carlos,PF,CHI,2011,15000000,carlosboozer
72,Noah,Joakim,C,CHI,2011,12000000,joakimnoah
73,Deng,Luol,SF,CHI,2011,11834238,luoldeng
74,Rose,Derrick,PG,CHI,2011,5636787,derrickrose
75,Korver,Kyle,SG,CHI,2011,5000000,kylekorver
76,Hamilton,Richard,SG,CHI,2011,5000000,richardhamilton
77,Brewer,Ronnie,SF,CHI,2011,4166667,ronniebrewer
78,Watson,C.J.,PG,CHI,2011,3250000,cjwatson
79,Gibson,Taj,PF,CHI,2011,2172737,tajgibson
80,Asik,Omer,C,CHI,2011,1789250,omerasik
81,Scalabrine,Brian,PF,CHI,2011,1352181,brianscalabrine
82,Butler,Jimmy,SG,CHI,2011,1302377,jimmybutler
83,James,Mike,PG,CHI,2011,1229255,mikejames
84,James,Mike,PG,CHI,2011,574517,mikejames
85,LucasIII,John,PG,CHI,2011,540992,johnlucasiii
86,James,Mike,PG,CHI,2011,204875,mikejames
87,James,Mike,PG,CHI,2011,16763,mikejames
88,Davis,Baron,PG,CLE,2011,14325000,barondavis
89,Jamison,Antawn,PF,CLE,2011,12500000,antawnjamison
90,Varejao,Anderson,PF,CLE,2011,8050000,andersonvarejao
91,Samuels,Samardo,C,CLE,2011,7666667,samardosamuels
92,Irving,Kyrie,PG,CLE,2011,5799503,kyrieirving
93,Walton,Luke,SF,CLE,2011,5048561,lukewalton
94,Thompson,Tristan,C,CLE,2011,4205318,tristanthompson
95,Gibson,Daniel,SG,CLE,2011,4200000,danielgibson
96,Parker,Anthony,SG,CLE,2011,2250000,anthonyparker
97,Eyenga,Christian,PG,CLE,2011,1059240,christianeyenga
98,Gee,Alonzo,SF,CLE,2011,667062,alonzogee
99,Erden,Semih,C,CLE,2011,631238,semiherden
100,Harangody,Luke,PF,CLE,2011,613238,lukeharangody
101,Kennedy,D.J.,SG,CLE,2011,390320,djkennedy
102,Harris,Manny,SG,CLE,2011,202842,mannyharris
103,Hudson,Lester,PG,CLE,2011,6890,lesterhudson
104,Hudson,Lester,PG,CLE,2011,6890,lesterhudson
105,Uzoh,Ben,PG,CLE,2011,6147,benuzoh
106,Harris,Manny,SG,CLE,2011,5774,mannyharris
107,Harris,Manny,SG,CLE,2011,4947,mannyharris
108,Sloan,Donald,PG,CLE,2011,3588,donaldsloan
109,Nowitzki,Dirk,PF,DAL,2011,20000000,dirknowitzki
110,Terry,Jason,SG,DAL,2011,9670500,jasonterry
111,Kidd,Jason,PG,DAL,2011,8366667,jasonkidd
112,Odom,Lamar,PF,DAL,2011,8200000,lamarodom
113,Marion,Shawn,SF,DAL,2011,8003842,shawnmarion
114,Haywood,Brendan,C,DAL,2011,7262250,brendanhaywood
115,Carter,Vince,SG,DAL,2011,3090000,vincecarter
116,Beaubois,Rodrigue,PG,DAL,2011,1423893,rodriguebeaubois
117,Jones,Dominique,SG,DAL,2011,1193320,dominiquejones
118,West,Delonte,PG,DAL,2011,1146337,delontewest
119,Wright,Brandan,PF,DAL,2011,954266,brandanwright
120,Mahinmi,Ian,C,DAL,2011,823244,ianmahinmi
121,Jianlian,Yi,PF,DAL,2011,771706,yijianlian
122,Azubuike,Kelenna,SF,DAL,2011,270738,kelennaazubuike
123,Afflalo,Arron,SG,DEN,2011,7342500,arronafflalo
124,Miller,Andre,PG,DEN,2011,7269264,andremiller
125,Harrington,Al,PF,DEN,2011,6687400,alharrington
126,Chandler,Wilson,SF,DEN,2011,6344163,wilsonchandler
127,Andersen,Chris,PF,DEN,2011,4139100,chrisandersen
128,Gallinari,Danilo,SF,DEN,2011,3364326,danilogallinari
129,Mozgov,Timofey,C,DEN,2011,3350474,timofeymozgov
130,Brewer,Corey,SG,DEN,2011,3059000,coreybrewer
131,Lawson,Ty,PG,DEN,2011,1798552,tylawson
132,McGee,JaVale,C,DEN,2011,1738080,javalemcgee
133,Faried,Kenneth,PF,DEN,2011,1545842,kennethfaried
134,Koufos,Kosta,C,DEN,2011,1474948,kostakoufos
135,Cook,Brian,PF,DEN,2011,1250000,briancook
136,Hamilton,Jordan,SF,DEN,2011,1121560,jordanhamilton
