,last name,first name,position,team,year,average salary,name
0,Horford,Al,C,ATL,2014,12000000,alhorford
1,Millsap,Paul,PF,ATL,2014,9500000,paulmillsap
2,Teague,Jeff,PG,ATL,2014,8000000,jeffteague
3,Korver,Kyle,SG,ATL,2014,6000000,kylekorver
4,Sefolosha,Thabo,SF,ATL,2014,4000000,thabosefolosha
5,Scott,Mike,PF,ATL,2014,3333333,mikescott
6,Carroll,DeMarre,SF,ATL,2014,2500000,demarrecarroll
7,Mack,Shelvin,PG,ATL,2014,2433333,shelvinmack
8,Bazemore,Kent,SF,ATL,2014,2000000,kentbazemore
9,Brand,Elton,PF,ATL,2014,2000000,eltonbrand
10,Schröder,Dennis,PG,ATL,2014,1877716,dennisschrder
11,Jenkins,John,SG,ATL,2014,1258760,johnjenkins
12,Antic,Pero,PF,ATL,2014,1225000,peroantic
13,Muscala,Mike,PF,ATL,2014,735231,mikemuscala
14,Daye,Austin,PF,ATL,2014,624168,austindaye
15,Daye,Austin,PF,ATL,2014,6255,austindaye
16,Eddie,Jarell,SF,ATL,2014,2984,jarelleddie
17,Wallace,Gerald,SF,BOS,2014,10000008,geraldwallace
18,Bradley,Avery,SG,BOS,2014,8000000,averybradley
19,Thomas,Isaiah,PG,BOS,2014,6750001,isaiahthomas
20,Bass,Brandon,PF,BOS,2014,6450000,brandonbass
21,Jerebko,Jonas,PF,BOS,2014,4500000,jonasjerebko
22,Smart,Marcus,PG,BOS,2014,3707815,marcussmart
23,Turner,Evan,SF,BOS,2014,3351755,evanturner
24,Olynyk,Kelly,C,BOS,2014,2330324,kellyolynyk
25,Zeller,Tyler,C,BOS,2014,1879324,tylerzeller
26,Datome,Luigi,SF,BOS,2014,1750000,luigidatome
27,Young,James,SG,BOS,2014,1749840,jamesyoung
28,Sullinger,Jared,PF,BOS,2014,1591605,jaredsullinger
29,Crowder,Jae,SF,BOS,2014,768202,jaecrowder
30,Pressey,Phil,PG,BOS,2014,751313,philpressey
31,Babb,Chris,SG,BOS,2014,497652,chrisbabb
32,Dawkins,Andre,SG,BOS,2014,2984,andredawkins
33,Dawkins,Andre,SG,BOS,2014,2984,andredawkins
34,Johnson,Joe,SF,BKN,2014,20609682,joejohnson
35,Williams,Deron,PG,BKN,2014,19754465,deronwilliams
36,Lopez,Brook,C,BKN,2014,15206485,brooklopez
37,Young,Thaddeus,PF,BKN,2014,8600000,thaddeusyoung
38,Jack,Jarrett,PG,BKN,2014,6300000,jarrettjack
39,Bogdanovic,Bojan,SF,BKN,2014,3425510,bojanbogdanovic
40,Teletovic,Mirza,PF,BKN,2014,3229050,mirzateletovic
41,Plumlee,Mason,C,BKN,2014,1599943,masonplumlee
42,Karasev,Sergey,SG,BKN,2014,1533840,sergeykarasev
43,Anderson,Alan,SG,BKN,2014,1304773,alananderson
44,Morris,Darius,PG,BKN,2014,859089,dariusmorris
45,Jordan,Jerome,C,BKN,2014,816482,jeromejordan
46,Brown,Markel,SG,BKN,2014,676198,markelbrown
47,Jefferson,Cory,PF,BKN,2014,676198,coryjefferson
48,Clark,Earl,SF,BKN,2014,624168,earlclark
49,Clark,Earl,SF,BKN,2014,5973,earlclark
50,Jefferson,Al,C,CHA,2014,13500000,aljefferson
51,Thomas,Tyrus,PF,CHA,2014,9041323,tyrusthomas
52,Stephenson,Lance,SF,CHA,2014,9000000,lancestephenson
53,Williams,Marvin,PF,CHA,2014,7000000,marvinwilliams
54,Henderson,Gerald,SG,CHA,2014,6000000,geraldhenderson
55,Kidd-Gilchrist,Michael,SF,CHA,2014,5190231,michaelkiddgilchrist
56,Zeller,Cody,PF,CHA,2014,4352528,codyzeller
57,Williams,Mo,PG,CHA,2014,3750000,mowilliams
