,last name,first name,age,position,team,faStatus,total-contract,average,name
0,Howard,Dwight,31,C,LAL,UFA,87591270,21897818,dwighthoward
1,Pekovic,Nikola,31,C,MIN,RFA,60000000,12000000,nikolapekovic
2,Smith,Josh,31,SF,ATL,UFA,56000000,14000000,joshsmith
3,Iguodala,Andre,33,SG,DEN,UFA,48000000,12000000,andreiguodala
4,Evans,Tyreke,28,SF,SAC,RFA,44000004,11000001,tyrekeevans
5,Jefferson,Al,32,C,UTH,UFA,41000000,13666667,aljefferson
6,Teague,Jeff,29,PG,ATL,RFA,32000000,8000000,jeffteague
7,Calderon,Jose,36,PG,DET,UFA,29000000,7250000,josecalderon
8,Martin,Kevin,34,SG,OKC,UFA,27805000,6951250,kevinmartin
9,Redick,J.J.,33,SG,MIL,UFA,27755000,6938750,jjredick
10,Jack,Jarrett,33,PG,GSW,UFA,25200000,6300000,jarrettjack
11,Ellis,Monta,31,SG,MIL,UFA,25080000,8360000,montaellis
12,Jennings,Brandon,28,PG,MIL,RFA,24000000,8000000,brandonjennings
13,Korver,Kyle,36,SG,ATL,UFA,24000000,6000000,kylekorver
14,Mayo,O.J.,29,SG,DAL,UFA,24000000,8000000,ojmayo
15,Allen,Tony,35,SG,MEM,UFA,20000001,5000000,tonyallen
16,Millsap,Paul,32,PF,UTH,UFA,19000000,9500000,paulmillsap
17,Henderson,Gerald,29,SG,CHA,RFA,18000000,6000000,geraldhenderson
18,Hickson,J.J,29,PF,POR,UFA,16145250,5381750,jjhickson
19,Bogans,Keith,37,SF,BKN,UFA,15629874,5209958,keithbogans
20,Pachulia,Zaza,33,C,ATL,UFA,15600000,5200000,zazapachulia
21,Budinger,Chase,29,SF,MIN,RFA,15000000,5000000,chasebudinger
22,Ginobili,Manu,40,SG,SAS,UFA,14500000,7250000,manuginobili
23,Brewer,Corey,31,SG,DEN,UFA,14107500,4702500,coreybrewer
24,Speights,Marreese,30,C,CLE,UFA,10972500,3657500,marreesespeights
25,Barnes,Matt,37,SF,LAC,UFA,10188750,3396250,mattbarnes
26,Wright,Brandan,29,PF,DAL,UFA,10000000,5000000,brandanwright
27,Delfino,Carlos,35,SG,HOU,UFA,9750000,3250000,carlosdelfino
28,Foye,Randy,34,SG,UTH,UFA,9135000,3045000,randyfoye
29,Mozgov,Timofey,31,C,DEN,RFA,9050000,4525000,timofeymozgov
30,Clark,Earl,29,SF,LAL,UFA,9000000,4500000,earlclark
31,Dalembert,Samuel,32,C,MIL,UFA,7568030,3784015,samueldalembert
32,Hansbrough,Tyler,31,PF,IND,UFA,6509235,3254618,tylerhansbrough
33,Kirilenko,Andrei,36,SF,MIN,UFA,6509235,3254618,andreikirilenko
34,Dunleavy,Mike,37,SF,MIL,UFA,6509235,3254618,mikedunleavy
35,Neal,Gary,32,PG,SAS,UFA,6500000,3250000,garyneal
36,Copeland,Chris,33,SF,NYK,RFA,6135000,3067500,chriscopeland
37,Wright,Dorell,31,SF,PHI,UFA,6135000,3067500,dorellwright
38,Bynum,Will,34,PG,DET,UFA,5706251,2853126,willbynum
39,Belinelli,Marco,31,SF,CHI,UFA,5623750,2811875,marcobelinelli
40,Williams,Mo,34,PG,UTH,UFA,5423340,2711670,mowilliams
41,Ellington,Wayne,29,SG,CLE,UFA,5423340,2711670,wayneellington
42,McRoberts,Josh,30,PF,CHA,UFA,5423340,2711670,joshmcroberts
43,Carroll,DeMarre,31,SF,UTH,UFA,5000000,2500000,demarrecarroll
44,Maxiell,Jason,34,PF,DET,UFA,5000000,2500000,jasonmaxiell
45,Prigioni,Pablo,40,PG,NYK,RFA,4988883,1662961,pabloprigioni
