,last name,first name,age,position,team,faStatus,total-contract,average,name
81,Pargo,Jannero,37,PG,CHA,UFA,1448490,1448490,janneropargo
82,Bonner,Matt,37,C,SAS,UFA,1448490,1448490,mattbonner
83,Jefferson,Richard,37,SF,UTH,UFA,1448490,1448490,richardjefferson
84,Lewis,Rashard,38,PF,MIA,UFA,1448490,1448490,rashardlewis
85,Gooden,Drew,36,PF,WAS,UFA,1448490,1448490,drewgooden
86,Garcia,Francisco,35,SG,HOU,UFA,1316809,1316809,franciscogarcia
87,Price,Ronnie,34,PG,ORL,UFA,1316809,1316809,ronnieprice
88,Hollins,Ryan,32,C,LAC,UFA,1310286,1310286,ryanhollins
89,Brown,Shannon,31,PG,NYK,UFA,1310286,1310286,shannonbrown
90,Stuckey,Rodney,31,PG,DET,UFA,1227985,1227985,rodneystuckey
91,Davis,Glen,31,PF,LAC,UFA,1227985,1227985,glendavis
92,Brooks,Aaron,32,PG,DEN,UFA,1145685,1145685,aaronbrooks
93,Henry,Xavier,26,SG,LAL,UFA,1082000,1082000,xavierhenry
94,Thabeet,Hasheem,30,C,PHI,UFA,1063384,1063384,hasheemthabeet
95,Ellington,Wayne,29,SG,SAC,UFA,1063384,1063384,wayneellington
96,Casspi,Omri,29,SF,NOP,UFA,1063384,1063384,omricasspi
97,Udoh,Ekpe,29,PF,MIL,UFA,981084,981084,ekpeudoh
98,Johnson,Wesley,30,SG,LAL,UFA,981084,981084,wesleyjohnson
99,Smith,Ishmael,29,PG,PHX,UFA,981084,981084,ishmaelsmith
100,Adrien,Jeff,31,SF,MIL,UFA,981084,981084,jeffadrien
101,Aldrich,Cole,28,C,NYK,UFA,981084,981084,colealdrich
102,Douglas-Roberts,Chris,30,SG,CHA,UFA,948163,948163,chrisdouglasroberts
103,Hamilton,Jordan,26,SF,HOU,UFA,948163,948163,jordanhamilton
104,Fredette,Jimmer,28,PG,CHI,UFA,948163,948163,jimmerfredette
105,Allen,LaVoy,28,PF,IND,UFA,948163,948163,lavoyallen
106,James,Bernard,32,C,DAL,UFA,915243,915243,bernardjames
107,Hummel,Robbie,28,SF,MIN,UFA,880000,880000,robbiehummel
108,Siva,Peyton,26,PG,DET,UFA,816482,816482,peytonsiva
109,Thomas,Adonis,24,SF,PHI,RFA,816482,816482,adonisthomas
