,last name,first name,age,position,team,faStatus,total-contract,average,name
0,Gasol,Marc,32,C,MEM,UFA,113211750,22642350,marcgasol
1,Love,Kevin,29,PF,CLE,UFA,113211750,22642350,kevinlove
2,Leonard,Kawhi,26,SF,SAS,RFA,94343125,18868625,kawhileonard
3,Butler,Jimmy,28,SG,CHI,RFA,92339878,18467976,jimmybutler
4,Jordan,DeAndre,29,C,LAC,UFA,87616050,21904013,deandrejordan
5,Dragic,Goran,31,PG,MIA,UFA,85002250,17000450,gorandragic
6,Aldridge,LaMarcus,32,PF,POR,UFA,84072030,21018008,lamarcusaldridge
7,Thompson,Tristan,26,C,CLE,RFA,82000000,16400000,tristanthompson
8,Green,Draymond,27,PF,GSW,RFA,82000000,16400000,draymondgreen
9,Jackson,Reggie,27,PG,DET,RFA,80000000,16000000,reggiejackson
10,Kanter,Enes,25,PF,OKC,RFA,70060026,17515007,eneskanter
11,Matthews,Wesley,30,SG,POR,UFA,70060026,17515007,wesleymatthews
12,Knight,Brandon,25,PG,PHX,RFA,70000000,14000000,brandonknight
13,Middleton,Khris,26,SF,MIL,RFA,70000000,14000000,khrismiddleton
14,Harris,Tobias,25,PF,ORL,RFA,64000000,16000000,tobiasharris
15,Lopez,Brook,29,C,BKN,UFA,63497025,21165675,brooklopez
16,Millsap,Paul,32,PF,ATL,UFA,60216100,20072033,paulmillsap
17,Carroll,DeMarre,31,SF,ATL,UFA,58000000,14500000,demarrecarroll
18,Asik,Omer,31,C,NOP,UFA,57977525,11595505,omerasik
19,Lopez,Robin,29,C,POR,UFA,54015500,13503875,robinlopez
20,Young,Thaddeus,29,PF,BKN,UFA,54000000,13500000,thaddeusyoung
21,Chandler,Tyson,35,C,DAL,UFA,52000000,13000000,tysonchandler
22,Monroe,Greg,27,C,DET,UFA,51437513,17145838,gregmonroe
23,Ellis,Monta,31,SG,DAL,UFA,43981000,10995250,montaellis
24,Green,Danny,30,SG,SAS,UFA,40000000,10000000,dannygreen
25,Shumpert,Iman,27,SG,CLE,RFA,40000000,10000000,imanshumpert
26,Crowder,Jae,27,SF,BOS,RFA,35000000,7000000,jaecrowder
27,Koufos,Kosta,28,C,MEM,UFA,32879000,8219750,kostakoufos
28,Aminu,Al-Farouq,27,SF,DAL,UFA,30000000,7500000,alfarouqaminu
29,Joseph,Cory,26,PG,SAS,UFA,29890000,7472500,coryjoseph
30,Johnson,Amir,30,PF,TOR,UFA,24000000,12000000,amirjohnson
31,Brewer,Corey,31,SG,HOU,UFA,23420913,7806971,coreybrewer
32,Beverley,Patrick,29,PG,HOU,RFA,23027026,5756757,patrickbeverley
33,Williams,Louis,30,SG,TOR,UFA,21000000,7000000,louiswilliams
34,Davis,Ed,28,PF,LAL,UFA,20000000,6666667,eddavis
35,Baynes,Aron,30,PF,SAS,UFA,19500000,6500000,aronbaynes
36,Ajinca,Alexis,29,C,NOP,UFA,19200000,4800000,alexisajinca
37,Belinelli,Marco,31,SF,SAS,UFA,19000000,6333333,marcobelinelli
38,Singler,Kyle,29,SF,OKC,RFA,19000000,4750000,kylesingler
39,Wright,Brandan,29,PF,PHX,UFA,17129640,5709880,brandanwright
40,Garnett,Kevin,41,PF,MIN,UFA,16500000,8250000,kevingarnett
41,O'Quinn,Kyle,27,C,ORL,RFA,16012500,4003125,kyleoquinn
42,Barea,Jose,33,PG,DAL,UFA,16001700,4000425,josebarea
43,Afflalo,Arron,31,SG,POR,UFA,16000000,8000000,arronafflalo
44,Watson,C.J.,33,PG,IND,UFA,15000000,5000000,cjwatson
45,Dunleavy,Mike,37,SF,CHI,UFA,14512500,4837500,mikedunleavy
46,Nelson,Jameer,35,PG,DEN,UFA,13621575,4540525,jameernelson
47,Williams,Deron,33,PG,BKN,UFA,11000000,5500000,deronwilliams
48,Duncan,Tim,41,PF,SAS,UFA,10850000,5425000,timduncan
49,Barton,Will,26,SG,DEN,RFA,10599999,3533333,willbarton
50,Pierce,Paul,39,SF,WAS,UFA,10583760,3527920,paulpierce
51,Jerebko,Jonas,30,PF,BOS,UFA,10000000,5000000,jonasjerebko
52,Rondo,Rajon,31,PG,DAL,UFA,9500000,9500000,rajonrondo
53,Williams,Derrick,26,PF,SAC,RFA,8998000,4499000,derrickwilliams
54,Cunningham,Dante,30,PF,NOP,UFA,8934750,2978250,dantecunningham
55,Allen,LaVoy,28,PF,IND,UFA,8050000,4025000,lavoyallen
56,Gooden,Drew,36,PF,WAS,UFA,6847000,3423500,drewgooden
57,McDaniels,K.J.,24,SG,HOU,RFA,6523126,3261563,kjmcdaniels
58,Rivers,Austin,27,SG,LAC,UFA,6454902,3227451,austinrivers
59,Bass,Brandon,32,PF,BOS,UFA,6135000,3067500,brandonbass
60,Casspi,Omri,29,SF,SAC,UFA,5800000,2900000,omricasspi
61,Arthur,Darrell,29,PF,DEN,UFA,5754630,2877315,darrellarthur
62,Ginobili,Manu,40,SG,SAS,UFA,5754630,2877315,manuginobili
63,Teletovic,Mirza,32,PF,BKN,UFA,5464000,5464000,mirzateletovic
64,Anthony,Joel,35,C,DET,UFA,5000000,2500000,joelanthony
65,Lin,Jeremy,29,PG,LAL,UFA,4374255,2187128,jeremylin
66,Smith,Jason,31,PF,NYK,UFA,4300000,4300000,jasonsmith
67,Ingles,Joe,30,SF,UTH,RFA,4300000,2150000,joeingles
68,Williams,Mo,34,PG,CHA,UFA,4294500,2147250,mowilliams
69,Hill,Jordan,30,C,LAL,UFA,4000000,4000000,jordanhill
70,Anderson,Alan,34,SG,BKN,UFA,4000000,4000000,alananderson
71,RobinsonIII,Glen,23,SG,PHI,UFA,3241000,1080333,glenrobinsoniii
72,Jenkins,John,26,SG,ATL,UFA,3211301,1070434,johnjenkins
73,Ellington,Wayne,29,SG,LAL,UFA,3067500,1533750,wayneellington
74,Butler,Caron,37,SF,MIL,UFA,3050846,1525423,caronbutler
75,West,David,37,PF,IND,UFA,3050846,1525423,davidwest
76,Cole,Norris,28,PG,NOP,RFA,3036927,3036927,norriscole
77,Larkin,Shane,25,PG,NYK,UFA,3000000,1500000,shanelarkin
78,Bargnani,Andrea,31,C,NYK,UFA,2914556,1457278,andreabargnani
79,Scola,Luis,37,PF,IND,UFA,2900000,2900000,luisscola
80,Seraphin,Kevin,27,PF,WAS,UFA,2814000,2814000,kevinseraphin
81,Gee,Alonzo,30,SF,POR,UFA,2699400,1349700,alonzogee
82,Jackson,Pierre,26,PG,PHI,UFA,2639382,659846,pierrejackson
83,Barbosa,Leandro,34,SG,GSW,UFA,2500000,2500000,leandrobarbosa
84,Evans,Jeremy,29,SF,UTH,UFA,2327888,1163944,jeremyevans
85,Babbitt,Luke,28,SF,NOP,UFA,2327888,1163944,lukebabbitt
86,Johnson,Wesley,30,SG,LAL,UFA,2327888,1163944,wesleyjohnson
87,Brooks,Aaron,32,PG,CHI,UFA,2250000,2250000,aaronbrooks
88,Anderson,James,28,SG,PHI,UFA,2154544,1077272,jamesanderson
89,Neal,Gary,32,PG,MIN,UFA,2139000,2139000,garyneal
90,Acy,Quincy,26,SF,NYK,UFA,2032309,1016155,quincyacy
91,Robinson,Thomas,26,PF,PHI,UFA,2032309,1016155,thomasrobinson
92,Withey,Jeff,27,C,NOP,UFA,1962972,981486,jeffwithey
93,Holiday,Justin,28,SG,GSW,UFA,1962972,981486,justinholiday
94,Whittington,Shayne,26,PF,IND,UFA,1825490,1825490,shaynewhittington
95,Thomas,Lance,29,SF,NYK,UFA,1636842,1636842,lancethomas
