,last name,first name,age,position,team,faStatus,total-contract,average,name
0,Gasol,Marc,32,C,MEM,RFA,57503764,14375941,marcgasol
1,Chandler,Tyson,35,C,DAL,UFA,55409450,13852363,tysonchandler
2,Young,Thaddeus,29,PF,PHI,RFA,43999998,8800000,thaddeusyoung
3,Jordan,DeAndre,29,C,LAC,RFA,43039054,10759764,deandrejordan
4,Afflalo,Arron,31,SG,DEN,RFA,36712500,7342500,arronafflalo
5,Chandler,Wilson,30,SF,DEN,RFA,31720817,6344163,wilsonchandler
6,Thornton,Marcus,30,SG,SAC,RFA,31150000,7787500,marcusthornton
7,Prince,Tayshaun,37,SF,DET,UFA,28000000,7000000,tayshaunprince
8,Davis,Glen,31,PF,BOS,UFA,25700000,6425000,glendavis
9,Stuckey,Rodney,31,PG,DET,RFA,25500000,8500000,rodneystuckey
10,Richardson,Jason,36,SG,ORL,UFA,24000000,6000000,jasonrichardson
11,Butler,Caron,37,SF,DAL,UFA,24000000,8000000,caronbutler
12,Hayes,Chuck,34,PF,HOU,UFA,22417500,5604375,chuckhayes
13,Richard,Luc,31,SF,MIL,RFA,18765152,4691288,lucrichard
14,Barea,Jose,33,PG,DAL,UFA,18000000,4500000,josebarea
15,Jerebko,Jonas,30,PF,DET,RFA,18000000,4500000,jonasjerebko
16,Hamilton,Richard,39,SG,DET,UFA,10000000,5000000,richardhamilton
17,Battier,Shane,39,SF,MEM,UFA,9405000,3135000,shanebattier
18,Carter,Vince,40,SG,PHX,UFA,9270000,3090000,vincecarter
19,Brewer,Corey,31,SG,NYK,UFA,9177000,3059000,coreybrewer
20,Green,Jeff,31,SF,BOS,RFA,9000000,9000000,jeffgreen
21,Humphries,Kris,32,PF,NJN,UFA,8000000,8000000,krishumphries
22,Chalmers,Mario,31,PG,MIA,RFA,8000000,4000000,mariochalmers
23,Dunleavy,Mike,37,SF,IND,UFA,7500000,3750000,mikedunleavy
24,Hill,Grant,44,SF,PHX,UFA,6500000,6500000,granthill
25,Cook,Daequan,30,SG,OKC,RFA,6500000,3250000,daequancook
26,Jones,James,36,SG,MIA,UFA,4500000,1500000,jamesjones
27,Cunningham,Dante,30,PF,CHA,RFA,4090000,2045000,dantecunningham
28,Hawes,Spencer,29,PF,PHI,RFA,4051023,4051023,spencerhawes
29,Telfair,Sebastian,32,PG,MIN,UFA,3067500,1533750,sebastiantelfair
30,Thomas,Kurt,44,PF,CHI,UFA,2704362,1352181,kurtthomas
31,Martin,Kenyon,39,PF,DEN,UFA,2500000,2500000,kenyonmartin
32,Clark,Earl,29,SF,ORL,UFA,2400000,1200000,earlclark
33,Parker,Anthony,42,SG,CLE,UFA,2250000,2250000,anthonyparker
34,Wright,Brandan,29,PF,NJN,UFA,1908532,954266,brandanwright
35,Scalabrine,Brian,39,PF,CHI,UFA,1400000,1400000,brianscalabrine
36,Howard,Juwan,44,PF,MIA,UFA,1400000,1400000,juwanhoward
37,Davis,Baron,38,PG,CLE,UFA,1352181,1352181,barondavis
38,Collins,Jason,29,C,ATL,UFA,1352181,1352181,jasoncollins
39,Stackhouse,Jerry,42,SF,ATL,UFA,1352181,1352181,jerrystackhouse
40,McGrady,Tracy,38,SG,DET,UFA,1352181,1352181,tracymcgrady
41,Haddadi,Hamed,32,C,MEM,RFA,1300000,1300000,hamedhaddadi
42,Jeffries,Jared,35,PF,NYK,UFA,1229255,1229255,jaredjeffries
43,Pavlovic,Sasha,33,SG,BOS,UFA,1223166,1223166,sashapavlovic
44,Price,Ronnie,34,PG,UTH,UFA,1069509,1069509,ronnieprice
45,McGuire,Dominic,31,SF,CHA,UFA,915852,915852,dominicmcguire
46,Brown,Derrick,30,PG,NYK,RFA,854389,854389,derrickbrown
47,Przybilla,Joel,37,C,CHA,UFA,655616,655616,joelprzybilla
48,Carroll,DeMarre,31,SF,UTH,UFA,537438,537438,demarrecarroll
49,Jianlian,Yi,29,PF,WAS,UFA,771,771,yijianlian
