,last name,first name,age,position,team,faStatus,total-contract,average,name
0,Curry,Stephen,29,PG,GSW,UFA,201158790,40231758,stephencurry
1,Griffin,Blake,28,PF,LAC,UFA,171174820,34234964,blakegriffin
2,Holiday,Jrue,27,PG,NOP,UFA,131805000,26361000,jrueholiday
3,Hayward,Gordon,27,SF,UTH,UFA,127829970,31957493,gordonhayward
4,PorterJr.,Otto,24,SF,WAS,RFA,106524975,26631244,ottoporter
5,Lowry,Kyle,31,PG,TOR,UFA,100000000,33333333,kylelowry
6,HardawayJr.,Tim,25,SG,ATL,RFA,70950000,17737500,timhardaway
7,Ibaka,Serge,28,PF,TOR,UFA,65000000,21666667,sergeibaka
8,Gallinari,Danilo,29,SF,DEN,UFA,64762737,21587579,danilogallinari
9,Millsap,Paul,32,PF,ATL,UFA,61000000,30500000,paulmillsap
10,Hill,George,31,PG,UTH,UFA,57000000,19000000,georgehill
11,Teague,Jeff,29,PG,IND,UFA,57000000,19000000,jeffteague
12,Ingles,Joe,29,SF,UTH,RFA,52000000,13000000,joeingles
13,Waiters,Dion,25,SG,MIA,UFA,52000000,13000000,dionwaiters
14,Durant,Kevin,28,SF,GSW,UFA,51250000,25625000,kevindurant
15,Olynyk,Kelly,26,C,BOS,UFA,50000000,12500000,kellyolynyk
16,Mills,Patrick,29,PG,SAS,UFA,49714285,12428571,patrickmills
17,Gasol,Pau,37,PF,SAS,UFA,48800000,16266667,paugasol
18,Iguodala,Andre,33,SG,GSW,UFA,48000000,16000000,andreiguodala
19,Snell,Tony,25,SF,MIL,RFA,46000000,11500000,tonysnell
20,Johnson,James,30,PF,MIA,UFA,43295100,14431700,jamesjohnson
21,Plumlee,Mason,27,C,DEN,RFA,41000000,13666667,masonplumlee
22,Felicio,Cristiano,25,PF,CHI,RFA,32000000,8000000,cristianofelicio
23,Tucker,P.J.,32,SF,TOR,UFA,31878148,7969537,pjtucker
24,Roberson,Andre,25,SG,OKC,RFA,30000000,10000000,andreroberson
25,Gibson,Taj,32,PF,OKC,UFA,28000000,14000000,tajgibson
26,Mirotic,Nikola,26,PF,CHI,RFA,27000000,13500000,nikolamirotic
27,Miles,C.J.,30,SG,IND,UFA,25000000,8333333,cjmiles
28,Randolph,Zach,36,PF,MEM,UFA,24000000,12000000,zachrandolph
29,Livingston,Shaun,32,PG,GSW,UFA,23692308,7897436,shaunlivingston
30,Redick,J.J.,33,SG,LAC,UFA,23000000,23000000,jjredick
31,Korver,Kyle,36,SG,CLE,UFA,22060000,7353333,kylekorver
32,Bogdanovic,Bojan,28,SF,WAS,UFA,21000000,10500000,bojanbogdanovic
33,Galloway,Langston,25,PG,SAC,RFA,21000000,7000000,langstongalloway
34,Simmons,Jonathon,28,SG,SAS,UFA,20000000,6666667,jonathonsimmons
35,Collison,Darren,30,PG,SAC,UFA,20000000,10000000,darrencollison
36,Caldwell-Pope,Kentavious,24,SG,DET,UFA,17745894,17745894,kentaviouscaldwellpope
37,Gay,Rudy,31,SF,SAC,UFA,17232300,8616150,rudygay
38,Green,JaMychal,27,PF,MEM,RFA,17000000,8500000,jamychalgreen
39,Williams,Alan,24,PF,PHX,RFA,17000000,5666667,alanwilliams
40,Patterson,Patrick,28,PF,TOR,UFA,16354800,5451600,patrickpatterson
