,last name,first name,age,position,team,faStatus,total-contract,average,name
52,Johnson,Joe,36,SF,MIA,UFA,21505000,10752500,joejohnson
53,Marjanovic,Boban,29,C,SAS,RFA,21000000,7000000,bobanmarjanovic
54,Booker,Trevor,29,PF,UTH,UFA,18375000,9187500,trevorbooker
55,Zeller,Tyler,27,C,BOS,RFA,18000000,9000000,tylerzeller
56,Henderson,Gerald,29,SG,POR,UFA,18000000,9000000,geraldhenderson
57,Smith,Ishmael,29,PG,PHI,UFA,18000000,6000000,ishmaelsmith
58,Johnson,Wesley,30,SG,LAC,UFA,17643780,5881260,wesleyjohnson
59,Tolliver,Anthony,32,PF,DET,UFA,16000000,8000000,anthonytolliver
60,Smith,Jason,31,PF,ORL,UFA,15675000,5225000,jasonsmith
61,Ezeli,Festus,27,C,GSW,UFA,15133000,7566500,festusezeli
62,Green,Jeff,31,SF,LAC,UFA,15000000,15000000,jeffgreen
63,Ginobili,Manu,40,SG,SAS,UFA,14000000,14000000,manuginobili
64,Black,Tarik,25,C,LAL,RFA,12846325,6423163,tarikblack
65,Ellington,Wayne,29,SG,BKN,UFA,12270000,6135000,wayneellington
66,Barnes,Matt,37,SF,MEM,UFA,12250000,6125000,mattbarnes
67,Daniels,Troy,26,SG,CHA,RFA,10000009,3333336,troydaniels
68,Williams,Deron,33,PG,DAL,UFA,10000000,10000000,deronwilliams
69,Hill,Jordan,30,C,IND,UFA,8000000,4000000,jordanhill
70,Barbosa,Leandro,34,SG,GSW,UFA,8000000,4000000,leandrobarbosa
71,Jefferson,Richard,37,SF,CLE,UFA,7612500,2537500,richardjefferson
72,Hamilton,Justin,27,C,MIN,UFA,6000000,3000000,justinhamilton
73,Sessions,Ramon,31,PG,WAS,UFA,6000000,6000000,ramonsessions
74,Waiters,Dion,25,SG,OKC,UFA,5926410,2963205,dionwaiters
75,Curry,Seth,27,SG,SAC,UFA,5926410,2963205,sethcurry
76,Dedmon,Dewayne,28,C,ORL,UFA,5926410,2963205,dewaynededmon
77,Ennis,James,27,SF,NOP,UFA,5926410,2963205,jamesennis
78,Sullinger,Jared,25,PF,BOS,UFA,5628000,5628000,jaredsullinger
79,Scola,Luis,37,PF,TOR,UFA,5500000,5500000,luisscola
80,Price,Ronnie,34,PG,PHX,UFA,5000000,2500000,ronnieprice
81,Vasquez,Greivis,30,PG,MIL,UFA,5000000,5000000,greivisvasquez
82,Jennings,Brandon,28,PG,ORL,UFA,5000000,5000000,brandonjennings
83,Hibbert,Roy,30,C,LAL,UFA,5000000,5000000,royhibbert
84,Williams,Derrick,26,PF,NYK,UFA,4598000,4598000,derrickwilliams
85,Richard,Luc,31,SF,LAC,UFA,4505135,2252568,lucrichard
86,Frazier,Tim,26,PG,NOP,RFA,4090000,2045000,timfrazier
87,Humphries,Kris,32,PF,ATL,UFA,4000000,4000000,krishumphries
88,Haslem,Udonis,37,PF,MIA,UFA,4000000,4000000,udonishaslem
89,Johnson,James,30,PF,TOR,UFA,4000000,4000000,jamesjohnson
90,Rush,Brandon,32,SG,GSW,UFA,3500000,3500000,brandonrush
91,Lee,David,34,PF,DAL,UFA,3157626,1578813,davidlee
92,Huertas,Marcelo,34,PG,LAL,RFA,3067600,1533800,marcelohuertas
93,Hilario,Nene,35,PF,WAS,UFA,2898000,2898000,nenehilario
94,Pachulia,Zaza,33,C,DAL,UFA,2898000,2898000,zazapachulia
95,Speights,Marreese,30,C,GSW,UFA,2863580,1431790,marreesespeights
96,Brooks,Aaron,32,PG,CHI,UFA,2700000,2700000,aaronbrooks
97,Foye,Randy,34,SG,OKC,UFA,2500000,2500000,randyfoye
98,WrotenJr.,Tony,24,SG,MEM,UFA,2229953,1114977,tonywroten
99,Prigioni,Pablo,40,PG,LAC,UFA,2229953,1114977,pabloprigioni
100,Acy,Quincy,26,SF,SAC,UFA,2229953,1114977,quincyacy
101,Canaan,Isaiah,26,PG,PHI,UFA,2103441,1051721,isaiahcanaan
102,Reed,Willie,27,PF,BKN,UFA,2103441,1051721,williereed
103,Dinwiddie,Spencer,24,PG,CHI,UFA,2031676,1015838,spencerdinwiddie
104,Wood,Christian,22,PF,PHI,RFA,1889382,944691,christianwood
105,WorldPeace,Metta,37,SF,LAL,UFA,1551659,1551659,mettaworldpeace
106,Amundson,Louis,34,PF,NYK,UFA,1551659,1551659,louisamundson
107,Brand,Elton,38,PF,PHI,UFA,1551659,1551659,eltonbrand
108,Novak,Steve,34,SF,MIL,UFA,1551659,1551659,stevenovak
109,Terry,Jason,40,SG,HOU,UFA,1551659,1551659,jasonterry
110,Felton,Raymond,33,PG,DAL,UFA,1551659,1551659,raymondfelton
111,Andersen,Chris,39,PF,MEM,UFA,1551659,1551659,chrisandersen
112,Bass,Brandon,32,PF,LAL,UFA,1551659,1551659,brandonbass
113,Varejao,Anderson,35,PF,GSW,UFA,1551659,1551659,andersonvarejao
114,Jack,Jarrett,33,PG,BKN,UFA,1551659,1551659,jarrettjack
115,West,David,37,PF,SAS,UFA,1551659,1551659,davidwest
116,Farmar,Jordan,30,PG,MEM,UFA,1410598,1410598,jordanfarmar
117,Green,Gerald,31,SG,MIA,UFA,1410598,1410598,geraldgreen
118,Vujacic,Sasha,33,SG,NYK,UFA,1410598,1410598,sashavujacic
119,Gee,Alonzo,30,SF,NOP,UFA,1400000,1400000,alonzogee
120,Lawson,Ty,29,PG,IND,UFA,1315448,1315448,tylawson
121,Anderson,Alan,34,SG,WAS,UFA,1315448,1315448,alananderson
122,Thornton,Marcus,30,SG,WAS,UFA,1315448,1315448,marcusthornton
123,Stephenson,Lance,26,SF,MEM,UFA,1227286,1227286,lancestephenson
124,Robinson,Thomas,26,PF,BKN,UFA,1050961,1050961,thomasrobinson
125,Jones,Terrence,25,PF,HOU,UFA,1050961,1050961,terrencejones
126,Roberts,Brian,31,PG,POR,UFA,1050961,1050961,brianroberts
127,Clark,Ian,26,SG,GSW,UFA,1015696,1015696,ianclark
128,Early,Cleanthony,26,SF,NYK,UFA,980431,980431,cleanthonyearly
129,McAdoo,James,24,SF,GSW,UFA,980431,980431,jamesmcadoo
