,last name,first name,age,position,team,faStatus,total-contract,average,name
0,Conley,Mike,29,PG,MEM,UFA,152605576,30521115,mikeconley
1,DeRozan,DeMar,28,SG,TOR,UFA,139000000,27800000,demarderozan
2,Beal,Bradley,24,SG,WAS,RFA,127171313,25434263,bradleybeal
3,Drummond,Andre,24,C,DET,RFA,127171313,25434263,andredrummond
4,Batum,Nicolas,28,SG,CHA,UFA,120000000,24000000,nicolasbatum
5,Horford,Al,31,C,ATL,UFA,113326228,28331557,alhorford
6,James,LeBron,32,SF,CLE,UFA,99857127,33285709,lebronjames
7,Whiteside,Hassan,28,C,MIA,UFA,98419538,24604885,hassanwhiteside
8,Barnes,Harrison,25,SF,GSW,UFA,94438525,23609631,harrisonbarnes
9,Parsons,Chandler,28,SF,DAL,UFA,94438523,23609631,chandlerparsons
10,Fournier,Evan,24,SG,ORL,RFA,85000000,17000000,evanfournier
11,Anderson,Ryan,29,PF,NOP,UFA,80000000,20000000,ryananderson
12,Crabbe,Allen,25,SF,POR,RFA,74832500,18708125,allencrabbe
13,Noah,Joakim,32,C,CHI,UFA,72590000,18147500,joakimnoah
14,Biyombo,Bismack,25,PF,TOR,UFA,72000000,18000000,bismackbiyombo
15,Deng,Luol,32,SF,MIA,UFA,72000000,18000000,luoldeng
16,Howard,Dwight,31,C,HOU,UFA,70500000,23500000,dwighthoward
17,Bazemore,Kent,28,SF,ATL,UFA,70000000,17500000,kentbazemore
18,Turner,Evan,28,SF,BOS,UFA,70000000,17500000,evanturner
19,Mozgov,Timofey,31,C,CLE,UFA,64000000,16000000,timofeymozgov
20,Mahinmi,Ian,30,C,IND,UFA,64000000,16000000,ianmahinmi
21,Smith,J.R.,32,SG,CLE,UFA,57000000,14250000,jrsmith
22,Williams,Marvin,31,PF,CHA,UFA,54512500,13628125,marvinwilliams
23,Durant,Kevin,29,SF,OKC,UFA,54274505,27137253,kevindurant
24,Gordon,Eric,28,SG,NOP,UFA,52886489,13221622,ericgordon
25,Plumlee,Miles,29,C,MIL,RFA,50000000,12500000,milesplumlee
26,Johnson,Tyler,24,SG,MIA,RFA,50000000,12500000,tylerjohnson
27,Clarkson,Jordan,25,SG,LAL,RFA,50000000,12500000,jordanclarkson
28,Lee,Courtney,32,SG,CHA,UFA,48003340,12000835,courtneylee
29,Hill,Solomon,26,SF,IND,UFA,48000000,12000000,solomonhill
30,Wade,Dwyane,35,SG,MIA,UFA,47000000,23500000,dwyanewade
31,Harkless,Maurice,24,PF,POR,RFA,42000000,10500000,mauriceharkless
32,Crawford,Jamal,37,SG,LAC,UFA,42000000,14000000,jamalcrawford
33,Leuer,Jon,28,PF,PHX,UFA,42000000,10500000,jonleuer
34,Leonard,Meyers,25,C,POR,RFA,41000000,10250000,meyersleonard
35,Dellavedova,Matthew,27,PG,CLE,RFA,38430000,9607500,matthewdellavedova
36,Lin,Jeremy,29,PG,CHA,UFA,38300000,12766667,jeremylin
37,Powell,Dwight,26,PF,DAL,UFA,37268750,9317188,dwightpowell
38,Rivers,Austin,27,SG,LAC,UFA,35475000,11825000,austinrivers
39,Moore,E'Twaun,28,SG,CHI,UFA,34000000,8500000,etwaunmoore
40,Gasol,Pau,37,PF,CHI,UFA,31697500,15848750,paugasol
41,Jefferson,Al,32,C,CHA,UFA,30000000,10000000,aljefferson
42,Dudley,Jared,32,PF,WAS,UFA,30000000,10000000,jareddudley
43,Augustin,D.J.,29,PG,DEN,UFA,29000000,7250000,djaugustin
44,Thomas,Lance,29,SF,NYK,UFA,27549950,6887488,lancethomas
45,Rondo,Rajon,31,PG,SAC,UFA,27397000,13698500,rajonrondo
46,Bayless,Jerryd,29,PG,MIL,UFA,27000000,9000000,jerrydbayless
47,Nicholson,Andrew,27,PF,ORL,UFA,26000000,6500000,andrewnicholson
48,Nowitzki,Dirk,39,PF,DAL,UFA,25000000,25000000,dirknowitzki
49,Afflalo,Arron,31,SG,NYK,UFA,25000000,12500000,arronafflalo
50,Temple,Garrett,31,SG,WAS,UFA,24000000,8000000,garretttemple
51,Arthur,Darrell,29,PF,DEN,UFA,23000000,7666667,darrellarthur
