,last name,first name,age,position,team,faStatus,total-contract,average,name
26,Miller,Andre,41,PG,DEN,UFA,14625000,4875000,andremiller
27,Camby,Marcus,43,C,HOU,UFA,13151319,4383773,marcuscamby
28,Hawes,Spencer,29,PF,PHI,UFA,13100000,6550000,spencerhawes
29,Green,Danny,30,SG,SAS,RFA,11287500,3762500,dannygreen
30,Roy,Brandon,33,SG,POR,UFA,10400000,5200000,brandonroy
31,Sessions,Ramon,31,PG,LAL,UFA,10000000,5000000,ramonsessions
32,Arthur,Darrell,29,PF,MEM,RFA,9675000,4837500,darrellarthur
33,Diaw,Boris,35,C,SAS,UFA,9202500,4601250,borisdiaw
34,Kidd,Jason,44,PG,DAL,UFA,9090000,3030000,jasonkidd
35,Speights,Marreese,30,C,MEM,RFA,8715000,4357500,marreesespeights
36,Mayo,O.J.,29,SG,MEM,UFA,8220900,4110450,ojmayo
37,Rush,Brandon,32,SG,GSW,RFA,8000000,4000000,brandonrush
38,Hinrich,Kirk,36,SG,ATL,UFA,8000000,4000000,kirkhinrich
39,Hill,Jordan,30,C,LAL,UFA,7127200,3563600,jordanhill
40,Brown,Shannon,31,PG,PHX,UFA,7000000,3500000,shannonbrown
41,Stevenson,DeShawn,36,SF,ATL,UFA,6721350,2240450,deshawnstevenson
42,Allen,Ray,42,SG,BOS,UFA,6319050,3159525,rayallen
43,Bayless,Jerryd,29,PG,TOR,UFA,6135000,3067500,jerrydbayless
44,Allen,LaVoy,28,PF,PHI,RFA,6060000,3030000,lavoyallen
45,Delfino,Carlos,35,SG,MIL,UFA,6000000,3000000,carlosdelfino
46,Brown,Kwame,35,C,MIL,UFA,5764945,2882473,kwamebrown
47,Young,Nick,32,SF,LAC,UFA,5600000,5600000,nickyoung
48,Stiemsma,Greg,32,C,BOS,RFA,5265875,2632938,gregstiemsma
49,Gray,Aaron,32,C,TOR,UFA,5265875,2632938,aarongray
50,Randolph,Anthony,28,PF,MIN,UFA,5250000,1750000,anthonyrandolph
51,Evans,Jeremy,29,SF,UTH,RFA,5250000,1750000,jeremyevans
52,Evans,Reggie,37,PF,LAC,UFA,5086905,1695635,reggieevans
53,Brooks,Aaron,32,PG,SAC,UFA,5000000,5000000,aaronbrooks
54,Jeffries,Jared,35,PF,NYK,UFA,4624458,1541486,jaredjeffries
55,Miles,C.J.,30,SG,UTH,UFA,4450000,2225000,cjmiles
56,Green,Willie,36,SF,ATL,UFA,4222997,1407666,williegreen
57,Hill,Grant,44,SF,PHX,UFA,4002065,2001033,granthill
58,Hickson,J.J,29,PF,POR,RFA,4000000,4000000,jjhickson
59,Billups,Chauncey,41,PG,LAC,UFA,4000000,4000000,chaunceybillups
60,Augustin,D.J.,29,PG,CHA,UFA,3500000,3500000,djaugustin
61,LucasIII,John,34,PG,CHI,UFA,3000000,1500000,johnlucasiii
62,Smith,Ishmael,29,PG,ORL,UFA,2854389,951463,ishmaelsmith
63,Haddadi,Hamed,32,C,MEM,UFA,2697500,1348750,hamedhaddadi
64,Foye,Randy,34,SG,LAC,UFA,2500000,2500000,randyfoye
65,Anderson,James,28,SG,SAS,UFA,2429920,809973,jamesanderson
66,Price,Ronnie,34,PG,PHX,UFA,2412314,1206157,ronnieprice
67,Mills,Patrick,29,PG,SAS,UFA,2219070,1109535,patrickmills
68,Watson,C.J.,33,PG,CHI,UFA,2099622,1049811,cjwatson
69,Orton,Daniel,27,C,ORL,UFA,1770488,885244,danielorton
70,Webster,Martell,30,SF,MIN,UFA,1750000,1750000,martellwebster
71,Liggins,DeAndre,29,SG,ORL,UFA,1646488,823244,deandreliggins
72,Higgins,Cory,28,SG,CHA,UFA,1646488,823244,coryhiggins
73,Moore,E'Twaun,28,SG,HOU,UFA,1646488,823244,etwaunmoore
74,Meeks,Jodie,30,SG,PHI,UFA,1500000,1500000,jodiemeeks
75,Murphy,Troy,37,PF,LAL,UFA,1352181,1352181,troymurphy
76,O'Neal,Jermaine,38,C,BOS,UFA,1352181,1352181,jermaineoneal
77,Mohammed,Nazr,39,C,OKC,UFA,1352181,1352181,nazrmohammed
78,Collins,Jason,29,C,ATL,UFA,1352181,1352181,jasoncollins
79,Jamison,Antawn,41,PF,CLE,UFA,1352181,1352181,antawnjamison
80,Radmanovic,Vladimir,36,SF,ATL,UFA,1352181,1352181,vladimirradmanovic
81,Stackhouse,Jerry,42,SF,ATL,UFA,1352181,1352181,jerrystackhouse
82,Wilcox,Chris,35,PF,BOS,UFA,1352181,1352181,chriswilcox
83,Christmas,Dionte,31,SG,PHI,UFA,1262476,631238,diontechristmas
84,Howard,Josh,37,SF,UTH,UFA,1229255,1229255,joshhoward
85,Barbosa,Leandro,34,SG,IND,UFA,1229255,1229255,leandrobarbosa
86,Pargo,Jannero,37,PG,ATL,UFA,1229255,1229255,janneropargo
87,Milicic,Darko,32,PF,MIN,UFA,1229255,1229255,darkomilicic
88,Daniels,Marquis,36,SF,BOS,UFA,1229255,1229255,marquisdaniels
89,Cook,Brian,36,PF,DEN,UFA,1229255,1229255,briancook
90,Barnes,Matt,37,SF,LAL,UFA,1229255,1229255,mattbarnes
91,Bogans,Keith,37,SF,NJN,UFA,1229255,1229255,keithbogans
92,Wilkins,Damien,37,SG,DET,UFA,1223166,1223166,damienwilkins
93,Ivey,Royal,35,PG,OKC,UFA,1223166,1223166,royalivey
94,Jones,Solomon,33,PF,PHX,UFA,1217915,608958,solomonjones
95,Williams,Terrence,30,SG,BOS,UFA,1197823,598912,terrencewilliams
96,Jones,Kevin,28,PF,CLE,UFA,1178899,589450,kevinjones
97,Blatche,Andray,31,C,WAS,UFA,1146337,1146337,andrayblatche
98,Robinson,Nate,33,PG,GSW,UFA,1146337,1146337,naterobinson
99,Turiaf,Ronny,34,C,MIA,UFA,1146337,1146337,ronnyturiaf
100,Livingston,Shaun,32,PG,HOU,UFA,1108044,1108044,shaunlivingston
101,Fisher,Derek,43,PG,OKC,UFA,1088340,1088340,derekfisher
102,Barron,Earl,36,PF,GSW,UFA,1069509,1069509,earlbarron
103,Childress,Josh,34,SF,PHX,UFA,1069509,1069509,joshchildress
104,Brewer,Ronnie,32,SF,CHI,UFA,1069509,1069509,ronniebrewer
105,Hollins,Ryan,32,C,CLE,UFA,1069509,1069509,ryanhollins
106,Ebanks,Devin,27,SF,LAL,RFA,1054389,1054389,devinebanks
107,Harangody,Luke,29,PF,CLE,RFA,1054389,1054389,lukeharangody
108,Greene,Donte,29,SF,SAC,RFA,1032811,516406,dontegreene
109,Varnado,Jarvis,29,PF,MIA,UFA,1006173,503087,jarvisvarnado
110,Johnson,Ivan,33,PF,ATL,RFA,962195,962195,ivanjohnson
111,Morris,Darius,26,PG,LAL,RFA,962195,962195,dariusmorris
112,Morrison,Adam,33,SF,WAS,UFA,915852,915852,adammorrison
113,Martin,Cartier,32,PF,WAS,UFA,915852,915852,cartiermartin
114,Brown,Derrick,30,PG,CHA,UFA,885120,885120,derrickbrown
115,Price,A.J.,30,PG,IND,UFA,885120,885120,ajprice
116,Ahearn,Blake,33,SG,UTH,UFA,885120,885120,blakeahearn
117,Johnson,Armon,28,PG,NJN,UFA,854389,854389,armonjohnson
118,Jeffers,Othyus,32,PG,WAS,UFA,854389,854389,othyusjeffers
119,Tolliver,Anthony,32,PF,MIN,UFA,854389,854389,anthonytolliver
120,Holiday,Justin,28,SG,POR,UFA,836232,418116,justinholiday
121,Joseph,Kris,28,SF,BKN,UFA,805587,402794,krisjoseph
122,Akognon,Josh,31,PG,DAL,UFA,802802,401401,joshakognon
123,Reed,Willie,27,PF,SAC,UFA,791658,395829,williereed
124,RussellJr,Walker,34,PG,DET,UFA,762195,762195,walkerrussell
125,Jordan,Jerome,31,C,HOU,UFA,762195,762195,jeromejordan
126,Harrellson,Josh,28,PF,HOU,UFA,762195,762195,joshharrellson
127,Wright,Chris,29,SF,GSW,UFA,762195,762195,chriswright
128,Harris,Terrel,30,SG,MIA,UFA,762195,762195,terrelharris
129,Taylor,Jermaine,30,SG,SAC,UFA,762195,762195,jermainetaylor
130,Gladness,Mickell,31,PF,GSW,UFA,762195,762195,mickellgladness
131,Cook,Daequan,30,SG,HOU,UFA,595608,595608,daequancook
132,Douglas-Roberts,Chris,30,SG,DAL,UFA,593678,593678,chrisdouglasroberts
133,Hayward,Lazar,30,PF,HOU,UFA,573066,573066,lazarhayward
134,Temple,Garrett,31,SG,MIA,UFA,572943,572943,garretttemple
135,Mack,Shelvin,27,PG,WAS,UFA,511119,511119,shelvinmack
136,Tarver,Seth,29,SG,POR,UFA,473604,473604,sethtarver
137,Dennis,Stephen,30,SG,LAC,UFA,473604,473604,stephendennis
138,Mays,James,31,PF,BKN,UFA,473604,473604,jamesmays
139,Dooling,Keyon,37,SG,BOS,UFA,119310,119310,keyondooling
140,Andersen,Chris,39,PF,DEN,UFA,72309,0,chrisandersen
141,Randolph,Shavlik,33,PF,WAS,UFA,58393,5839,shavlikrandolph
142,McGuire,Dominic,31,SF,IND,UFA,58392,5839,dominicmcguire
143,Goudelock,Andrew,28,PG,LAL,UFA,17934,17934,andrewgoudelock
144,McGrady,Tracy,38,SG,ATL,UFA,15908,15908,tracymcgrady
145,Richardson,Quentin,37,PF,ORL,UFA,15908,15908,quentinrichardson
