,last name,first name,age,position,team,faStatus,total-contract,average,name
0,Williams,Deron,33,PG,BKN,UFA,98772325,19754465,deronwilliams
1,Hibbert,Roy,30,C,IND,RFA,58365563,14591391,royhibbert
2,Batum,Nicolas,28,SG,POR,RFA,46121500,11530375,nicolasbatum
3,McGee,JaVale,29,C,DEN,RFA,44000000,11000000,javalemcgee
4,Wallace,Gerald,35,SF,BKN,UFA,40000030,10000008,geraldwallace
5,Hill,George,31,PG,IND,RFA,40000000,8000000,georgehill
6,Ilyasova,Ersan,30,SF,MIL,UFA,40000000,8000000,ersanilyasova
7,Garnett,Kevin,41,PF,BOS,UFA,36000000,12000000,kevingarnett
8,Green,Jeff,31,SF,BOS,UFA,35200000,8800000,jeffgreen
9,Anderson,Ryan,29,PF,ORL,RFA,34000000,8500000,ryananderson
10,Duncan,Tim,41,PF,SAS,UFA,30361446,10120482,timduncan
11,Thompson,Jason,31,PF,SAC,RFA,30187500,6037500,jasonthompson
12,Dragic,Goran,31,PG,HOU,UFA,30000000,7500000,gorandragic
13,Nash,Steve,43,PG,PHX,UFA,27901500,9300500,stevenash
14,Nelson,Jameer,35,PG,ORL,UFA,25200000,8400000,jameernelson
15,Asik,Omer,31,C,CHI,RFA,25123938,8374646,omerasik
16,Lin,Jeremy,29,PG,NYK,RFA,25123938,8374646,jeremylin
17,Lee,Courtney,32,SG,HOU,UFA,21350000,5337500,courtneylee
18,Crawford,Jamal,37,SG,POR,UFA,21350000,5337500,jamalcrawford
19,Bass,Brandon,32,PF,BOS,UFA,19350000,6450000,brandonbass
20,Fields,Landry,29,SF,NYK,RFA,18750000,6250000,landryfields
21,Beasley,Michael,28,SF,MIN,UFA,18000000,6000000,michaelbeasley
22,Mahinmi,Ian,30,C,DAL,UFA,16000000,4000000,ianmahinmi
23,Williams,Louis,30,SG,PHI,UFA,15675000,5225000,louiswilliams
24,Terry,Jason,40,SG,DAL,UFA,15675000,5225000,jasonterry
25,Felton,Raymond,33,PG,POR,UFA,14860000,3715000,raymondfelton
