"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","X","ORtg","DRtg","fix"
"1",1,"Jeff Adrien\adrieje01","PF",25,"HOU",8,0,63,5.8,13.3,0.438,0,0,NA,5.8,13.3,0.438,5.8,10,0.583,4.2,14.1,18.3,0.8,0,1.7,1.7,10.8,17.5,NA,106,103,"jeffadrien"
"2",2,"Arron Afflalo\afflaar01","SG",26,"DEN",62,62,2086,8,17.1,0.471,2.1,5.4,0.398,5.9,11.7,0.504,4.8,6,0.798,1,3.8,4.8,3.6,0.9,0.3,2.1,3.3,23,NA,116,111,"arronafflalo"
"3",3,"Blake Ahearn\ahearbl01","PG",27,"UTA",4,0,30,7,24.5,0.286,3.5,15.7,0.222,3.5,8.7,0.4,0,0,NA,0,3.5,3.5,1.7,0,0,8.7,7,17.5,NA,57,113,"blakeahearn"
"4",4,"Solomon Alabi\alabiso01","C",23,"TOR",14,0,122,5.7,15.9,0.361,0,0,NA,5.7,15.9,0.361,3.1,3.5,0.875,6.6,14.1,20.7,1.3,0.9,4,2.2,4.8,14.5,NA,95,98,"solomonalabi"
"5",5,"Cole Aldrich\aldrico01","C",23,"OKC",26,0,173,6.6,12.5,0.524,0,0,NA,6.6,12.5,0.524,3.9,4.2,0.929,3.9,10.4,14.3,0.9,2.4,4.8,2.7,6.6,17,NA,113,96,"colealdrich"
"6",6,"LaMarcus Aldridge\aldrila01","PF",26,"POR",55,55,1994,12.7,24.9,0.512,0.1,0.3,0.182,12.7,24.6,0.516,5.9,7.2,0.814,4,7.7,11.7,3.5,1.3,1.2,2.9,4,31.4,NA,113,106,"lamarcusaldridge"
"7",7,"Lavoy Allen\allenla01","PF",22,"PHI",41,15,624,6.8,14.3,0.473,0,0,NA,6.8,14.3,0.473,0.9,1.2,0.786,4,10.6,14.7,2.9,1.1,1.5,1.7,6.3,14.5,NA,104,98,"lavoyallen"
"8",8,"Ray Allen\allenra02","SG",36,"BOS",46,42,1565,7.7,16.7,0.458,3.6,7.9,0.453,4.1,8.8,0.463,3.3,3.6,0.915,0.5,4.3,4.8,3.7,1.7,0.3,2.3,2.8,22.2,NA,111,101,"rayallen"
"9",9,"Tony Allen\allento01","SG",30,"MEM",58,57,1525,7.3,15.5,0.469,0.3,0.9,0.308,7,14.6,0.479,4.9,6.1,0.8,3.4,4.7,8.1,2.7,3.6,1.1,3.3,4.9,19.7,NA,106,100,"tonyallen"
"10",10,"Morris Almond\almonmo01","SG",26,"WAS",4,0,67,4.6,13.2,0.353,0.8,2.3,0.333,3.9,10.8,0.357,0.8,2.3,0.333,0.8,5.4,6.2,1.5,5.4,0,0.8,4.6,10.8,NA,85,101,"morrisalmond"
"11",11,"Al-Farouq Aminu\aminual01","SF",21,"NOH",66,21,1477,5.5,13.4,0.411,0.5,1.7,0.277,5,11.7,0.431,3.2,4.2,0.754,3.5,7.8,11.3,2.4,2.2,1.3,3.3,5,14.7,NA,93,103,"alfarouqaminu"
"12",12,"Lou Amundson\amundlo01","PF",29,"IND",60,0,753,6.3,14.5,0.43,0,0,NA,6.3,14.5,0.43,2.5,5.8,0.427,6.6,9,15.6,1,1.9,3.1,3.2,8.8,15,NA,92,99,"louamundson"
"13",13,"Chris Andersen\anderch01","C",33,"DEN",32,1,486,6.2,11.3,0.546,0,0,NA,6.2,11.3,0.546,5.2,8.6,0.61,5,10.5,15.5,0.6,2,4.8,1.8,5.5,17.6,NA,119,99,"chrisandersen"
"14",14,"Alan Anderson\anderal01","SF",29,"TOR",17,12,461,6.4,16.6,0.387,2.8,7.1,0.393,3.6,9.4,0.383,3.4,4,0.853,0.9,3,4,3,0.6,0.3,2.9,4.1,19,NA,99,110,"alananderson"
"15",15,"James Anderson\anderja01","SG",22,"SAS",51,2,603,5.7,14.9,0.379,1.6,5.8,0.279,4,9.1,0.443,3.3,4.5,0.75,1.4,5.4,6.8,3.5,0.7,0.2,2.6,3,16.3,NA,97,107,"jamesanderson"
"16",16,"Ryan Anderson\anderry01","PF",23,"ORL",61,61,1964,9.1,20.8,0.439,4.6,11.6,0.393,4.6,9.2,0.496,4.1,4.7,0.877,6.1,6.8,12.9,1.5,1.4,0.7,1.6,4,26.9,NA,124,105,"ryananderson"
"17",17,"Carmelo Anthony\anthoca01","SF",27,"NYK",55,55,1876,12.1,28.2,0.43,1.9,5.6,0.335,10.2,22.6,0.454,8.1,10.1,0.804,2.4,7,9.4,5.5,1.7,0.7,4,4.3,34.2,NA,106,102,"carmeloanthony"
"18",18,"Joel Anthony\anthojo01","C",29,"MIA",64,51,1349,3.3,5.9,0.559,0,0,NA,3.3,5.9,0.559,1.9,2.8,0.69,3.9,5.9,9.8,0.4,1.4,3.3,1.8,4.9,8.5,NA,113,100,"joelanthony"
"19",19,"Gilbert Arenas\arenagi01","PG",30,"MEM",17,0,211,6.5,16,0.406,3.3,9.8,0.333,3.3,6.3,0.52,1.8,2.5,0.7,0.5,4,4.5,4.5,2.8,0.3,3,8.8,18,NA,102,103,"gilbertarenas"
"20",20,"Trevor Ariza\arizatr01","SF",26,"NOH",41,41,1350,6.8,16.2,0.417,1.2,3.5,0.333,5.6,12.7,0.44,3.2,4.1,0.775,1.7,7,8.7,5.4,2.8,1,3.1,2.9,17.9,NA,100,103,"trevorariza"
"21",21,"Omer Asik\asikom01","C",25,"CHI",66,2,971,4.4,8.7,0.506,0,0,NA,4.4,8.7,0.506,2.6,5.7,0.456,7,12.4,19.4,1.8,1.7,3.8,3.8,6.7,11.4,NA,97,92,"omerasik"
"22",22,"D.J. Augustin\augusdj01","PG",24,"CHA",48,46,1408,6.8,18.2,0.376,2.3,6.7,0.341,4.6,11.5,0.396,3.9,4.5,0.875,0.9,3.2,4.1,11.5,1.3,0,4.1,2.4,19.9,NA,100,114,"djaugustin"
"23",23,"Gustavo Ayon\ayongu01","PF",26,"NOH",54,24,1088,7,13,0.536,0,0,0,7,13,0.538,1.9,3.1,0.619,4.3,8.9,13.2,3.7,2.6,2.3,2.3,5.9,15.9,NA,111,100,"gustavoayon"
"24",24,"Jeff Ayres\pendeje02","C",24,"IND",20,1,106,7.5,18,0.417,0,0,NA,7.5,18,0.417,2,3.5,0.571,6,10.5,16.5,2,1.5,1,1,8,17,NA,105,101,"jeffayres"
"25",25,"Kelenna Azubuike\azubuke01","SG",28,"DAL",3,0,18,8.7,23.3,0.375,2.9,8.7,0.333,5.8,14.6,0.4,0,0,NA,0,0,0,0,2.9,0,11.7,2.9,20.4,NA,54,106,"kelennaazubuike"
"26",26,"Luke Babbitt\babbilu01","SF",22,"POR",40,4,537,7,17,0.41,4.2,9.8,0.43,2.7,7.2,0.384,1.7,2,0.85,1.6,7.7,9.3,1.6,1,0.4,2.6,4.5,19.8,NA,103,108,"lukebabbitt"
