"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","fix"
"1",1,"Jeff Adrien\adrieje01","PF",25,"HOU",8,0,63,4,9.1,0.438,0,0,NA,4,9.1,0.438,4,6.9,0.583,2.9,9.7,12.6,0.6,0,1.1,1.1,7.4,12,"jeffadrien"
"2",2,"Arron Afflalo\afflaar01","SG",26,"DEN",62,62,2086,5.7,12.1,0.471,1.5,3.8,0.398,4.2,8.2,0.504,3.4,4.3,0.798,0.7,2.7,3.4,2.6,0.6,0.2,1.5,2.3,16.3,"arronafflalo"
"3",3,"Blake Ahearn\ahearbl01","PG",27,"UTA",4,0,30,4.8,16.8,0.286,2.4,10.8,0.222,2.4,6,0.4,0,0,NA,0,2.4,2.4,1.2,0,0,6,4.8,12,"blakeahearn"
"4",4,"Solomon Alabi\alabiso01","C",23,"TOR",14,0,122,3.8,10.6,0.361,0,0,NA,3.8,10.6,0.361,2.1,2.4,0.875,4.4,9.4,13.9,0.9,0.6,2.7,1.5,3.2,9.7,"solomonalabi"
"5",5,"Cole Aldrich\aldrico01","C",23,"OKC",26,0,173,4.6,8.7,0.524,0,0,NA,4.6,8.7,0.524,2.7,2.9,0.929,2.7,7.3,10,0.6,1.7,3.3,1.9,4.6,11.9,"colealdrich"
"6",6,"LaMarcus Aldridge\aldrila01","PF",26,"POR",55,55,1994,8.7,17,0.512,0,0.2,0.182,8.7,16.8,0.516,4,4.9,0.814,2.7,5.3,8,2.4,0.9,0.8,2,2.8,21.5,"lamarcusaldridge"
"7",7,"Lavoy Allen\allenla01","PF",22,"PHI",41,15,624,4.6,9.6,0.473,0,0,NA,4.6,9.6,0.473,0.6,0.8,0.786,2.7,7.2,9.9,2,0.7,1,1.2,4.2,9.7,"lavoyallen"
"8",8,"Ray Allen\allenra02","SG",36,"BOS",46,42,1565,5.2,11.3,0.458,2.4,5.4,0.453,2.8,6,0.463,2.2,2.4,0.915,0.3,2.9,3.3,2.5,1.1,0.2,1.6,1.9,15.1,"rayallen"
"9",9,"Tony Allen\allento01","SG",30,"MEM",58,57,1525,5,10.6,0.469,0.2,0.6,0.308,4.8,10,0.479,3.3,4.1,0.8,2.3,3.2,5.5,1.9,2.5,0.8,2.2,3.4,13.4,"tonyallen"
"10",10,"Morris Almond\almonmo01","SG",26,"WAS",4,0,67,3.2,9.1,0.353,0.5,1.6,0.333,2.7,7.5,0.357,0.5,1.6,0.333,0.5,3.8,4.3,1.1,3.8,0,0.5,3.2,7.5,"morrisalmond"
"11",11,"Al-Farouq Aminu\aminual01","SF",21,"NOH",66,21,1477,3.7,8.9,0.411,0.3,1.1,0.277,3.3,7.8,0.431,2.1,2.8,0.754,2.3,5.2,7.5,1.6,1.4,0.8,2.2,3.3,9.7,"alfarouqaminu"
"12",12,"Lou Amundson\amundlo01","PF",29,"IND",60,0,753,4.3,9.9,0.43,0,0,NA,4.3,9.9,0.43,1.7,3.9,0.427,4.5,6.1,10.6,0.7,1.3,2.1,2.2,6,10.2,"louamundson"
"13",13,"Chris Andersen\anderch01","C",33,"DEN",32,1,486,4.4,8,0.546,0,0,NA,4.4,8,0.546,3.7,6.1,0.61,3.6,7.4,11,0.4,1.4,3.4,1.3,3.9,12.4,"chrisandersen"
"14",14,"Alan Anderson\anderal01","SF",29,"TOR",17,12,461,4.3,11.1,0.387,1.9,4.8,0.393,2.4,6.3,0.383,2.3,2.7,0.853,0.6,2,2.7,2,0.4,0.2,2,2.7,12.7,"alananderson"
"15",15,"James Anderson\anderja01","SG",22,"SAS",51,2,603,3.9,10.4,0.379,1.1,4.1,0.279,2.8,6.3,0.443,2.3,3.1,0.75,1,3.8,4.7,2.4,0.5,0.1,1.8,2.1,11.3,"jamesanderson"
"16",16,"Ryan Anderson\anderry01","PF",23,"ORL",61,61,1964,6.1,13.9,0.439,3,7.7,0.393,3,6.1,0.496,2.7,3.1,0.877,4.1,4.5,8.6,1,0.9,0.5,1,2.7,18,"ryananderson"
"17",17,"Carmelo Anthony\anthoca01","SF",27,"NYK",55,55,1876,8.5,19.7,0.43,1.3,3.9,0.335,7.2,15.8,0.454,5.7,7,0.804,1.7,4.9,6.6,3.8,1.2,0.5,2.8,3,23.9,"carmeloanthony"
"18",18,"Joel Anthony\anthojo01","C",29,"MIA",64,51,1349,2.3,4.1,0.559,0,0,NA,2.3,4.1,0.559,1.3,1.9,0.69,2.7,4,6.7,0.2,1,2.2,1.2,3.4,5.8,"joelanthony"
"19",19,"Gilbert Arenas\arenagi01","PG",30,"MEM",17,0,211,4.4,10.9,0.406,2.2,6.7,0.333,2.2,4.3,0.52,1.2,1.7,0.7,0.3,2.7,3.1,3.1,1.9,0.2,2,6,12.3,"gilbertarenas"
