"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","fix"
"221",240,"Brandon Jennings\jennibr01","PG",22,"MIL",66,66,2331,469,1121,0.418,129,388,0.332,340,733,0.464,0.476,193,239,0.808,49,177,226,365,104,22,146,114,1260,"brandonjennings"
"222",241,"Jonas Jerebko\jerebjo01","PF",24,"DET",64,13,1468,212,453,0.468,32,106,0.302,180,347,0.519,0.503,100,124,0.806,96,212,308,43,41,21,66,162,556,"jonasjerebko"
"223",242,"Yi Jianlian\jianlyi01","PF",24,"DAL",30,0,203,31,82,0.378,3,10,0.3,28,72,0.389,0.396,14,21,0.667,12,37,49,5,7,8,14,23,79,"yijianlian"
"224",243,"Amir Johnson\johnsam01","PF",24,"TOR",64,43,1553,196,340,0.576,2,5,0.4,194,335,0.579,0.579,58,84,0.69,149,259,408,79,33,69,94,209,452,"amirjohnson"
"225",245,"Carldell Johnson\johnsca01","PG",29,"NOH",15,0,119,11,35,0.314,4,15,0.267,7,20,0.35,0.371,1,3,0.333,1,8,9,22,8,0,7,11,27,"carldelljohnson"
"226",247,"Ivan Johnson\johnsiv01","PF",27,"ATL",56,0,934,141,275,0.513,2,6,0.333,139,269,0.517,0.516,72,100,0.72,65,161,226,32,43,18,69,116,356,"ivanjohnson"
"227",248,"JaJuan Johnson\johnsja02","PF",22,"BOS",36,0,298,54,121,0.446,0,0,NA,54,121,0.446,0.446,6,9,0.667,20,38,58,6,5,14,14,25,114,"jajuanjohnson"
"228",249,"James Johnson\johnsja01","SF",24,"TOR",62,40,1561,233,518,0.45,19,60,0.317,214,458,0.467,0.468,81,115,0.704,74,218,292,122,71,84,101,177,566,"jamesjohnson"
"229",250,"Joe Johnson\johnsjo02","SG",30,"ATL",60,60,2127,423,931,0.454,125,322,0.388,298,609,0.489,0.521,158,186,0.849,53,168,221,232,48,13,116,75,1129,"joejohnson"
"230",251,"Trey Johnson\johnstr01","SG",27,"NOH",11,0,61,8,14,0.571,0,0,NA,8,14,0.571,0.571,5,5,1,3,9,12,4,1,0,5,10,21,"treyjohnson"
"231",252,"Wesley Johnson\johnswe01","SF",24,"MIN",65,64,1469,158,397,0.398,53,169,0.314,105,228,0.461,0.465,24,34,0.706,24,153,177,59,35,48,60,115,393,"wesleyjohnson"
"232",253,"Dahntay Jones\jonesda02","SF",31,"IND",65,3,1052,115,281,0.409,33,77,0.429,82,204,0.402,0.468,83,99,0.838,23,94,117,63,23,11,46,119,346,"dahntayjones"
"233",254,"Dominique Jones\jonesdo02","SG",23,"DAL",33,1,268,29,73,0.397,1,8,0.125,28,65,0.431,0.404,29,37,0.784,9,35,44,42,10,5,28,28,88,"dominiquejones"
"234",255,"James Jones\jonesja02","SG",31,"MIA",51,10,666,57,150,0.38,46,114,0.404,11,36,0.306,0.533,25,30,0.833,6,43,49,19,17,9,10,45,185,"jamesjones"
"235",257,"DeAndre Jordan\jordade01","C",23,"LAC",66,66,1798,206,326,0.632,0,1,0,206,325,0.634,0.632,74,141,0.525,202,344,546,17,30,134,74,189,486,"deandrejordan"
"236",258,"Jerome Jordan\jordaje01","C",25,"NYK",21,0,108,17,33,0.515,0,0,NA,17,33,0.515,0.515,8,10,0.8,14,13,27,4,1,6,2,15,42,"jeromejordan"
"237",259,"Cory Joseph\josepco01","PG",20,"SAS",29,1,266,22,70,0.314,3,15,0.2,19,55,0.345,0.336,11,17,0.647,5,20,25,34,7,3,12,16,58,"coryjoseph"
"238",260,"Chris Kaman\kamanch01","C",29,"NOH",47,33,1372,266,597,0.446,0,0,NA,266,597,0.446,0.446,84,107,0.785,89,275,364,101,25,77,129,106,616,"chriskaman"
"239",261,"Enes Kanter\kanteen01","C",19,"UTA",66,0,874,117,236,0.496,0,1,0,117,235,0.498,0.496,70,105,0.667,107,171,278,8,18,23,54,87,304,"eneskanter"
"240",262,"Jason Kapono\kaponja01","SG",30,"LAL",27,0,269,21,55,0.382,8,27,0.296,13,28,0.464,0.455,4,4,1,2,12,14,11,3,0,6,21,54,"jasonkapono"
"241",263,"D.J. Kennedy\kennedj01","SF",22,"CLE",2,0,59,5,12,0.417,2,4,0.5,3,8,0.375,0.5,0,2,0,1,6,7,3,2,0,3,7,12,"djkennedy"
"242",264,"Jason Kidd\kiddja01","PG",38,"DAL",48,48,1379,99,273,0.363,79,223,0.354,20,50,0.4,0.507,22,28,0.786,15,183,198,264,82,10,91,83,299,"jasonkidd"
"243",265,"Linas Kleiza\kleizli01","SF",27,"TOR",49,3,1057,165,410,0.402,62,179,0.346,103,231,0.446,0.478,81,100,0.81,42,157,199,46,23,4,64,119,473,"linaskleiza"
"244",266,"Brandon Knight\knighbr03","PG",20,"DET",66,60,2129,319,769,0.415,105,276,0.38,214,493,0.434,0.483,104,137,0.759,33,178,211,251,49,10,171,154,847,"brandonknight"
"245",267,"Kyle Korver\korveky01","SG",30,"CHI",65,7,1469,178,412,0.432,118,271,0.435,60,141,0.426,0.575,55,66,0.833,26,133,159,112,36,15,53,110,529,"kylekorver"
"246",268,"Kosta Koufos\koufoko01","C",22,"DEN",48,24,792,115,192,0.599,0,0,NA,115,192,0.599,0.599,33,55,0.6,95,163,258,15,24,41,33,96,263,"kostakoufos"
"247",269,"Carl Landry\landrca01","PF",28,"NOH",41,8,999,182,362,0.503,0,3,0,182,359,0.507,0.503,147,184,0.799,78,136,214,38,13,12,64,89,511,"carllandry"
