"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","fix"
"1",1,"Quincy Acy\acyqu01","PF",25,"SAC",59,29,876,4.9,8.8,0.556,0.8,2,0.388,4.1,6.8,0.606,2.1,2.8,0.735,2.7,5.1,7.7,1.1,1.2,1,1.1,4.2,12.6,"quincyacy"
"2",2,"Jordan Adams\adamsjo01","SG",21,"MEM",2,0,15,4.8,14.4,0.333,0,2.4,0,4.8,12,0.4,7.2,12,0.6,0,4.8,4.8,7.2,7.2,0,4.8,4.8,16.8,"jordanadams"
"3",3,"Steven Adams\adamsst01","C",22,"OKC",80,80,2014,4.7,7.6,0.613,0,0,NA,4.7,7.6,0.613,2,3.5,0.582,3.9,5.6,9.5,1.1,0.8,1.6,1.5,4,11.4,"stevenadams"
"4",4,"Arron Afflalo\afflaar01","SG",30,"NYK",71,57,2371,5.4,12.1,0.443,1.4,3.6,0.382,4,8.5,0.469,1.7,2,0.84,0.3,3.7,4,2.2,0.4,0.2,1.2,2.2,13.8,"arronafflalo"
"5",5,"Alexis Ajinca\ajincal01","C",27,"NOP",59,17,861,6.3,13.2,0.476,0,0,0,6.3,13.1,0.478,2.2,2.6,0.839,3.1,8.1,11.2,1.3,0.8,1.5,2.3,5.6,14.7,"alexisajinca"
"6",6,"Cole Aldrich\aldrico01","C",27,"LAC",60,5,800,6,10.1,0.596,0,0,NA,6,10.1,0.596,2.7,3.8,0.714,3.9,9.1,13,2.3,2.1,3.1,2.9,6.3,14.8,"colealdrich"
"7",7,"LaMarcus Aldridge\aldrila01","PF",30,"SAS",74,74,2261,8.5,16.6,0.513,0,0.3,0,8.5,16.4,0.521,4.1,4.8,0.858,2.8,7.3,10.1,1.8,0.6,1.3,1.6,2.4,21.2,"lamarcusaldridge"
"8",8,"Cliff Alexander\alexacl01","PF",20,"POR",8,0,36,5,10,0.5,0,0,NA,5,10,0.5,0,0,NA,2,4,6,0,1,2,1,1,10,"cliffalexander"
"9",9,"Lavoy Allen\allenla01","PF",26,"IND",79,28,1599,4.3,8.3,0.516,0,0,NA,4.3,8.3,0.516,1,1.6,0.63,3.6,5.9,9.5,1.7,0.6,0.9,1.6,3.3,9.6,"lavoyallen"
"10",10,"Tony Allen\allento01","SG",34,"MEM",64,57,1620,4.8,10.4,0.458,0.3,0.9,0.357,4.4,9.5,0.468,2,3.1,0.652,2.3,4.3,6.6,1.6,2.4,0.4,1.7,3.9,11.9,"tonyallen"
"11",11,"Al-Farouq Aminu\aminual01","SF",25,"POR",82,82,2341,4.6,11.1,0.416,1.9,5.4,0.361,2.7,5.7,0.468,1.8,2.4,0.737,1.5,6.2,7.7,2.1,1.1,0.8,1.8,2.6,12.9,"alfarouqaminu"
"12",12,"Lou Amundson\amundlo01","PF",33,"NYK",29,0,204,3.4,9.4,0.358,0,0,NA,3.4,9.4,0.358,2.5,4.8,0.519,4.1,4.6,8.6,2.1,1.1,1.2,2.6,7.8,9.2,"louamundson"
