"","Rk","Player","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP","fix"
"1",1,"Quincy Acy\acyqu01","PF",25,"SAC",59,876,14.7,0.629,0.229,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10,13.1,NA,1.8,0.7,2.5,0.137,NA,0.2,0,0.2,0.5,"quincyacy"
"2",2,"Jordan Adams\adamsjo01","SG",21,"MEM",2,15,17.3,0.427,0.167,0.833,0,15.9,7.6,31.9,10.3,0,19.6,30.5,NA,0,0,0,0.015,NA,-2.9,4.8,1.9,0,"jordanadams"
"3",3,"Steven Adams\adamsst01","C",22,"OKC",80,2014,15.5,0.621,0,0.46,12.5,16.1,14.4,4.3,1,3.3,14.1,12.6,NA,4.2,2.3,6.5,0.155,NA,0.8,1.3,2.1,2.1,"stevenadams"
"4",4,"Arron Afflalo\afflaar01","SG",30,"NYK",71,2371,10.9,0.531,0.298,0.164,1.1,11,6.1,9.9,0.5,0.3,8.7,17.9,NA,1.8,0.9,2.7,0.055,NA,-0.6,-1.8,-2.4,-0.2,"arronafflalo"
"5",5,"Alexis Ajinca\ajincal01","C",27,"NOP",59,861,13.8,0.514,0.003,0.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,NA,0.2,0.9,1,0.058,NA,-4.3,-0.2,-4.5,-0.5,"alexisajinca"
"6",6,"Cole Aldrich\aldrico01","C",27,"LAC",60,800,21.3,0.626,0,0.373,11.9,27.1,19.6,10,2.9,6.7,19.6,18.4,NA,1.4,2,3.5,0.209,NA,-1,5.8,4.8,1.4,"colealdrich"
"7",7,"LaMarcus Aldridge\aldrila01","PF",30,"SAS",74,2261,22.4,0.565,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,NA,5.6,4.5,10.1,0.215,NA,0.7,1.1,1.8,2.2,"lamarcusaldridge"
"8",8,"Cliff Alexander\alexacl01","PF",20,"POR",8,36,11.6,0.5,0,0,6,12.1,9,0,1.4,4.4,9.1,13.3,NA,0,0,0,0.052,NA,-5.7,-1.3,-7,0,"cliffalexander"
"9",9,"Lavoy Allen\allenla01","PF",26,"IND",79,1599,12.4,0.532,0,0.197,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13,NA,1.6,2.1,3.7,0.11,NA,-2.1,1.4,-0.6,0.6,"lavoyallen"
"10",10,"Tony Allen\allento01","SG",34,"MEM",64,1620,12.9,0.505,0.09,0.294,7,14.1,10.4,6.9,3.5,1,12.8,16.8,NA,0.5,1.9,2.4,0.072,NA,-1.5,1.4,-0.1,0.8,"tonyallen"
"11",11,"Al-Farouq Aminu\aminual01","SF",25,"POR",82,2341,12.7,0.533,0.485,0.217,4.5,18.6,11.5,8.8,1.5,1.8,13.2,16.9,NA,1.7,2.3,4,0.082,NA,-0.4,0.7,0.2,1.3,"alfarouqaminu"
"12",12,"Lou Amundson\amundlo01","PF",33,"NYK",29,204,6.7,0.401,0,0.509,12.5,13.7,13.1,8.8,1.5,2.6,18.8,17.7,NA,-0.3,0.2,-0.1,-0.014,NA,-5.3,0.4,-5,-0.2,"louamundson"
"13",14,"Alan Anderson\anderal01","SG",33,"WAS",13,192,9.2,0.495,0.627,0.254,0.6,15.5,7.9,10.3,1,0.4,3,15.4,NA,0.2,0.2,0.3,0.078,NA,-1.2,-1.7,-2.8,0,"alananderson"
"14",15,"James Anderson\anderja01","SG",26,"SAC",51,721,6,0.469,0.483,0.163,2,10.9,6.5,7.7,1.4,1.6,18,13.7,NA,-0.6,0.4,-0.3,-0.017,NA,-3.9,-0.3,-4.2,-0.4,"jamesanderson"
"15",16,"Justin Anderson\anderju01","SF",22,"DAL",55,647,12.3,0.522,0.474,0.314,3.1,19.3,11.2,6.8,1.5,3.2,10.8,15.8,NA,0.3,0.8,1.1,0.083,NA,-2.5,1.3,-1.2,0.1,"justinanderson"
"16",17,"Kyle Anderson\anderky01","SF",22,"SAS",78,1245,12.9,0.528,0.125,0.281,2.4,19.4,11.2,13.7,2.5,1.8,15.1,14.4,NA,0.7,2.8,3.5,0.133,NA,-1.9,3.7,1.8,1.2,"kyleanderson"
"17",18,"Ryan Anderson\anderry01","PF",27,"NOP",66,2008,17.2,0.546,0.385,0.245,7,15.2,10.9,6.1,0.9,1,8,24.7,NA,3.1,0.8,3.9,0.092,NA,1.5,-2.9,-1.4,0.3,"ryananderson"
"18",19,"Giannis Antetokounmpo\antetgi01","PG",21,"MIL",80,2823,18.8,0.566,0.108,0.404,4.6,20,12.4,20,1.7,3.4,14.8,22.3,NA,4.2,2.9,7.1,0.121,NA,1,1.5,2.4,3.2,"giannisantetokounmpo"
"19",20,"Thanasis Antetokounmpo\antetth01","SF",23,"NYK",2,6,32.9,0.75,0.25,0,0,17.9,9.1,0,0,0,0,30.2,NA,0,0,0,0.291,NA,6.3,-10.5,-4.1,0,"thanasisantetokounmpo"
"20",21,"Carmelo Anthony\anthoca01","SF",31,"NYK",72,2530,20.3,0.53,0.237,0.308,4.3,19.5,12,21.9,1.3,1.1,10.6,29.7,NA,3.9,2.5,6.4,0.121,NA,2.8,-0.2,2.6,2.9,"carmeloanthony"
"21",22,"Joel Anthony\anthojo01","C",33,"DET",19,96,14.1,0.666,0,0.8,8.8,15.4,11.9,1.4,1.1,9.5,12.9,7,NA,0.2,0.2,0.4,0.177,NA,-2.8,5,2.2,0.1,"joelanthony"
"22",23,"Keith Appling\applike01","PG",23,"ORL",5,27,-4.8,0.338,0.375,0.25,0,4.2,2.1,5,1.9,0,25.3,19.5,NA,-0.1,0,-0.1,-0.199,NA,-10.3,-2.7,-13,-0.1,"keithappling"
"23",24,"Trevor Ariza\arizatr01","SF",30,"HOU",81,2859,12.9,0.551,0.581,0.187,2.6,11.6,7.1,10,2.8,0.8,10.8,15.7,NA,3.1,2.3,5.4,0.09,NA,1.2,0.3,1.5,2.5,"trevorariza"
"24",25,"Darrell Arthur\arthuda01","PF",27,"DEN",70,1516,12.5,0.514,0.239,0.108,6.2,15.4,10.7,10,1.8,2.6,11.4,16.7,NA,1,1.3,2.3,0.072,NA,-1.2,0.8,-0.3,0.6,"darrellarthur"
"25",26,"Omer Asik\asikom01","C",29,"NOP",68,1178,11,0.551,0,0.574,10.9,28.7,19.5,3.1,0.9,1.6,19.7,11.4,NA,0.7,1,1.7,0.07,NA,-4,-0.2,-4.2,-0.7,"omerasik"
