"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","X","ORtg","DRtg","fix"
"122",128,"Jarell Eddie\eddieja01","SF",24,"WAS",26,0,147,6.6,21.6,0.308,5,15.6,0.319,1.7,6,0.278,2.7,2.7,1,0.7,7,7.6,1.7,1.7,0.3,0.3,1.7,20.9,NA,98,107,"jarelleddie"
"123",129,"Wayne Ellington\ellinwa01","SG",28,"BRK",76,41,1615,6.8,17.5,0.389,3,8.4,0.358,3.8,9.1,0.416,1.7,2,0.857,0.6,4.8,5.4,2.6,1.5,0.2,1.4,2.6,18.3,NA,101,113,"wayneellington"
"124",130,"Monta Ellis\ellismo01","SG",30,"IND",81,81,2734,7.9,18.5,0.427,1.6,5.1,0.309,6.3,13.4,0.472,2.9,3.7,0.786,0.8,4.2,4.9,7,2.7,0.7,3.7,3.2,20.4,NA,99,103,"montaellis"
"125",132,"Tyler Ennis\ennisty01","PG",21,"MIL",46,7,654,6.5,14.6,0.449,1,3,0.333,5.5,11.5,0.48,1.9,2.6,0.735,1,4.8,5.8,7.4,1.9,0.1,3.6,5,16,NA,99,111,"tylerennis"
"126",133,"Jeremy Evans\evansje01","SF",28,"DAL",30,2,251,5.3,9.7,0.542,0.8,3.2,0.25,4.5,6.5,0.688,3,4.3,0.714,2.2,8.7,11,0.4,1.2,1.8,1.4,3.9,14.4,NA,117,105,"jeremyevans"
"127",134,"Tyreke Evans\evansty01","SG",26,"NOP",25,25,765,8.8,20.4,0.433,2.1,5.5,0.388,6.7,14.8,0.45,4.8,6,0.796,1.3,7.1,8.4,10.6,2.1,0.5,4.7,4.3,24.6,NA,105,109,"tyrekeevans"
"128",135,"Festus Ezeli\ezelife01","C",26,"GSW",46,13,770,7.8,14.3,0.548,0,0,NA,7.8,14.3,0.548,4.4,8.3,0.53,5.7,10.4,16.1,2,1.1,3.1,2.4,5.9,20.1,NA,114,101,"festusezeli"
"129",136,"Kenneth Faried\farieke01","PF",26,"DEN",67,64,1694,10.3,18.5,0.558,0,0.1,0.5,10.3,18.5,0.558,4,6.6,0.613,7,10.2,17.2,2.3,0.9,1.8,2.7,5,24.7,NA,116,107,"kennethfaried"
"130",137,"Jordan Farmar\farmajo01","PG",29,"MEM",12,10,291,7.4,17.7,0.42,2.8,8,0.356,4.6,9.7,0.473,1.8,1.8,1,0.7,3.7,4.4,6.5,2.7,0.4,3.2,3.9,19.5,NA,103,109,"jordanfarmar"
"131",138,"Derrick Favors\favorde01","PF",24,"UTA",62,59,1983,11.1,21.6,0.515,0,0.1,0,11.1,21.5,0.518,4.8,6.8,0.709,4.5,8.9,13.4,2.5,2,2.4,2.8,4,27,NA,111,101,"derrickfavors"
"132",139,"Cristiano Felicio\feliccr01","C",23,"CHI",31,4,321,6.2,11.2,0.556,0,0.6,0,6.2,10.6,0.588,3.9,5.5,0.714,4.7,11.2,15.9,4.1,0.9,2,2,4.8,16.4,NA,123,104,"cristianofelicio"
"133",140,"Raymond Felton\feltora01","PG",31,"DAL",80,31,2192,6.4,15.8,0.406,1.4,4.9,0.282,5,10.9,0.463,3.5,4.1,0.847,0.8,5.2,6,6.6,1.6,0.3,2.8,3.3,17.7,NA,102,108,"raymondfelton"
"134",141,"Evan Fournier\fournev01","SF",23,"ORL",79,71,2566,8.4,18.1,0.462,3,7.6,0.4,5.3,10.5,0.506,3.9,4.6,0.836,0.6,3.7,4.4,4.2,1.9,0,2.6,4.2,23.6,NA,111,110,"evanfournier"
