,name,last name,first name,position,team,year,average salary
0,mikeconley,Conley,Mike,PG,MEM,2016,30521115
1,demarderozan,DeRozan,DeMar,SG,TOR,2016,27800000
2,bradleybeal,Beal,Bradley,SG,WAS,2016,25434263
3,andredrummond,Drummond,Andre,C,DET,2016,25434263
4,nicolasbatum,Batum,Nicolas,SG,CHA,2016,24000000
5,alhorford,Horford,Al,C,BOS,2016,28331557
6,lebronjames,James,LeBron,SF,CLE,2016,33285709
7,hassanwhiteside,Whiteside,Hassan,C,MIA,2016,24604885
8,harrisonbarnes,Barnes,Harrison,SF,DAL,2016,23609631
9,chandlerparsons,Parsons,Chandler,SF,MEM,2016,23609631
10,evanfournier,Fournier,Evan,SG,ORL,2016,17000000
11,ryananderson,Anderson,Ryan,PF,HOU,2016,20000000
12,allencrabbe,Crabbe,Allen,SF,POR,2016,18708125
13,joakimnoah,Noah,Joakim,C,NYK,2016,18147500
14,bismackbiyombo,Biyombo,Bismack,PF,ORL,2016,18000000
15,luoldeng,Deng,Luol,SF,LAL,2016,18000000
16,dwighthoward,Howard,Dwight,C,ATL,2016,23500000
17,evanturner,Turner,Evan,SF,POR,2016,17500000
18,kentbazemore,Bazemore,Kent,SF,ATL,2016,17500000
19,timofeymozgov,Mozgov,Timofey,C,LAL,2016,16000000
20,ianmahinmi,Mahinmi,Ian,C,WAS,2016,16000000
21,jrsmith,Smith,J.R.,SG,CLE,2016,14250000
22,marvinwilliams,Williams,Marvin,PF,CHA,2016,13628125
23,kevindurant,Durant,Kevin,SF,GSW,2016,27137253
24,ericgordon,Gordon,Eric,SG,HOU,2016,13221622
25,milesplumlee,Plumlee,Miles,C,CHA,2016,12500000
27,tylerjohnson,Johnson,Tyler,SG,MIA,2016,12500000
28,jordanclarkson,Clarkson,Jordan,SG,LAL,2016,12500000
29,courtneylee,Lee,Courtney,SG,NYK,2016,12000835
30,dwyanewade,Wade,Dwyane,SG,CHI,2016,23500000
31,mauriceharkless,Harkless,Maurice,PF,POR,2016,10500000
32,jamalcrawford,Crawford,Jamal,SG,LAC,2016,14000000
33,jonleuer,Leuer,Jon,PF,DET,2016,10500000
34,meyersleonard,Leonard,Meyers,C,POR,2016,10250000
35,matthewdellavedova,Dellavedova,Matthew,PG,MIL,2016,9607500
36,dwightpowell,Powell,Dwight,PF,DAL,2016,9317188
37,austinrivers,Rivers,Austin,SG,LAC,2016,11825000
38,paugasol,Gasol,Pau,PF,SAS,2016,15848750
39,aljefferson,Jefferson,Al,C,IND,2016,10000000
40,jareddudley,Dudley,Jared,PF,PHX,2016,10000000
41,djaugustin,Augustin,D.J.,PG,ORL,2016,7250000
42,lancethomas,Thomas,Lance,SF,NYK,2016,6887488
43,rajonrondo,Rondo,Rajon,PG,CHI,2016,13698500
44,jerrydbayless,Bayless,Jerryd,PG,PHI,2016,9000000
45,andrewnicholson,Nicholson,Andrew,PF,WAS,2016,4298113
46,dirknowitzki,Nowitzki,Dirk,PF,DAL,2016,25000000
47,arronafflalo,Afflalo,Arron,SG,SAC,2016,12500000
48,garretttemple,Temple,Garrett,SG,SAC,2016,8000000
49,darrellarthur,Arthur,Darrell,PF,DEN,2016,7666667
50,joejohnson,Johnson,Joe,SF,UTA,2016,10752500
51,bobanmarjanovic,Marjanovic,Boban,C,DET,2016,7000000
52,tylerzeller,Zeller,Tyler,C,BOS,2016,8000000
53,geraldhenderson,Henderson,Gerald,SG,PHI,2016,9000000
54,ishmaelsmith,Smith,Ishmael,PG,DET,2016,6000000
55,wesleyjohnson,Johnson,Wesley,SG,LAC,2016,5881260
56,alexabrines,Abrines,Alex,SG,OKC,2016,5725000
57,anthonytolliver,Tolliver,Anthony,PF,SAC,2016,8000000
58,jasonsmith,Smith,Jason,PF,WAS,2016,5225000
59,festusezeli,Ezeli,Festus,C,POR,2016,7566500
60,jeffgreen,Green,Jeff,SF,ORL,2016,15000000
61,manuginobili,Ginobili,Manu,SG,SAS,2016,14000000
62,tarikblack,Black,Tarik,C,LAL,2016,6423163
63,wayneellington,Ellington,Wayne,SG,MIA,2016,6135000
64,mattbarnes,Barnes,Matt,SF,GSW,2016,383351
65,troydaniels,Daniels,Troy,SG,MEM,2016,3333336
66,deronwilliams,Williams,Deron,PG,CLE,2016,410733
67,tomassatoransky,Satoransky,Tomas,SG,WAS,2016,3000000
68,jordanhill,Hill,Jordan,C,MIN,2016,4090000
69,leandrobarbosa,Barbosa,Leandro,SG,PHX,2016,4000000
70,richardjefferson,Jefferson,Richard,SF,CLE,2016,2537500
71,ramonsessions,Sessions,Ramon,PG,CHA,2016,6000000
72,dionwaiters,Waiters,Dion,SG,MIA,2016,2963205
73,sethcurry,Curry,Seth,SG,DAL,2016,2963205
74,dewaynededmon,Dedmon,Dewayne,C,SAS,2016,2963205
75,jamesennis,Ennis,James,SF,MEM,2016,2963205
76,jaredsullinger,Sullinger,Jared,PF,TOR,2016,4005812
80,brandonjennings,Jennings,Brandon,PG,WAS,2016,1200000
87,lucrichard,Richard,Luc,SF,LAC,2016,2252568
88,krishumphries,Humphries,Kris,PF,ATL,2016,4000000
89,udonishaslem,Haslem,Udonis,PF,MIA,2016,4000000
90,jamesjohnson,Johnson,James,PF,MIA,2016,4000000
91,brandonrush,Rush,Brandon,SG,MIN,2016,3500000
92,davidlee,Lee,David,PF,SAS,2016,1578813
93,marcelohuertas,Huertas,Marcelo,PG,LAL,2016,1067647
94,nenehilario,Hilario,Nene,PF,HOU,2016,2898000
95,zazapachulia,Pachulia,Zaza,C,GSW,2016,2898000
96,marreesespeights,Speights,Marreese,C,LAC,2016,1431790
97,aaronbrooks,Brooks,Aaron,PG,IND,2016,2700000
98,semajchriston,Christon,Semaj,PG,OKC,2016,832994
99,isaiahcanaan,Canaan,Isaiah,PG,CHI,2016,1051721
