,name,last name,first name,position,team,year,average salary
0,stephencurry,Curry,Stephen,PG,GSW,2017,40231758
1,blakegriffin,Griffin,Blake,PF,LAC,2017,34234964
2,jrueholiday,Holiday,Jrue,PG,NOP,2017,26361000
3,gordonhayward,Hayward,Gordon,SF,BOS,2017,31957493
4,ottoporter,PorterJr.,Otto,SF,WAS,2017,26631244
5,kylelowry,Lowry,Kyle,PG,TOR,2017,33333333
6,timhardaway,HardawayJr.,Tim,SG,NYK,2017,17737500
7,sergeibaka,Ibaka,Serge,PF,TOR,2017,21666667
8,danilogallinari,Gallinari,Danilo,SF,LAC,2017,21587579
9,paulmillsap,Millsap,Paul,PF,DEN,2017,30500000
10,georgehill,Hill,George,PG,SAC,2017,19000000
11,jeffteague,Teague,Jeff,PG,MIN,2017,19000000
12,joeingles,Ingles,Joe,SF,UTA,2017,13000000
13,dionwaiters,Waiters,Dion,SG,MIA,2017,13000000
14,kevindurant,Durant,Kevin,SF,GSW,2017,25625000
15,kellyolynyk,Olynyk,Kelly,C,MIA,2017,12500000
16,patrickmills,Mills,Patrick,PG,SAS,2017,12428571
17,paugasol,Gasol,Pau,PF,SAS,2017,16000000
18,andreiguodala,Iguodala,Andre,SG,GSW,2017,16000000
19,tonysnell,Snell,Tony,SF,MIL,2017,11500000
20,jamesjohnson,Johnson,James,PF,MIA,2017,14431700
21,masonplumlee,Plumlee,Mason,C,DEN,2017,13666667
22,cristianofelicio,Felicio,Cristiano,PF,CHI,2017,8000000
23,pjtucker,Tucker,P.J.,SF,HOU,2017,7969537
24,andreroberson,Roberson,Andre,SG,OKC,2017,10000000
25,tajgibson,Gibson,Taj,PF,MIN,2017,14000000
26,cjmiles,Miles,C.J.,SG,TOR,2017,8333333
27,zachrandolph,Randolph,Zach,PF,SAC,2017,12000000
28,shaunlivingston,Livingston,Shaun,PG,GSW,2017,7897436
29,jjredick,Redick,J.J.,SG,PHI,2017,23000000
30,kylekorver,Korver,Kyle,SG,CLE,2017,7353333
31,bojanbogdanovic,Bogdanovic,Bojan,SF,IND,2017,10500000
32,langstongalloway,Galloway,Langston,PG,DET,2017,7000000
33,jonathonsimmons,Simmons,Jonathon,SG,ORL,2017,6666667
34,darrencollison,Collison,Darren,PG,IND,2017,10000000
35,kentaviouscaldwellpope,Caldwell-Pope,Kentavious,SG,LAL,2017,17745894
36,rudygay,Gay,Rudy,SF,SAS,2017,8616150
37,alanwilliams,Williams,Alan,PF,PHX,2017,5666667
38,jamychalgreen,Green,JaMychal,PF,MEM,2017,8500000
39,patrickpatterson,Patterson,Patrick,PF,OKC,2017,5451600
40,dewaynededmon,Dedmon,Dewayne,C,ATL,2017,7050000
41,nikolamirotic,Mirotic,Nikola,PF,CHI,2017,13500000
42,shelvinmack,Mack,Shelvin,PG,ORL,2017,6000000
43,amirjohnson,Johnson,Amir,PF,PHI,2017,11000000
44,nenehilario,Hilario,Nene,PF,HOU,2017,3651480
45,benmclemore,McLemore,Ben,SG,MEM,2017,5330000
46,thabosefolosha,Sefolosha,Thabo,SF,UTA,2017,5250000
47,mikemuscala,Muscala,Mike,PF,ATL,2017,5000000
48,justinholiday,Holiday,Justin,SG,CHI,2017,4500000
49,ronbaker,Baker,Ron,SG,NYK,2017,4436200
50,jamalcrawford,Crawford,Jamal,SG,MIN,2017,4436200
51,jonasjerebko,Jerebko,Jonas,PF,UTA,2017,4100000
52,vincecarter,Carter,Vince,SG,SAC,2017,8000000
53,jodiemeeks,Meeks,Jodie,SG,WAS,2017,3372250
54,ersanilyasova,Ilyasova,Ersan,SF,ATL,2017,6000000
55,ericmoreland,Moreland,Eric,PF,DET,2017,1826300
56,nickyoung,Young,Nick,SF,GSW,2017,5192000
57,reggiebullock,Bullock,Reggie,SF,DET,2017,2500000
58,dirknowitzki,Nowitzki,Dirk,PF,DAL,2017,5000000
59,troywilliams,Williams,Troy,SF,HOU,2017,1564356
60,aronbaynes,Baynes,Aron,PF,BOS,2017,4328000
61,nerlensnoel,Noel,Nerlens,C,DAL,2017,4187598
62,royceoneal,O'Neal,Royce,F,UTA,2017,1270792
63,tylerzeller,Zeller,Tyler,C,BKN,2017,1821740
64,zazapachulia,Pachulia,Zaza,C,GSW,2017,3477600
65,shabazzmuhammad,Muhammad,Shabazz,SF,MIN,2017,1686123
66,jeffwithey,Withey,Jeff,C,DAL,2017,1686123
67,rajonrondo,Rondo,Rajon,PG,NOP,2017,3300000
68,tarikblack,Black,Tarik,C,HOU,2017,3290000
69,anthonytolliver,Tolliver,Anthony,PF,DET,2017,3290000
70,tyrekeevans,Evans,Tyreke,SF,MEM,2017,3290000
71,tylerennis,Ennis,Tyler,PG,LAL,2017,1590199
72,joffreylauvergne,Lauvergne,Joffrey,PF,SAS,2017,1590199
73,diamondstone,Stone,Diamond,C,CHI,2017,1428781
74,quinncook,Cook,Quinn,PG,ATL,2017,1428781
75,wayneselden,Selden,Wayne,SG,MEM,2017,1428781
76,michaelcarterwilliams,Carter-Williams,Michael,PG,CHA,2017,2700000
77,geraldgreen,Green,Gerald,SG,MIL,2017,2328652
78,jasonterry,Terry,Jason,SG,MIL,2017,2328652
79,tonyallen,Allen,Tony,SG,NOP,2017,2328652
80,jarrettjack,Jack,Jarrett,PG,NYK,2017,2328652
81,ramonsessions,Sessions,Ramon,PG,NYK,2017,2328652
82,arronafflalo,Afflalo,Arron,SG,ORL,2017,2328652
83,nickcollison,Collison,Nick,PF,OKC,2017,2328652
84,udonishaslem,Haslem,Udonis,PF,MIA,2017,2328652
85,jeffgreen,Green,Jeff,SF,CLE,2017,2328652
86,raymondfelton,Felton,Raymond,PG,OKC,2017,2328652
87,josecalderon,Calderon,Jose,PG,CLE,2017,2328652
88,davidwest,West,David,PF,GSW,2017,2328652
89,dantecunningham,Cunningham,Dante,PF,NOP,2017,2300000
90,aaronbrooks,Brooks,Aaron,PG,MIN,2017,2116955
91,anthonymorrow,Morrow,Anthony,SG,POR,2017,2116955
92,damienwilkins,Wilkins,Damien,SG,IND,2017,2116955
93,michaelbeasley,Beasley,Michael,SF,NYK,2017,2116955
94,javalemcgee,McGee,JaVale,C,GSW,2017,2116955
