,name,last name,first name,position,team,year,average salary
95,marreesespeights,Speights,Marreese,C,ORL,2017,2116955
96,lucrichard,Richard,Luc,SF,HOU,2017,2116955
97,derrickrose,Rose,Derrick,PG,CLE,2017,2106470
98,omricasspi,Casspi,Omri,SF,GSW,2017,2106470
99,lukebabbitt,Babbitt,Luke,SF,ATL,2017,1974159
100,donaldsloan,Sloan,Donald,PG,WAS,2017,1709538
101,mikescott,Scott,Mike,PF,WAS,2017,1709538
102,williereed,Reed,Willie,PF,LAC,2017,1577230
103,ianclark,Clark,Ian,SG,NOP,2017,1577230
104,bobbybrown,Brown,Bobby,PG,HOU,2017,1312611
105,damjanrudez,Rudez,Damjan,SF,ORL,2017,1524305
106,kjmcdaniels,McDaniels,K.J.,SG,TOR,2017,1524305
107,shanelarkin,Larkin,Shane,PG,BOS,2017,1524305
108,jordanmickey,Mickey,Jordan,PF,MIA,2017,1471382
109,brianteweber,Weber,Briante,SG,LAL,2017,1471382
110,vanderblue,Blue,Vander,SG,LAL,2017,1471382
111,jarroduthoff,Uthoff,Jarrod,PF,IND,2017,1312611
112,michaelgbinije,Gbinije,Michael,SG,GSW,2017,1312611
113,marshallplumlee,Plumlee,Marshall,PF,LAC,2017,1312611
114,georgesniang,Niang,Georges,SF,GSW,2017,1312611
115,stephenzimmerman,Zimmerman,Stephen,C,LAL,2017,1312611
116,marcusgeorgeshunt,Georges-Hunt,Marcus,SG,MIN,2017,1312611
117,mariochalmers,Chalmers,Mario,PG,MEM,2017,2106470
118,manuginobili,Ginobili,Manu,SG,SAS,2017,2500000
119,krishumphries,Humphries,Kris,PF,PHI,2017,2328652
120,alexlen,Len,Alex,C,PHX,2017,4187598
121,brandonrush,Rush,Brandon,SG,MIL,2017,2116955
122,jamesyoung,Young,James,SG,MIL,2017,1524305
123,benoudrih,Udrih,Beno,PG,DET,2017,2328652
124,isaiahcanaan,Canaan,Isaiah,PG,OKC,2017,1577230
125,archiegoodwin,Goodwin,Archie,SG,POR,2017,1577230
126,kylewiltjer,Wiltjer,Kyle,PF,LAC,2017,1312611
127,joelanthony,Anthony,Joel,C,MIL,2017,2328652
128,brandonpaul,Paul,Brandon,SG,SAS,2017,1096929
