,name,last name,first name,position,team,year,average salary
0,marcgasol,Gasol,Marc,C,MEM,2011,14375941
1,tysonchandler,Chandler,Tyson,C,NYK,2011,13852363
2,thaddeusyoung,Young,Thaddeus,PF,PHI,2011,8600000
3,deandrejordan,Jordan,DeAndre,C,LAC,2011,10759764
4,arronafflalo,Afflalo,Arron,SG,DEN,2011,7342500
5,wilsonchandler,Chandler,Wilson,SF,DEN,2011,6344163
6,marcusthornton,Thornton,Marcus,SG,SAC,2011,7787500
7,tayshaunprince,Prince,Tayshaun,SF,DET,2011,7000000
8,glendavis,Davis,Glen,PF,ORL,2011,6425000
9,rodneystuckey,Stuckey,Rodney,PG,DET,2011,8500000
10,jasonrichardson,Richardson,Jason,SG,ORL,2011,6000000
11,caronbutler,Butler,Caron,SF,LAC,2011,8000000
12,chuckhayes,Hayes,Chuck,PF,SAC,2011,5604375
13,davidwest,West,David,PF,IND,2011,10000000
14,lucrichard,Richard,Luc,SF,MIL,2011,4691288
15,josebarea,Barea,Jose,PG,MIN,2011,4500000
16,jonasjerebko,Jerebko,Jonas,PF,DET,2011,4500000
17,richardhamilton,Hamilton,Richard,SG,CHI,2011,5000000
18,shanebattier,Battier,Shane,SF,MIA,2011,3135000
19,vincecarter,Carter,Vince,SG,DAL,2011,3090000
20,coreybrewer,Brewer,Corey,SG,DEN,2011,3059000
21,carllandry,Landry,Carl,PF,NOP,2011,9000000
24,mariochalmers,Chalmers,Mario,PG,MIA,2011,4000000
25,jasonsmith,Smith,Jason,PF,NOP,2011,2500000
26,mikedunleavy,Dunleavy,Mike,SF,MIL,2011,3750000
27,granthill,Hill,Grant,SF,PHX,2011,6500000
28,daequancook,Cook,Daequan,SG,OKC,2011,3216250
29,jamesjones,Jones,James,SG,MIA,2011,1500000
30,dantecunningham,Cunningham,Dante,PF,MEM,2011,2090000
31,spencerhawes,Hawes,Spencer,PF,PHI,2011,4051023
32,sebastiantelfair,Telfair,Sebastian,PG,PHX,2011,1533750
33,kurtthomas,Thomas,Kurt,PF,POR,2011,1352181
34,kenyonmartin,Martin,Kenyon,PF,LAC,2011,2500000
35,earlclark,Clark,Earl,SF,ORL,2011,1200000
36,anthonyparker,Parker,Anthony,SG,CLE,2011,2250000
37,brandanwright,Wright,Brandan,PF,DAL,2011,954266
38,brianscalabrine,Scalabrine,Brian,PF,CHI,2011,1352181
39,juwanhoward,Howard,Juwan,PF,MIA,2011,1352181
42,jasoncollins,Collins,Jason,C,ATL,2011,1352181
43,jerrystackhouse,Stackhouse,Jerry,SF,ATL,2011,1352181
44,tonybattie,Battie,Tony,PF,PHI,2011,1352181
45,tracymcgrady,McGrady,Tracy,SG,ATL,2011,1352181
46,hamedhaddadi,Haddadi,Hamed,C,MEM,2011,1300000
47,jaredjeffries,Jeffries,Jared,PF,NYK,2011,1229255
48,sashapavlovic,Pavlovic,Sasha,SG,BOS,2011,1223166
49,ronnieprice,Price,Ronnie,PG,PHX,2011,1069509
50,craigsmith,Smith,Craig,PF,POR,2011,992680
51,derrickbrown,Brown,Derrick,PG,CHA,2011,854389
52,joelprzybilla,Przybilla,Joel,C,POR,2011,655616
53,demarrecarroll,Carroll,DeMarre,SF,UTA,2011,711279
54,yijianlian,Jianlian,Yi,PF,DAL,2011,771706
55,jefffoster,Foster,Jeff,C,IND,2011,3000000
56,michaelredd,Redd,Michael,SG,PHX,2011,1308506
57,troymurphy,Murphy,Troy,PF,LAL,2011,1352181
58,mauriceevans,Evans,Maurice,SG,WAS,2011,1223166
62,earlwatson,Watson,Earl,PG,UTA,2011,2000000
63,johnlucasiii,LucasIII,John,PG,CHI,2011,540992
64,chrisjohnson,Johnson,Chris,PF,POR,2011,762195
67,zachrandolph,Randolph,Zach,PF,MEM,2011,16500000
68,brandonroy,Roy,Brandon,SG,POR,2011,17174735
71,samueldalembert,Dalembert,Samuel,C,HOU,2011,6849283
72,eddycurry,Curry,Eddy,C,MIA,2011,1229255
73,tjford,Ford,T.J.,PG,SAS,2011,1146337
74,jamalcrawford,Crawford,Jamal,SG,POR,2011,2500000
75,vladimirradmanovic,Radmanovic,Vladimir,SF,ATL,2011,1352181
77,jrsmith,Smith,J.R.,SG,NYK,2011,2382353
78,mickaelpietrus,Pietrus,Mickael,SF,BOS,2011,1223166
79,reggieevans,Evans,Reggie,PF,LAC,2011,1229255
80,ronnyturiaf,Turiaf,Ronny,C,MIA,2011,340305
81,naterobinson,Robinson,Nate,PG,GSW,2011,1069509
82,williegreen,Green,Willie,SF,ATL,2011,1352181
87,joshhoward,Howard,Josh,SF,UTA,2011,2150000
88,chriswilcox,Wilcox,Chris,PF,BOS,2011,3000000
89,jamoriomoon,Moon,Jamorio,PF,CHA,2011,534981
90,marquisdaniels,Daniels,Marquis,SF,BOS,2011,1223166
91,ryanhollins,Hollins,Ryan,C,BOS,2011,248048
92,shannonbrown,Brown,Shannon,PG,PHX,2011,3500000
98,kwamebrown,Brown,Kwame,C,MIL,2011,6750000
101,aarongray,Gray,Aaron,C,TOR,2011,2500000
102,kyrylofesenko,Fesenko,Kyrylo,C,IND,2011,435000
103,delontewest,West,Delonte,PG,DAL,2011,1146337
106,patrickmills,Mills,Patrick,PG,SAS,2011,261829
107,vonwafer,Wafer,Von,PG,ORL,2011,992680
110,joshmcroberts,McRoberts,Josh,PF,LAL,2011,3067500
112,ishmaelsmith,Smith,Ishmael,PG,ORL,2011,522472
113,garyforbes,Forbes,Gary,SF,TOR,2011,1500000
118,stevenovak,Novak,Steve,SF,NYK,2011,992680
119,damienwilkins,Wilkins,Damien,SG,DET,2011,1146337
120,reggiewilliams,Williams,Reggie,SF,CHA,2011,2556250
