,name,last name,first name,position,team,year,average salary
43,marcobelinelli,Belinelli,Marco,SF,SAS,2013,2811875
44,mowilliams,Williams,Mo,PG,POR,2013,2711670
45,wayneellington,Ellington,Wayne,SG,DAL,2013,2711670
46,joshmcroberts,McRoberts,Josh,PF,CHA,2013,2711670
47,demarrecarroll,Carroll,DeMarre,SF,ATL,2013,2500000
48,jasonmaxiell,Maxiell,Jason,PF,ORL,2013,2500000
49,pabloprigioni,Prigioni,Pablo,PG,NYK,2013,1662961
50,naterobinson,Robinson,Nate,PG,DEN,2013,2061360
51,cjwatson,Watson,C.J.,PG,IND,2013,2046500
52,eltonbrand,Brand,Elton,PF,ATL,2013,4000000
53,darrencollison,Collison,Darren,PG,LAC,2013,1942750
54,alfarouqaminu,Aminu,Al-Farouq,SF,NOP,2013,3749602
55,jeffayres,Ayres,Jeff,PF,SAS,2013,1789375
58,johnlucasiii,LucasIII,John,PG,UTA,2013,3200000
59,chriskaman,Kaman,Chris,C,LAL,2013,3183000
66,ronnyturiaf,Turiaf,Ronny,C,MIN,2013,1500000
67,jonleuer,Leuer,Jon,PF,MEM,2013,967500
68,elliotwilliams,Williams,Elliot,SG,PHI,2013,959744
69,chrisandersen,Andersen,Chris,PF,MIA,2013,1423999
73,robertsacre,Sacre,Robert,C,LAL,2013,895154
74,diantegarrett,Garrett,Diante,PG,UTA,2013,871952
75,franciscogarcia,Garcia,Francisco,SG,HOU,2013,1291393
76,ronnieprice,Price,Ronnie,PG,ORL,2013,1291393
77,chaunceybillups,Billups,Chauncey,PG,DET,2013,2500000
78,nickyoung,Young,Nick,SF,LAL,2013,1167464
79,brandondavies,Davies,Brandon,PF,PHI,2013,751313
80,anthonymorrow,Morrow,Anthony,SG,NOP,2013,1086555
81,austindaye,Daye,Austin,PF,SAS,2013,1005646
82,alananderson,Anderson,Alan,SG,BKN,2013,1005646
83,alananderson,Anderson,Alan,SG,NJN,2013,1005646
84,bjmullens,Mullens,B.J.,PF,PHI,2013,1005646
89,omricasspi,Casspi,Omri,SF,HOU,2013,1005646
90,jermaineoneal,O'Neal,Jermaine,C,GSW,2013,2000000
91,julyanstone,Stone,Julyan,PG,TOR,2013,916228
92,dannygranger,Granger,Danny,SF,LAC,2013,837131
93,malcolmthomas,Thomas,Malcolm,PF,UTA,2013,825198
94,toneydouglas,Douglas,Toney,SG,MIA,2013,1600000
95,glendavis,Davis,Glen,PF,LAC,2013,783290
96,shavlikrandolph,Randolph,Shavlik,PF,PHX,2013,767011
99,jeremytyler,Tyler,Jeremy,PF,NYK,2013,752374
100,kendallmarshall,Marshall,Kendall,PG,LAL,2013,731407
101,lamarodom,Odom,Lamar,PF,NYK,2013,728361
102,dejaunblair,Blair,DeJaun,C,DAL,2013,947907
103,alharrington,Harrington,Al,PF,WAS,2013,1399507
104,janneropargo,Pargo,Jannero,PG,CHA,2013,1399507
107,kenyonmartin,Martin,Kenyon,PF,NYK,2013,1399507
108,derekfisher,Fisher,Derek,PG,OKC,2013,1399507
109,nazrmohammed,Mohammed,Nazr,C,CHI,2013,1399507
110,earlwatson,Watson,Earl,PG,POR,2013,1399507
111,lukebabbitt,Babbitt,Luke,SF,NOP,2013,684540
112,melvinely,Ely,Melvin,C,NOP,2013,673299
113,joshpowell,Powell,Josh,PF,HOU,2013,662122
116,benoudrih,Udrih,Beno,PG,MEM,2013,1272279
119,devinharris,Harris,Devin,PG,DAL,2013,1265977
120,louisamundson,Amundson,Louis,PF,CHI,2013,679570
121,ryanhollins,Hollins,Ryan,C,LAC,2013,1186459
122,joshchildress,Childress,Josh,SF,PHX,2013,7000000
136,michaelbeasley,Beasley,Michael,SF,MIA,2013,1027424
137,anthonytolliver,Tolliver,Anthony,PF,CHA,2013,1027424
139,andrewbynum,Bynum,Andrew,C,IND,2013,1000000
140,aaronbrooks,Brooks,Aaron,PG,DEN,2013,947907
141,colealdrich,Aldrich,Cole,C,NYK,2013,916099
142,wesleyjohnson,Johnson,Wesley,SG,LAL,2013,916099
154,bernardjames,James,Bernard,C,DAL,2013,788872
155,djaugustin,Augustin,D.J.,PG,CHI,2013,755459
156,hedoturkoglu,Turkoglu,Hedo,SF,LAC,2013,749148
157,chrisdouglasroberts,Douglas-Roberts,Chris,SG,CHA,2013,708142
158,jamesjohnson,Johnson,James,PF,MEM,2013,680263
178,caronbutler,Butler,Caron,SF,OKC,2013,1000000
180,troydaniels,Daniels,Troy,SG,HOU,2013,158588
181,williereed,Reed,Willie,PF,SAC,2013,102089
188,jrsmith,Smith,J.R.,SG,NYK,2013,5982375
189,xavierhenry,Henry,Xavier,SG,LAL,2013,916099
190,tyrusthomas,Thomas,Tyrus,PF,CHA,2013,9041323
195,brandonroy,Roy,Brandon,SG,POR,2013,17174735
196,linaskleiza,Kleiza,Linas,SF,TOR,2013,4600000
197,carllandry,Landry,Carl,PF,SAC,2013,6500000
198,tiagosplitter,Splitter,Tiago,PF,SAS,2013,9000000
215,ronniebrewer,Brewer,Ronnie,SF,CHI,2013,690039
