,name,last name,first name,position,team,year,average salary
0,dwighthoward,Howard,Dwight,C,HOU,2013,21897818
1,nikolapekovic,Pekovic,Nikola,C,MIN,2013,12000000
2,joshsmith,Smith,Josh,SF,DET,2013,13500000
3,andreiguodala,Iguodala,Andre,SG,GSW,2013,12000000
4,tyrekeevans,Evans,Tyreke,SF,NOP,2013,11000001
5,aljefferson,Jefferson,Al,C,CHA,2013,13500000
6,jeffteague,Teague,Jeff,PG,ATL,2013,8000000
7,josecalderon,Calderon,Jose,PG,DAL,2013,7250000
8,kevinmartin,Martin,Kevin,SG,MIN,2013,6938750
9,jjredick,Redick,J.J.,SG,LAC,2013,6938750
10,jarrettjack,Jack,Jarrett,PG,CLE,2013,6300000
11,montaellis,Ellis,Monta,SG,DAL,2013,8360000
12,brandonjennings,Jennings,Brandon,PG,DET,2013,8000000
13,kylekorver,Korver,Kyle,SG,ATL,2013,6000000
14,ojmayo,Mayo,O.J.,SG,MIL,2013,8000000
15,tonyallen,Allen,Tony,SG,MEM,2013,5000000
16,paulmillsap,Millsap,Paul,PF,ATL,2013,9500000
17,geraldhenderson,Henderson,Gerald,SG,CHA,2013,6000000
18,jjhickson,Hickson,J.J,PF,DEN,2013,5381750
19,keithbogans,Bogans,Keith,SF,BOS,2013,5209958
20,zazapachulia,Pachulia,Zaza,C,MIL,2013,5200000
21,chasebudinger,Budinger,Chase,SF,MIN,2013,5000000
22,manuginobili,Ginobili,Manu,SG,SAS,2013,7250000
23,coreybrewer,Brewer,Corey,SG,MIN,2013,4702500
24,marreesespeights,Speights,Marreese,C,GSW,2013,3657500
25,mattbarnes,Barnes,Matt,SF,LAC,2013,3396250
26,brandanwright,Wright,Brandan,PF,DAL,2013,5000000
27,carlosdelfino,Delfino,Carlos,SG,MIL,2013,3250000
28,randyfoye,Foye,Randy,SG,DEN,2013,3045000
29,timofeymozgov,Mozgov,Timofey,C,DEN,2013,4666667
34,samueldalembert,Dalembert,Samuel,C,DAL,2013,3784015
35,tylerhansbrough,Hansbrough,Tyler,PF,TOR,2013,3254618
38,mikedunleavy,Dunleavy,Mike,SF,CHI,2013,3254618
39,garyneal,Neal,Gary,PG,CHA,2013,3250000
40,chriscopeland,Copeland,Chris,SF,IND,2013,3067500
41,dorellwright,Wright,Dorell,SF,POR,2013,3067500
42,willbynum,Bynum,Will,PG,DET,2013,2853126
