,name,last name,first name,position,team,year,average salary
0,carmeloanthony,Anthony,Carmelo,SF,NYK,2014,24812936
1,gordonhayward,Hayward,Gordon,SF,UTA,2014,15741355
2,marcingortat,Gortat,Marcin,C,WAS,2014,12000000
3,kylelowry,Lowry,Kyle,PG,TOR,2014,12000000
4,chandlerparsons,Parsons,Chandler,SF,DAL,2014,15361500
5,lebronjames,James,LeBron,SF,CLE,2014,21108899
6,trevorariza,Ariza,Trevor,SF,HOU,2014,8000001
7,averybradley,Bradley,Avery,SG,BOS,2014,8000000
8,channingfrye,Frye,Channing,PF,ORL,2014,8000000
9,dwyanewade,Wade,Dwyane,SG,MIA,2014,15562500
10,borisdiaw,Diaw,Boris,C,SAS,2014,7000000
11,isaiahthomas,Thomas,Isaiah,PG,BOS,2014,6750001
12,dirknowitzki,Nowitzki,Dirk,PF,DAL,2014,8333333
15,paugasol,Gasol,Pau,PF,CHI,2014,7448760
16,nickyoung,Young,Nick,SF,LAL,2014,5331544
17,luoldeng,Deng,Luol,SF,MIA,2014,9933037
18,jodiemeeks,Meeks,Jodie,SG,DET,2014,6270000
19,patrickpatterson,Patterson,Patrick,PF,TOR,2014,6050000
20,lancestephenson,Stephenson,Lance,SF,CHA,2014,9000000
21,cjmiles,Miles,C.J.,SG,IND,2014,4488838
22,shaunlivingston,Livingston,Shaun,PG,GSW,2014,5543725
23,devinharris,Harris,Devin,PG,DAL,2014,4140721
24,marvinwilliams,Williams,Marvin,PF,CHA,2014,7000000
25,krishumphries,Humphries,Kris,PF,WAS,2014,4440000
26,greivisvasquez,Vasquez,Greivis,PG,TOR,2014,6500000
27,patrickmills,Mills,Patrick,PG,SAS,2014,4333333
28,vincecarter,Carter,Vince,SG,MEM,2014,4088019
29,thabosefolosha,Sefolosha,Thabo,SF,ATL,2014,4000000
30,paulpierce,Pierce,Paul,SF,WAS,2014,5424363
31,chrisandersen,Andersen,Chris,PF,MIA,2014,5187500
32,anthonymorrow,Morrow,Anthony,SG,OKC,2014,3344000
33,mikescott,Scott,Mike,PF,ATL,2014,3333333
34,chriskaman,Kaman,Chris,C,POR,2014,4908000
35,trevorbooker,Booker,Trevor,PF,UTA,2014,4887500
36,jordanhill,Hill,Jordan,C,LAL,2014,9000000
37,caronbutler,Butler,Caron,SF,DET,2014,4500000
38,mariochalmers,Chalmers,Mario,PG,MIA,2014,4150000
39,shelvinmack,Mack,Shelvin,PG,ATL,2014,2433333
40,evanturner,Turner,Evan,SF,BOS,2014,3351755
41,jerrydbayless,Bayless,Jerryd,PG,MIL,2014,3000000
42,dejaunblair,Blair,DeJaun,C,WAS,2014,2000000
43,djaugustin,Augustin,D.J.,PG,OKC,2014,3000000
46,jameernelson,Nelson,Jameer,PG,DEN,2014,2793470
47,brianroberts,Roberts,Brian,PG,CHA,2014,2793470
48,kirkhinrich,Hinrich,Kirk,SG,CHI,2014,2793470
49,udonishaslem,Haslem,Udonis,PF,MIA,2014,2793470
50,gregmonroe,Monroe,Greg,C,DET,2014,5479933
51,jamesjohnson,Johnson,James,PF,TOR,2014,2500000
52,ramonsessions,Sessions,Ramon,PG,WAS,2014,2123733
53,benoudrih,Udrih,Beno,PG,MEM,2014,2123733
54,dannygranger,Granger,Danny,SF,PHX,2014,2123733
55,steveblake,Blake,Steve,PG,POR,2014,2123733
56,kentbazemore,Bazemore,Kent,SF,ATL,2014,2000000
57,kevinseraphin,Seraphin,Kevin,PF,WAS,2014,3898691
58,grantjerrett,Jerrett,Grant,PF,UTA,2014,966800
59,mowilliams,Williams,Mo,PG,CHA,2014,3750000
60,ryankelly,Kelly,Ryan,PF,LAL,2014,1687125
61,jasonsmith,Smith,Jason,PF,NYK,2014,3278000
62,cartiermartin,Martin,Cartier,PF,DET,2014,1208325
63,brandonrush,Rush,Brandon,SG,GSW,2014,1208325
64,garretttemple,Temple,Garrett,SG,WAS,2014,1040843
65,alfarouqaminu,Aminu,Al-Farouq,SF,DAL,2014,981084
66,eddavis,Davis,Ed,PF,LAL,2014,1040843
67,aronbaynes,Baynes,Aron,PF,SAS,2014,2077000
68,eltonbrand,Brand,Elton,PF,ATL,2014,2000000
71,etwaunmoore,Moore,E'Twaun,SG,CHI,2014,981792
72,troydaniels,Daniels,Troy,SG,CHA,2014,881879
73,nazrmohammed,Mohammed,Nazr,C,CHI,2014,1448490
74,hedoturkoglu,Turkoglu,Hedo,SF,LAC,2014,1448490
75,leandrobarbosa,Barbosa,Leandro,SG,GSW,2014,1448490
76,shawnmarion,Marion,Shawn,SF,CLE,2014,1448490
77,jamesjones,Jones,James,SG,CLE,2014,1448490
78,mattbonner,Bonner,Matt,C,SAS,2014,1448490
79,richardjefferson,Jefferson,Richard,SF,DAL,2014,1448490
82,ronnieprice,Price,Ronnie,PG,LAL,2014,1316809
83,ryanhollins,Hollins,Ryan,C,SAC,2014,1310286
84,rodneystuckey,Stuckey,Rodney,PG,IND,2014,1227985
85,glendavis,Davis,Glen,PF,LAC,2014,1227985
86,aaronbrooks,Brooks,Aaron,PG,CHI,2014,1145685
87,wayneellington,Ellington,Wayne,SG,LAL,2014,1063384
88,omricasspi,Casspi,Omri,SF,SAC,2014,1063384
