,name,last name,first name,position,team,year,average salary
89,ekpeudoh,Udoh,Ekpe,PF,LAC,2014,981084
90,wesleyjohnson,Johnson,Wesley,SG,LAL,2014,981084
91,ishmaelsmith,Smith,Ishmael,PG,PHI,2014,923373
92,colealdrich,Aldrich,Cole,C,NYK,2014,981084
96,jimmerfredette,Fredette,Jimmer,PG,NOP,2014,948163
97,lavoyallen,Allen,LaVoy,PF,IND,2014,948163
101,robbiehummel,Hummel,Robbie,SF,MIN,2014,880000
105,chrisbosh,Bosh,Chris,PF,MIA,2014,23741060
106,joshsmith,Smith,Josh,SF,HOU,2014,2077000
107,charlievillanueva,Villanueva,Charlie,PF,DAL,2014,1316809
108,lukeridnour,Ridnour,Luke,PG,ORL,2014,2750000
109,joshmcroberts,McRoberts,Josh,PF,MIA,2014,5663088
110,jasonmaxiell,Maxiell,Jason,PF,CHA,2014,1316809
111,dantecunningham,Cunningham,Dante,PF,NOP,2014,831942
112,darrencollison,Collison,Darren,PG,SAC,2014,5013559
113,ericbledsoe,Bledsoe,Eric,PG,PHX,2014,14000000
119,andrayblatche,Blatche,Andray,C,WAS,2014,7794921
122,rasualbutler,Butler,Rasual,SF,WAS,2014,1448490
126,anthonytolliver,Tolliver,Anthony,PF,DET,2014,3000000
127,pjtucker,Tucker,P.J.,SF,PHX,2014,5500000
128,jamaalfranklin,Franklin,Jamaal,SG,DEN,2014,483244
