,name,last name,first name,position,team,year,average salary
109,geraldgreen,Green,Gerald,SG,MIA,2015,1356146
110,tylerhansbrough,Hansbrough,Tyler,PF,CHA,2015,1185784
111,marcusthornton,Thornton,Marcus,SG,WAS,2015,251107
112,chriscopeland,Copeland,Chris,SF,MIL,2015,805000
113,matthewdellavedova,Dellavedova,Matthew,PG,CLE,2015,1147276
114,ishmaelsmith,Smith,Ishmael,PG,PHI,2015,1100602
115,donaldsloan,Sloan,Donald,PG,BKN,2015,1015421
117,pabloprigioni,Prigioni,Pablo,PG,LAC,2015,981348
118,ianclark,Clark,Ian,SG,GSW,2015,947276
121,williereed,Reed,Willie,PF,BKN,2015,947276
122,ericmoreland,Moreland,Eric,PF,SAC,2015,845059
123,lebronjames,James,LeBron,SF,CLE,2015,23487337
124,dwyanewade,Wade,Dwyane,SG,MIA,2015,20000000
125,jrsmith,Smith,J.R.,SG,CLE,2015,5187500
126,andremiller,Miller,Andre,PG,SAS,2015,396844
127,lucrichard,Richard,Luc,SF,LAC,2015,1270964
128,bismackbiyombo,Biyombo,Bismack,PF,TOR,2015,2877315
130,eltonbrand,Brand,Elton,PF,PHI,2015,890693
134,zorandragic,Dragic,Zoran,SG,MIA,2015,1500000
135,nazrmohammed,Mohammed,Nazr,C,OKC,2015,352750
138,rodneystuckey,Stuckey,Rodney,PG,IND,2015,7000000
143,toneydouglas,Douglas,Toney,SG,NOP,2015,1240153
148,michaelbeasley,Beasley,Michael,SF,HOU,2015,855069
