,name,last name,first name,position,team,year,average salary
0,ericgordon,Gordon,Eric,SG,NOP,2012,14591391
1,royhibbert,Hibbert,Roy,C,IND,2012,14610937
2,nicolasbatum,Batum,Nicolas,SG,POR,2012,11530375
3,javalemcgee,McGee,JaVale,C,DEN,2012,11000000
4,georgehill,Hill,George,PG,IND,2012,8000000
5,ersanilyasova,Ilyasova,Ersan,SF,MIL,2012,8000000
6,kevingarnett,Garnett,Kevin,PF,BOS,2012,12000000
7,jeffgreen,Green,Jeff,SF,BOS,2012,8800000
8,ryananderson,Anderson,Ryan,PF,NOP,2012,8500000
9,timduncan,Duncan,Tim,PF,SAS,2012,10120482
10,jasonthompson,Thompson,Jason,PF,SAC,2012,6037500
11,gorandragic,Dragic,Goran,PG,PHX,2012,7500000
12,stevenash,Nash,Steve,PG,LAL,2012,9300500
13,jameernelson,Nelson,Jameer,PG,ORL,2012,8400000
14,omerasik,Asik,Omer,C,HOU,2012,8374646
15,jeremylin,Lin,Jeremy,PG,HOU,2012,8374646
16,courtneylee,Lee,Courtney,SG,BOS,2012,5337500
17,jamalcrawford,Crawford,Jamal,SG,LAC,2012,5337500
18,brandonbass,Bass,Brandon,PF,BOS,2012,6450000
19,landryfields,Fields,Landry,SF,TOR,2012,6250000
20,michaelbeasley,Beasley,Michael,SF,PHX,2012,6000000
21,ianmahinmi,Mahinmi,Ian,C,IND,2012,4000000
22,louiswilliams,Williams,Louis,SG,ATL,2012,5225000
23,jasonterry,Terry,Jason,SG,BOS,2012,5225000
24,raymondfelton,Felton,Raymond,PG,NYK,2012,3715383
25,andremiller,Miller,Andre,PG,DEN,2012,4875000
26,marcuscamby,Camby,Marcus,C,NYK,2012,4383773
27,spencerhawes,Hawes,Spencer,PF,PHI,2012,6550000
28,dannygreen,Green,Danny,SG,SAS,2012,3762500
31,darrellarthur,Arthur,Darrell,PF,MEM,2012,4837500
32,borisdiaw,Diaw,Boris,C,SAS,2012,4601250
33,jasonkidd,Kidd,Jason,PG,NYK,2012,3030000
34,marreesespeights,Speights,Marreese,C,CLE,2012,4357500
35,ojmayo,Mayo,O.J.,SG,DAL,2012,4110450
36,carllandry,Landry,Carl,PF,GSW,2012,4000000
37,brandonrush,Rush,Brandon,SG,GSW,2012,4000000
