Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Quincy Acy\acyqu01,SF,23,TOT,63,0,847,4.0,8.5,.468,0.2,0.9,.267,3.7,7.6,.492,2.1,3.2,.660,4.3,8.7,13.0,1.7,1.4,1.6,1.8,7.3,10.3,,109,107
1,Quincy Acy\acyqu01,SF,23,TOR,7,0,61,5.1,12.0,.429,1.7,4.3,.400,3.4,7.7,.444,4.3,6.9,.625,4.3,8.6,12.9,3.4,3.4,2.6,1.7,6.9,16.3,,118,98
1,Quincy Acy\acyqu01,SF,23,SAC,56,0,786,3.9,8.2,.472,0.1,0.6,.200,3.8,7.6,.496,1.9,2.9,.667,4.3,8.7,13.0,1.6,1.2,1.5,1.8,7.4,9.8,,109,107
2,Steven Adams\adamsst01,C,20,OKC,81,20,1197,3.9,7.8,.503,0.0,0.0,,3.9,7.8,.503,3.3,5.7,.581,6.0,8.0,13.9,1.8,1.7,2.4,3.0,8.5,11.1,,108,102
3,Jeff Adrien\adrieje01,PF,27,TOT,53,12,961,7.8,14.9,.520,0.0,0.0,,7.8,14.9,.520,4.1,6.5,.639,5.5,11.1,16.6,2.1,1.3,2.0,2.1,5.9,19.7,,114,106
3,Jeff Adrien\adrieje01,PF,27,CHA,25,0,256,4.5,8.1,.550,0.0,0.0,,4.5,8.1,.550,2.6,5.1,.520,6.7,11.2,17.8,1.4,1.4,3.0,1.6,7.1,11.6,,119,99
3,Jeff Adrien\adrieje01,PF,27,MIL,28,12,705,9.0,17.4,.515,0.0,0.0,,9.0,17.4,.515,4.7,7.0,.670,5.1,11.1,16.2,2.3,1.3,1.6,2.3,5.4,22.6,,113,109
4,Arron Afflalo\afflaar01,SG,28,ORL,73,73,2552,9.3,20.3,.459,2.6,6.0,.427,6.7,14.3,.473,5.5,6.7,.815,0.6,4.6,5.3,5.0,0.7,0.1,2.9,2.7,26.7,,110,112
5,Alexis Ajinca\ajincal01,C,25,NOP,56,30,951,7.4,13.6,.546,0.0,0.1,.000,7.4,13.6,.548,3.1,3.7,.836,5.1,10.0,15.2,2.2,1.3,2.5,3.4,10.2,18.0,,110,107
6,Cole Aldrich\aldrico01,C,25,NYK,46,2,330,5.3,9.8,.541,0.0,0.0,,5.3,9.8,.541,4.2,4.8,.867,6.0,14.8,20.8,2.3,1.3,4.8,2.9,6.4,14.8,,120,100
7,LaMarcus Aldridge\aldrila01,PF,28,POR,69,69,2498,13.2,28.8,.458,0.1,0.3,.200,13.1,28.5,.461,6.0,7.3,.822,3.4,12.1,15.5,3.6,1.3,1.4,2.5,3.0,32.5,,108,104
8,Lavoy Allen\allenla01,PF,24,TOT,65,2,1072,6.1,13.6,.447,0.1,0.6,.154,6.0,13.1,.460,1.5,2.3,.660,5.4,8.7,14.1,3.2,1.1,1.5,2.0,5.7,13.8,,104,108
8,Lavoy Allen\allenla01,PF,24,PHI,51,2,960,5.9,13.4,.440,0.1,0.7,.154,5.8,12.8,.455,1.4,2.0,.675,5.3,8.6,14.0,3.3,1.1,1.4,2.0,5.8,13.3,,103,109
8,Lavoy Allen\allenla01,PF,24,IND,14,0,112,7.9,15.8,.500,0.0,0.0,,7.9,15.8,.500,2.8,4.6,.600,6.0,9.7,15.8,2.8,0.9,2.8,1.9,5.1,18.5,,113,97
9,Ray Allen\allenra02,SG,38,MIA,73,9,1936,6.5,14.8,.442,3.2,8.4,.375,3.4,6.4,.530,2.9,3.2,.905,0.6,4.9,5.6,3.9,1.5,0.2,2.3,3.1,19.1,,111,109
10,Tony Allen\allento01,SG,32,MEM,55,28,1278,8.5,17.3,.494,0.5,2.0,.234,8.1,15.3,.527,3.2,5.1,.628,3.3,5.4,8.7,3.9,3.8,0.8,3.8,5.1,20.7,,102,101
11,Al-Farouq Aminu\aminual01,SF,23,NOP,80,65,2045,6.0,12.6,.474,0.3,1.2,.271,5.6,11.4,.496,2.3,3.5,.664,3.3,9.3,12.6,2.9,2.1,1.0,2.2,3.7,14.6,,105,108
12,Lou Amundson\amundlo01,PF,31,TOT,19,0,185,4.5,9.0,.500,0.0,0.0,,4.5,9.0,.500,1.7,6.8,.250,7.9,7.6,15.5,1.7,2.5,3.1,3.9,13.8,10.7,,91,105
12,Lou Amundson\amundlo01,PF,31,NOP,18,0,184,4.5,9.1,.500,0.0,0.0,,4.5,9.1,.500,1.7,6.8,.250,7.9,7.6,15.6,1.7,2.5,3.1,4.0,13.9,10.8,,91,105
12,Lou Amundson\amundlo01,PF,31,CHI,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,110
13,Chris Andersen\anderch01,C,35,MIA,72,0,1396,6.7,10.4,.644,0.1,0.5,.250,6.6,9.9,.662,4.5,6.4,.710,4.9,9.4,14.3,0.7,1.2,3.7,2.0,6.1,18.0,,130,102
14,Alan Anderson\anderal01,SF,31,BRK,78,26,1773,5.7,14.4,.400,2.5,7.3,.339,3.3,7.0,.464,2.7,3.5,.780,1.2,4.0,5.2,2.4,1.4,0.3,1.8,4.4,16.7,,103,111
15,James Anderson\anderja01,SG,24,PHI,80,62,2309,6.5,15.0,.431,2.4,7.4,.328,4.1,7.7,.530,1.6,2.2,.726,1.2,5.1,6.3,3.1,1.6,0.6,2.2,3.2,17.0,,102,112
16,Ryan Anderson\anderry01,PF,25,NOP,22,14,795,10.2,23.2,.438,4.4,10.7,.409,5.8,12.4,.463,3.9,4.1,.952,4.3,5.0,9.3,1.1,0.7,0.5,1.3,3.1,28.6,,120,115
17,Giannis Antetokounmpo\antetgi01,SF,19,MIL,77,23,1897,4.8,11.5,.414,1.1,3.3,.347,3.6,8.3,.440,3.8,5.6,.683,2.2,7.2,9.3,4.1,1.7,1.7,3.4,4.8,14.5,,99,110
18,Carmelo Anthony\anthoca01,PF,29,NYK,77,77,2982,13.2,29.3,.452,3.0,7.4,.402,10.3,21.9,.469,8.2,9.6,.848,2.6,8.5,11.1,4.3,1.7,0.9,3.5,4.0,37.7,,113,108
19,Joel Anthony\anthojo01,C,31,TOT,33,0,186,3.3,8.9,.375,0.0,0.0,,3.3,8.9,.375,1.1,2.2,.500,4.2,6.4,10.6,0.6,0.8,3.3,0.8,4.7,7.8,,96,107
19,Joel Anthony\anthojo01,C,31,MIA,12,0,37,2.8,8.5,.333,0.0,0.0,,2.8,8.5,.333,2.8,2.8,1.000,2.8,7.1,10.0,0.0,0.0,5.7,1.4,5.7,8.5,,94,104
19,Joel Anthony\anthojo01,C,31,BOS,21,0,149,3.5,9.0,.385,0.0,0.0,,3.5,9.0,.385,0.7,2.1,.333,4.5,6.2,10.7,0.7,1.0,2.8,0.7,4.5,7.6,,96,107
20,Pero Antic\anticpe01,C,31,ATL,50,26,925,6.7,16.1,.418,3.1,9.4,.327,3.7,6.7,.545,2.7,3.6,.758,3.1,8.3,11.5,3.2,1.0,0.7,3.0,6.9,19.3,,103,107
21,Trevor Ariza\arizatr01,SF,28,WAS,77,77,2723,7.4,16.1,.456,3.4,8.4,.407,4.0,7.8,.509,2.8,3.7,.772,1.9,7.1,9.0,3.6,2.4,0.4,2.5,3.4,20.9,,113,104
