Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
243,Perry Jones\jonespe01,PF,22,OKC,62,7,764,3.9,8.5,.459,1.0,2.9,.361,2.9,5.7,.508,1.3,2.0,.667,1.3,4.1,5.4,1.2,0.7,0.9,1.0,2.9,10.2
244,Solomon Jones\jonesso01,PF,29,ORL,11,0,85,2.5,7.2,.353,0.0,0.0,,2.5,7.2,.353,0.8,1.7,.500,3.4,3.4,6.8,0.8,0.8,0.8,0.8,5.1,5.9
245,Terrence Jones\joneste01,PF,22,HOU,76,71,2078,6.7,12.3,.542,0.5,1.7,.307,6.2,10.6,.581,2.0,3.4,.605,2.8,6.3,9.1,1.5,0.9,1.7,1.2,2.4,16.0
246,DeAndre Jordan\jordade01,C,25,LAC,82,82,2870,4.4,6.5,.676,0.0,0.0,,4.4,6.5,.676,2.0,4.7,.428,4.2,9.8,14.0,0.9,1.0,2.5,1.5,3.3,10.7
247,Cory Joseph\josepco01,SG,22,SAS,68,19,936,4.8,10.2,.475,0.5,1.5,.316,4.4,8.7,.502,3.0,3.7,.823,1.2,2.9,4.1,4.4,1.3,0.5,1.7,3.2,13.2
248,Chris Kaman\kamanch01,C,31,LAL,39,13,736,8.6,16.9,.509,0.0,0.1,.000,8.6,16.8,.513,2.5,3.3,.765,2.6,8.6,11.2,2.8,0.5,2.0,3.6,4.5,19.8
249,Enes Kanter\kanteen01,C,21,UTA,80,37,2138,7.1,14.4,.491,0.0,0.0,.000,7.1,14.3,.492,2.5,3.4,.730,3.7,6.3,10.1,1.3,0.5,0.7,2.4,3.9,16.6
250,Sergey Karasev\karasse01,SF,20,CLE,22,1,156,2.8,8.1,.343,0.9,4.4,.211,1.8,3.7,.500,2.1,2.3,.900,0.0,3.7,3.7,1.4,0.7,0.2,2.5,5.1,8.5
251,Ryan Kelly\kellyry01,PF,22,LAL,59,25,1312,4.3,10.2,.423,1.3,3.9,.338,3.0,6.3,.476,3.0,3.7,.815,1.2,4.9,6.0,2.6,0.9,1.2,1.3,4.0,13.0
252,Michael Kidd-Gilchrist\kiddgmi01,SF,20,CHA,62,62,1502,4.0,8.5,.473,0.0,0.2,.111,4.0,8.2,.483,2.7,4.4,.614,2.6,5.2,7.8,1.2,1.0,0.9,1.4,3.5,10.7
253,Andrei Kirilenko\kirilan01,PF,32,BRK,45,4,857,3.4,6.7,.513,0.0,0.2,.200,3.4,6.5,.523,2.6,5.0,.513,2.3,3.8,6.1,3.0,1.7,0.8,2.3,2.7,9.5
254,Brandon Knight\knighbr03,PG,22,MIL,72,69,2400,6.9,16.4,.422,1.6,5.1,.325,5.3,11.3,.466,3.9,4.8,.802,0.7,3.1,3.8,5.3,1.0,0.3,2.8,2.2,19.4
255,Kyle Korver\korveky01,SG,32,ATL,71,71,2408,4.3,9.1,.475,2.8,5.9,.472,1.6,3.2,.479,1.3,1.4,.926,0.3,3.9,4.2,3.1,1.0,0.4,1.5,2.2,12.7
256,Kosta Koufos\koufoko01,C,24,MEM,80,22,1349,6.1,12.2,.495,0.0,0.0,,6.1,12.2,.495,1.6,2.5,.645,4.3,6.9,11.2,1.0,0.9,1.9,1.8,4.9,13.7
257,Viacheslav Kravtsov\kravtvi01,C,26,PHO,20,0,59,4.9,9.2,.533,0.0,0.0,,4.9,9.2,.533,2.4,4.9,.500,5.5,4.9,10.4,0.6,0.0,0.6,3.7,4.3,12.2
258,Ognjen Kuzmic\kuzmiog01,C,23,GSW,21,0,92,2.0,5.1,.385,0.0,0.0,,2.0,5.1,.385,2.0,4.3,.455,3.9,4.3,8.2,0.8,1.2,1.6,3.9,6.7,5.9
259,Doron Lamb\lambdo01,SG,22,ORL,53,0,695,3.3,8.3,.394,1.9,4.7,.400,1.4,3.6,.386,1.5,1.9,.806,0.4,2.1,2.5,2.2,0.6,0.1,1.4,2.8,9.9
260,Jeremy Lamb\lambje01,SG,21,OKC,78,0,1538,6.2,14.3,.432,2.1,5.8,.356,4.1,8.5,.483,1.2,1.5,.797,0.6,3.8,4.4,2.7,1.3,0.6,1.4,3.3,15.6
261,Carl Landry\landrca01,PF,30,SAC,18,1,233,4.8,9.3,.517,0.0,0.0,,4.8,9.3,.517,2.2,2.6,.824,2.3,6.5,8.8,0.8,0.5,0.2,1.4,5.3,11.7
262,Shane Larkin\larkish01,PG,21,DAL,48,0,489,3.8,10.1,.380,0.9,2.8,.316,2.9,7.3,.404,1.2,1.8,.640,0.8,2.3,3.1,5.2,1.9,0.1,2.9,3.4,9.7
263,Ty Lawson\lawsoty01,PG,26,DEN,62,61,2222,5.6,13.1,.431,1.2,3.3,.356,4.5,9.8,.455,5.2,6.6,.798,0.6,2.8,3.5,8.8,1.6,0.2,3.2,1.8,17.7
264,Ricky Ledo\ledori01,SG,21,DAL,11,0,33,6.5,18.5,.353,3.3,8.7,.375,3.3,9.8,.333,4.4,4.4,1.000,0.0,2.2,2.2,2.2,1.1,0.0,2.2,2.2,20.7
265,Courtney Lee\leeco01,SG,28,TOT,79,47,1973,5.4,11.2,.480,1.3,3.5,.371,4.1,7.7,.531,1.8,2.0,.884,0.5,2.9,3.4,2.1,1.2,0.5,1.3,2.3,13.9
265,Courtney Lee\leeco01,SG,28,BOS,30,0,504,6.4,13.1,.492,1.6,3.7,.442,4.8,9.4,.511,1.3,1.6,.818,0.6,2.9,3.5,2.3,1.4,0.6,1.8,2.6,15.8
265,Courtney Lee\leeco01,SG,28,MEM,49,47,1469,5.0,10.6,.476,1.2,3.5,.345,3.8,7.1,.540,2.0,2.2,.900,0.5,2.9,3.4,2.0,1.1,0.5,1.2,2.2,13.2
266,David Lee\leeda02,PF,30,GSW,69,67,2288,8.1,15.4,.523,0.0,0.0,.000,8.1,15.4,.523,3.6,4.7,.780,2.9,7.3,10.1,2.3,0.8,0.4,2.4,3.2,19.8
267,Alex Len\lenal01,C,20,PHO,42,3,362,3.3,7.8,.423,0.0,0.0,,3.3,7.8,.423,2.0,3.1,.645,3.9,6.0,9.8,0.4,0.4,1.8,2.6,6.8,8.6
268,Kawhi Leonard\leonaka01,SF,22,SAS,66,65,1923,6.3,12.1,.522,1.3,3.4,.379,5.0,8.7,.579,1.9,2.4,.802,1.4,6.3,7.7,2.5,2.1,0.9,1.5,2.4,15.8
269,Meyers Leonard\leoname01,C,21,POR,40,0,355,4.2,9.2,.451,0.0,0.6,.000,4.2,8.6,.482,1.6,2.1,.762,2.6,8.6,11.3,1.8,0.7,0.5,1.5,7.7,9.9
270,Jon Leuer\leuerjo01,PF,24,MEM,49,0,642,6.8,13.8,.492,1.3,2.7,.469,5.5,11.0,.497,2.1,2.6,.787,2.1,6.8,8.9,1.1,1.0,0.7,1.5,3.5,16.9
271,Rashard Lewis\lewisra02,SF,34,MIA,60,6,971,3.6,8.7,.415,1.7,5.0,.343,1.9,3.8,.510,1.0,1.2,.788,0.9,3.2,4.1,2.1,2.0,0.3,1.3,3.3,9.9
272,DeAndre Liggins\liggide01,SG,25,MIA,1,0,1,36.0,36.0,1.000,0.0,0.0,,36.0,36.0,1.000,0.0,0.0,,36.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,72.0
273,Damian Lillard\lillada01,PG,23,POR,82,82,2937,6.8,16.0,.424,2.7,6.8,.394,4.1,9.2,.447,4.5,5.2,.871,0.4,3.1,3.5,5.6,0.8,0.3,2.4,2.4,20.8
274,Jeremy Lin\linje01,PG,25,HOU,71,33,2054,5.2,11.6,.446,1.4,4.0,.358,3.7,7.6,.492,3.8,4.6,.823,0.6,2.7,3.3,5.2,1.2,0.5,3.1,2.9,15.6
275,Shaun Livingston\livinsh01,PG,28,BRK,76,54,1974,4.3,8.9,.483,0.0,0.1,.167,4.3,8.8,.486,2.9,3.5,.827,1.2,3.3,4.5,4.5,1.7,0.6,1.9,3.1,11.5
276,Brook Lopez\lopezbr01,C,25,BRK,17,17,533,8.7,15.5,.563,0.0,0.1,.000,8.7,15.4,.566,6.3,7.8,.817,2.6,4.3,6.9,1.1,0.6,2.0,1.9,3.5,23.8
277,Robin Lopez\lopezro01,C,25,POR,82,82,2603,4.9,8.9,.551,0.0,0.0,.000,4.9,8.9,.552,2.7,3.3,.818,4.5,5.2,9.7,1.0,0.3,1.9,1.2,2.7,12.6
278,Kevin Love\loveke01,PF,25,MIN,77,77,2797,8.4,18.3,.457,2.4,6.5,.376,5.9,11.8,.502,6.7,8.1,.821,2.9,9.5,12.4,4.4,0.8,0.5,2.5,1.8,25.9
279,Kyle Lowry\lowryky01,PG,27,TOR,79,79,2862,5.7,13.6,.423,2.4,6.3,.380,3.4,7.3,.460,3.9,4.8,.813,1.1,3.5,4.6,7.4,1.5,0.2,2.4,3.4,17.8
280,John Lucas III\lucasjo02,PG,31,UTA,42,6,591,3.8,11.6,.326,1.5,5.1,.298,2.3,6.5,.349,0.6,1.0,.625,0.7,1.6,2.4,2.6,0.9,0.0,1.3,2.5,9.7
281,Shelvin Mack\macksh01,PG,23,ATL,73,11,1490,5.0,12.1,.417,1.5,4.4,.337,3.6,7.7,.464,1.5,1.8,.865,0.5,3.4,3.9,6.5,1.2,0.0,2.2,2.4,13.1
282,Ian Mahinmi\mahinia01,C,27,IND,77,1,1248,2.6,5.5,.481,0.0,0.0,.000,2.6,5.4,.484,2.6,4.2,.621,3.1,4.3,7.4,0.7,1.2,2.1,1.7,6.0,7.8
283,Shawn Marion\mariosh01,SF,35,DAL,76,76,2409,5.1,10.6,.482,0.9,2.4,.358,4.2,8.2,.518,0.8,1.0,.785,2.0,5.5,7.4,1.9,1.3,0.6,1.4,1.9,11.8
284,Kendall Marshall\marshke01,PG,22,LAL,54,45,1564,3.9,9.6,.406,1.6,4.1,.399,2.3,5.5,.411,0.4,0.8,.528,0.3,3.2,3.6,11.0,1.1,0.1,3.5,1.7,9.9
285,Cartier Martin\martica01,SF,29,TOT,59,6,870,4.6,10.9,.420,2.4,6.2,.391,2.2,4.7,.460,2.0,2.7,.738,0.5,4.0,4.6,1.4,1.1,0.3,1.4,2.9,13.6
285,Cartier Martin\martica01,SF,29,ATL,53,6,822,4.6,11.2,.414,2.5,6.4,.384,2.2,4.8,.455,2.0,2.7,.754,0.5,4.1,4.6,1.4,1.1,0.3,1.4,3.0,13.8
