Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jeff Adrien\adrieje01,PF,25,HOU,8,0,63,4.0,9.1,.438,0.0,0.0,,4.0,9.1,.438,4.0,6.9,.583,2.9,9.7,12.6,0.6,0.0,1.1,1.1,7.4,12.0
2,Arron Afflalo\afflaar01,SG,26,DEN,62,62,2086,5.7,12.1,.471,1.5,3.8,.398,4.2,8.2,.504,3.4,4.3,.798,0.7,2.7,3.4,2.6,0.6,0.2,1.5,2.3,16.3
3,Blake Ahearn\ahearbl01,PG,27,UTA,4,0,30,4.8,16.8,.286,2.4,10.8,.222,2.4,6.0,.400,0.0,0.0,,0.0,2.4,2.4,1.2,0.0,0.0,6.0,4.8,12.0
4,Solomon Alabi\alabiso01,C,23,TOR,14,0,122,3.8,10.6,.361,0.0,0.0,,3.8,10.6,.361,2.1,2.4,.875,4.4,9.4,13.9,0.9,0.6,2.7,1.5,3.2,9.7
5,Cole Aldrich\aldrico01,C,23,OKC,26,0,173,4.6,8.7,.524,0.0,0.0,,4.6,8.7,.524,2.7,2.9,.929,2.7,7.3,10.0,0.6,1.7,3.3,1.9,4.6,11.9
6,LaMarcus Aldridge\aldrila01,PF,26,POR,55,55,1994,8.7,17.0,.512,0.0,0.2,.182,8.7,16.8,.516,4.0,4.9,.814,2.7,5.3,8.0,2.4,0.9,0.8,2.0,2.8,21.5
7,Lavoy Allen\allenla01,PF,22,PHI,41,15,624,4.6,9.6,.473,0.0,0.0,,4.6,9.6,.473,0.6,0.8,.786,2.7,7.2,9.9,2.0,0.7,1.0,1.2,4.2,9.7
8,Ray Allen\allenra02,SG,36,BOS,46,42,1565,5.2,11.3,.458,2.4,5.4,.453,2.8,6.0,.463,2.2,2.4,.915,0.3,2.9,3.3,2.5,1.1,0.2,1.6,1.9,15.1
9,Tony Allen\allento01,SG,30,MEM,58,57,1525,5.0,10.6,.469,0.2,0.6,.308,4.8,10.0,.479,3.3,4.1,.800,2.3,3.2,5.5,1.9,2.5,0.8,2.2,3.4,13.4
10,Morris Almond\almonmo01,SG,26,WAS,4,0,67,3.2,9.1,.353,0.5,1.6,.333,2.7,7.5,.357,0.5,1.6,.333,0.5,3.8,4.3,1.1,3.8,0.0,0.5,3.2,7.5
