Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Jeff Adrien\adrieje01,PF,25,HOU,8,0,63,5.8,13.3,.438,0.0,0.0,,5.8,13.3,.438,5.8,10.0,.583,4.2,14.1,18.3,0.8,0.0,1.7,1.7,10.8,17.5,,106,103
2,Arron Afflalo\afflaar01,SG,26,DEN,62,62,2086,8.0,17.1,.471,2.1,5.4,.398,5.9,11.7,.504,4.8,6.0,.798,1.0,3.8,4.8,3.6,0.9,0.3,2.1,3.3,23.0,,116,111
3,Blake Ahearn\ahearbl01,PG,27,UTA,4,0,30,7.0,24.5,.286,3.5,15.7,.222,3.5,8.7,.400,0.0,0.0,,0.0,3.5,3.5,1.7,0.0,0.0,8.7,7.0,17.5,,57,113
4,Solomon Alabi\alabiso01,C,23,TOR,14,0,122,5.7,15.9,.361,0.0,0.0,,5.7,15.9,.361,3.1,3.5,.875,6.6,14.1,20.7,1.3,0.9,4.0,2.2,4.8,14.5,,95,98
5,Cole Aldrich\aldrico01,C,23,OKC,26,0,173,6.6,12.5,.524,0.0,0.0,,6.6,12.5,.524,3.9,4.2,.929,3.9,10.4,14.3,0.9,2.4,4.8,2.7,6.6,17.0,,113,96
6,LaMarcus Aldridge\aldrila01,PF,26,POR,55,55,1994,12.7,24.9,.512,0.1,0.3,.182,12.7,24.6,.516,5.9,7.2,.814,4.0,7.7,11.7,3.5,1.3,1.2,2.9,4.0,31.4,,113,106
7,Lavoy Allen\allenla01,PF,22,PHI,41,15,624,6.8,14.3,.473,0.0,0.0,,6.8,14.3,.473,0.9,1.2,.786,4.0,10.6,14.7,2.9,1.1,1.5,1.7,6.3,14.5,,104,98
8,Ray Allen\allenra02,SG,36,BOS,46,42,1565,7.7,16.7,.458,3.6,7.9,.453,4.1,8.8,.463,3.3,3.6,.915,0.5,4.3,4.8,3.7,1.7,0.3,2.3,2.8,22.2,,111,101
9,Tony Allen\allento01,SG,30,MEM,58,57,1525,7.3,15.5,.469,0.3,0.9,.308,7.0,14.6,.479,4.9,6.1,.800,3.4,4.7,8.1,2.7,3.6,1.1,3.3,4.9,19.7,,106,100
10,Morris Almond\almonmo01,SG,26,WAS,4,0,67,4.6,13.2,.353,0.8,2.3,.333,3.9,10.8,.357,0.8,2.3,.333,0.8,5.4,6.2,1.5,5.4,0.0,0.8,4.6,10.8,,85,101
