"","Player","Pos","Age","Tm","DRB","TOV","PS.G","VORP","fix"
"1","Arron Afflalo\afflaar01","SG",25,"DEN",1.11778387822845,-0.212024701328642,0.759848361523071,1.32815724520584,"arronafflalo"
"2","Maurice Ager\agerma01","SG",26,"MIN",-1.39117374318215,-0.212024701328642,-0.761990934949319,-0.508641555915138,"mauriceager"
"3","Ray Allen\allenra02","SG",35,"BOS",0.917067268515598,0.439915196634257,1.43429986791424,2.62922306266653,"rayallen"
"4","Tony Allen\allento01","SG",29,"MEM",-0.186874084905065,0.0487512578565175,0.119984111869907,1.09855739506572,"tonyallen"
"5","D.J. Augustin\augusdj01","PG",23,"CHA",0.415275744233478,0.961467115004577,1.07113367216515,0.33322456126531,"djaugustin"
"6","Marcus Banks\banksma01","PG",29,"TOR",-1.591890352895,-0.603188640106382,-1.0732762455914,-0.508641555915138,"marcusbanks"
"7","Leandro Barbosa\barbole01","SG",28,"TOR",-0.387590694617913,0.309527217041677,0.880903760106102,-0.508641555915138,"leandrobarbosa"
"8","J.J. Barea\bareajo01","PG",26,"DAL",-0.287232389761489,0.700691155819417,0.223745882083933,-0.202508422394975,"jjbarea"
"9","Rodrigue Beaubois\beaubro01","PG",22,"DAL",-0.287232389761489,0.700691155819417,0.0335159700248846,-0.432108272535097,"rodriguebeaubois"
"10","Marco Belinelli\belinma01","SG",24,"NOH",-0.186874084905065,-0.212024701328642,0.396682165773978,-0.125975139014934,"marcobelinelli"
"11","Charlie Bell\bellch01","SG",31,"GSW",-1.29081543832573,-1.1247405584767,-1.12515713069841,-0.661708122675219,"charliebell"
"12","Raja Bell\bellra01","SG",34,"UTA",0.214559134520631,-0.342412680921222,-0.0356585434511332,-0.432108272535097,"rajabell"
"13","Steve Blake\blakest01","PG",30,"LAL",-0.186874084905065,-0.342412680921222,-0.72740367821131,-0.585174839295178,"steveblake"
"14","Eric Bledsoe\bledser01","PG",21,"LAC",0.0138425248077826,1.61340701296748,-0.260475712248191,-0.508641555915138,"ericbledsoe"
"15","Keith Bogans\boganke01","SG",30,"CHI",-0.287232389761489,-0.863964599291542,-0.658229164735293,0.0270914277451471,"keithbogans"
"16","Earl Boykins\boykiea01","PG",34,"MIL",-1.1904571334693,-0.342412680921222,-0.174007570403169,-0.355574989155056,"earlboykins"
"17","Avery Bradley\bradlav01","PG",20,"BOS",-1.49153204803858,-0.863964599291542,-1.12515713069841,-0.73824140605526,"averybradley"
"18","Ronnie Brewer\brewero02","SG",25,"CHI",0.71635065880275,-0.603188640106382,-0.346943854093213,0.792424261545554,"ronniebrewer"
"19","Shannon Brown\brownsh01","SG",25,"LAL",-0.387590694617913,-0.342412680921222,0.0853968551318978,-0.432108272535097,"shannonbrown"
"20","Kobe Bryant\bryanko01","SG",32,"LAL",2.22172523164911,2.39573489052296,2.95613916438663,2.62922306266653,"kobebryant"
"21","Will Bynum\bynumwi01","PG",28,"DET",-0.889382218900032,0.309527217041677,-0.0529521718201375,-0.73824140605526,"willbynum"
"22","Jose Calderon\caldejo01","PG",29,"TOR",0.615992353946326,1.35263105378232,0.275626767190947,-0.202508422394975,"josecalderon"
"23","Matt Carroll\carroma01","SG",30,"CHA",-0.889382218900032,-0.994352578884122,-0.658229164735293,-0.73824140605526,"mattcarroll"
"24","Mario Chalmers\chalmma01","PG",24,"MIA",0.0138425248077826,0.179139237449098,-0.312356597355204,0.103624711125188,"mariochalmers"
"25","Josh Childress\childjo01","SG",27,"PHO",-0.287232389761489,-0.472800660513802,-0.554467394521266,-0.0494418556348936,"joshchildress"
"26","Sherron Collins\collish01","PG",23,"CHA",-1.591890352895,-1.25512853806928,-1.26350615765045,-0.585174839295178,"sherroncollins"
"27","Darren Collison\collida01","PG",23,"IND",0.415275744233478,1.74379499256006,0.863610131737097,0.103624711125188,"darrencollison"
"28","Mike Conley\conlemi01","PG",23,"MEM",0.816708963659174,1.35263105378232,0.950078273582119,1.32815724520584,"mikeconley"
