"","Player","Pos","Age","Tm","DRB","TOV","PS.G","VORP","fix"
"1","Alex Abrines\abrinal01","SG",23,"OKC",-0.838798911650518,-0.765335174778544,-0.400589199933767,-0.491251979106834,"alexabrines"
"2","Arron Afflalo\afflaar01","SG",31,"SAC",-0.0894444048295637,-0.509433630270548,-0.00441551602436735,-0.83507176863149,"arronafflalo"
"3","Tony Allen\allento01","SG",35,"MEM",0.99295654946737,0.386221775507439,0.111135141782541,0.471443431562203,"tonyallen"
"4","Kyle Anderson\anderky01","SG",23,"SAS",0.326863654515411,-0.765335174778544,-0.829777357502283,0.196387599942478,"kyleanderson"
"5","D.J. Augustin\augusdj01","PG",29,"ORL",-0.589014076043533,0.130320230999443,-0.0869517001721589,-1.04136364234628,"djaugustin"
"6","Ron Baker\bakerro01","SG",23,"NYK",-0.255967628567554,0.00236945874544459,-0.714226699695375,-0.766307810726558,"ronbaker"
"7","Wade Baldwin\baldwwa01","PG",20,"MEM",-0.755537299781523,0.130320230999443,-0.8627918311614,-0.697543852821627,"wadebaldwin"
"8","Leandro Barbosa\barbole01","SG",34,"PHO",-0.589014076043533,-0.509433630270548,-0.351067489445092,-0.766307810726558,"leandrobarbosa"
"9","J.J. Barea\bareajo01","PG",32,"DAL",0.0770788189084262,0.898024864523431,0.40826540471459,-0.216196147487109,"jjbarea"
"10","Will Barton\bartowi01","SG",26,"DEN",1.15947977320536,0.642123320015435,0.870468035942223,0.26515155784741,"willbarton"
"11","Nicolas Batum\batumni01","SG",28,"CHO",2.99123523432325,1.79368027030142,1.10156935155604,1.02155509480165,"nicolasbatum"
"12","Jerryd Bayless\bayleje01","PG",28,"PHI",0.82643332572938,2.43343413157141,0.424772641544149,-0.491251979106834,"jerrydbayless"
"13","Bradley Beal\bealbr01","SG",23,"WAS",0.326863654515411,1.15392640903143,2.4221482979207,1.50290280013617,"bradleybeal"
"14","Malik Beasley\beaslma01","SG",20,"DEN",-1.25510697099549,-0.893285947032542,-0.76374841018405,-0.491251979106834,"malikbeasley"
"15","Marco Belinelli\belinma01","SG",30,"CHO",0.160340430777421,-0.253532085762552,0.342236457396357,-0.353724063296971,"marcobelinelli"
"16","Patrick Beverley\beverpa01","SG",28,"HOU",1.99209589189531,0.514172547761437,0.177164089100774,1.15908301061152,"patrickbeverley"
"17","Eric Bledsoe\bledser01","PG",27,"PHO",1.74231105628832,2.9452372205874,2.09200356132954,1.5716667580411,"ericbledsoe"
"18","Devin Booker\bookede01","SG",20,"PHO",0.493386878253401,2.56138490382541,2.25707592962512,-0.560015937011765,"devinbooker"
"19","Avery Bradley\bradlav01","SG",26,"BOS",2.40840395124028,0.642123320015435,1.29965619351074,0.058859684132616,"averybradley"
