"","Player","Pos","Age","Tm","DRB","TOV","PS.G","VORP","fix"
"1","Jordan Adams\adamsjo01","SG",21,"MEM",-0.976159413012392,-0.18755658846871,-0.857907425851317,-0.466559979641694,"jordanadams"
"2","Arron Afflalo\afflaar01","SG",30,"NYK",1.15772693566283,0.0678852888162855,0.787365975681677,-0.614319494152304,"arronafflalo"
"3","Tony Allen\allento01","SG",34,"MEM",0.802079210883624,0.0678852888162855,0.0089570545262822,0.124478078400745,"tonyallen"
"4","Alan Anderson\anderal01","SG",33,"WAS",-0.0870401010643839,-1.20932409760869,-0.592540748184705,-0.466559979641694,"alananderson"
"5","James Anderson\anderja01","SG",26,"SAC",-0.620511688233189,-0.442998465753704,-0.857907425851317,-0.762079008662914,"jamesanderson"
"6","Giannis Antetokounmpo\antetgi01","PG",21,"MIL",3.64726100911725,1.85597842981125,1.51270156130375,1.89759225252806,"giannisantetokounmpo"
"7","Keith Appling\applike01","PG",23,"ORL",-1.6874548625708,-0.6984403430387,-1.26480299827345,-0.540439736896999,"keithappling"
"8","Leandro Barbosa\barbole01","SG",33,"GSW",-0.709423619427989,-0.442998465753704,-0.344865182362534,-0.466559979641694,"leandrobarbosa"
"9","J.J. Barea\bareajo01","PG",31,"DAL",-0.353775894648786,0.451048104743778,0.451234850637302,-0.24492070787578,"jjbarea"
"10","Will Barton\bartowi01","SG",25,"DEN",2.66922976597444,0.706489982028773,1.07042376519273,0.34611735016666,"willbarton"
"11","Jerryd Bayless\bayleje01","SG",27,"MIL",0.179695692520018,0.32332716610128,0.362779291415098,-0.171040950620475,"jerrydbayless"
"12","Bradley Beal\bealbr01","SG",22,"WAS",0.535343417299222,1.08965279795627,1.60115712052595,-0.023281436109865,"bradleybeal"
"13","Marco Belinelli\belinma01","SG",29,"SAC",-0.442687825843587,0.0678852888162855,0.327397067726216,-1.13147779493944,"marcobelinelli"
"14","Patrick Beverley\beverpa01","PG",27,"HOU",0.35751955490962,0.195606227458783,0.274323732192894,0.715516136443184,"patrickbeverley"
"15","Steve Blake\blakest01","PG",35,"DET",-0.620511688233189,0.32332716610128,-0.698687419251349,-0.762079008662914,"steveblake"
"16","Eric Bledsoe\bledser01","PG",26,"PHO",1.24663886685763,3.00546687759373,2.13189047585918,0.493876864677269,"ericbledsoe"
"17","Devin Booker\bookede01","SG",19,"PHO",0.00187183013041694,1.21737373659876,0.964277094126085,-0.909838523173524,"devinbooker"
"18","Avery Bradley\bradlav01","SG",25,"BOS",0.179695692520018,0.32332716610128,1.21195265994826,0.567756621932574,"averybradley"
"19","Aaron Brooks\brookaa01","PG",31,"CHI",-0.79833555062279,0.0678852888162855,-0.221027399451448,-0.762079008662914,"aaronbrooks"
"20","Lorenzo Brown\brownlo01","PG",25,"PHO",-1.06507134420719,-0.0598356498262119,-1.03481854429572,-0.540439736896999,"lorenzobrown"
"21","Markel Brown\brownma02","SG",24,"BRK",-0.442687825843587,-0.315277527111207,-0.433320741584738,-0.614319494152304,"markelbrown"
"22","Trey Burke\burketr01","PG",23,"UTA",-0.531599757038388,0.195606227458783,0.39816151510398,-0.466559979641694,"treyburke"
"23","Alec Burks\burksal01","SG",24,"UTA",0.802079210883624,0.578769043386276,0.875821534903881,-0.540439736896999,"alecburks"
"24","Jimmy Butler\butleji01","SG",26,"CHI",1.86902238522123,1.08965279795627,2.22034603508138,2.26699103880459,"jimmybutler"
"25","Jose Calderon\caldejo01","PG",34,"NYK",0.713167279688823,0.0678852888162855,-0.132571840229244,0.272237592911355,"josecalderon"
"26","Kentavious Caldwell-Pope\caldwke01","SG",22,"DET",0.624255348494022,0.32332716610128,1.08811487703717,1.15879467997501,"kentaviouscaldwellpope"
"27","Isaiah Canaan\canaais01","SG",24,"PHI",-0.0870401010643839,0.0678852888162855,0.468925962481743,-0.762079008662914,"isaiahcanaan"
"28","Vince Carter\cartevi01","SG",39,"MEM",-0.175952032259185,-0.6984403430387,-0.309482958673652,-0.318800465131085,"vincecarter"
"29","Michael Carter-Williams\cartemi01","PG",24,"MIL",1.86902238522123,2.11142030709625,0.557381521703947,-0.0971611933651698,"michaelcarterwilliams"
"30","Ian Clark\clarkia01","SG",24,"GSW",-1.15398327540199,-0.570719404396202,-0.840216314006876,-0.614319494152304,"ianclark"
"31","Jordan Clarkson\clarkjo01","SG",23,"LAL",0.624255348494022,0.706489982028773,1.26502599548158,-0.171040950620475,"jordanclarkson"
"32","Norris Cole\coleno01","PG",27,"NOP",0.890991142078425,0.706489982028773,0.39816151510398,-0.835958765918219,"norriscole"
"33","Darren Collison\collida01","PG",28,"SAC",-0.175952032259185,0.834210920671271,0.999659317814967,0.19835783565605,"darrencollison"
"34","Mike Conley\conlemi01","PG",28,"MEM",0.35751955490962,0.451048104743778,1.2296437717927,0.789395893698489,"mikeconley"
"35","Pat Connaughton\connapa01","SG",23,"POR",-1.33180713779159,-1.08160315896619,-1.2824941101179,-0.614319494152304,"patconnaughton"
"36","Allen Crabbe\crabbal01","SG",23,"POR",0.179695692520018,-0.442998465753704,0.345088179570657,0.0505983211454399,"allencrabbe"
"37","Jamal Crawford\crawfja01","SG",35,"LAC",-0.442687825843587,0.32332716610128,1.03504154150385,-0.688199251407609,"jamalcrawford"
"38","Seth Curry\curryse01","PG",25,"SAC",-0.79833555062279,-0.442998465753704,-0.274100734984771,-0.392680222386389,"sethcurry"
