Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Jeff Adrien\adrieje01,PF,24,GSW,23,0,196,5.9,13.9,.426,0.0,0.0,,5.9,13.9,.426,2.8,4.9,.579,5.9,9.0,15.0,2.6,1.0,1.3,2.3,7.2,14.7,,102,110
2,Arron Afflalo\afflaar01,SG,25,DEN,69,69,2324,6.7,13.5,.498,2.3,5.4,.423,4.5,8.2,.546,3.0,3.5,.847,1.0,4.5,5.4,3.6,0.7,0.7,1.5,3.3,18.7,,123,111
3,Maurice Ager\agerma01,SG,26,MIN,4,0,29,10.3,18.9,.545,5.1,6.9,.750,5.1,12.0,.429,0.0,0.0,,0.0,3.4,3.4,1.7,1.7,0.0,6.9,6.9,25.7,,94,114
4,Alexis Ajinca\ajincal01,C,22,TOT,34,2,340,9.0,20.3,.444,1.8,5.2,.353,7.2,15.1,.475,2.0,2.7,.722,2.6,9.3,11.9,1.5,1.7,2.9,2.7,11.1,21.8,,98,107
4,Alexis Ajinca\ajincal01,C,22,DAL,10,2,75,8.4,22.4,.375,2.1,4.9,.429,6.3,17.5,.360,1.4,2.1,.667,3.5,8.4,11.9,1.4,2.1,3.5,0.7,9.1,20.3,,97,100
4,Alexis Ajinca\ajincal01,C,22,TOR,24,0,265,9.2,19.7,.465,1.8,5.3,.333,7.4,14.4,.514,2.1,2.9,.733,2.3,9.6,11.9,1.6,1.6,2.7,3.3,11.7,22.2,,99,108
5,Solomon Alabi\alabiso01,C,22,TOR,12,0,59,2.6,13.1,.200,0.0,0.0,,2.6,13.1,.200,0.0,1.8,.000,6.1,6.1,12.3,1.8,1.8,1.8,2.6,4.4,5.3,,61,112
6,Cole Aldrich\aldrico01,C,22,OKC,18,0,142,2.9,5.5,.533,0.0,0.0,,2.9,5.5,.533,0.7,1.5,.500,4.7,8.0,12.8,1.5,1.8,2.6,2.9,10.9,6.6,,98,104
7,LaMarcus Aldridge\aldrila01,PF,25,POR,81,81,3211,12.0,24.1,.500,0.1,0.4,.174,12.0,23.7,.505,6.0,7.5,.791,4.7,7.3,12.1,2.9,1.4,1.6,2.6,3.7,30.1,,114,107
8,Malik Allen\allenma01,PF,32,ORL,18,0,178,3.3,9.2,.355,0.0,0.0,,3.3,9.2,.355,0.3,0.6,.500,3.5,5.9,9.5,1.2,0.3,1.2,0.9,8.9,6.8,,92,105
