Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jeff Adrien\adrieje01,PF,24,GSW,23,0,196,4.2,9.9,.426,0.0,0.0,,4.2,9.9,.426,2.0,3.5,.579,4.2,6.4,10.7,1.8,0.7,0.9,1.7,5.1,10.5
2,Arron Afflalo\afflaar01,SG,25,DEN,69,69,2324,4.8,9.7,.498,1.6,3.8,.423,3.2,5.9,.546,2.1,2.5,.847,0.7,3.2,3.9,2.6,0.5,0.5,1.1,2.4,13.4
3,Maurice Ager\agerma01,SG,26,MIN,4,0,29,7.4,13.7,.545,3.7,5.0,.750,3.7,8.7,.429,0.0,0.0,,0.0,2.5,2.5,1.2,1.2,0.0,5.0,5.0,18.6
4,Alexis Ajinca\ajincal01,C,22,TOT,34,2,340,6.2,14.1,.444,1.3,3.6,.353,5.0,10.5,.475,1.4,1.9,.722,1.8,6.5,8.3,1.1,1.2,2.0,1.9,7.7,15.1
4,Alexis Ajinca\ajincal01,C,22,DAL,10,2,75,5.8,15.4,.375,1.4,3.4,.429,4.3,12.0,.360,1.0,1.4,.667,2.4,5.8,8.2,1.0,1.4,2.4,0.5,6.2,13.9
4,Alexis Ajinca\ajincal01,C,22,TOR,24,0,265,6.4,13.7,.465,1.2,3.7,.333,5.2,10.1,.514,1.5,2.0,.733,1.6,6.7,8.3,1.1,1.1,1.9,2.3,8.2,15.5
5,Solomon Alabi\alabiso01,C,22,TOR,12,0,59,1.8,9.2,.200,0.0,0.0,,1.8,9.2,.200,0.0,1.2,.000,4.3,4.3,8.5,1.2,1.2,1.2,1.8,3.1,3.7
6,Cole Aldrich\aldrico01,C,22,OKC,18,0,142,2.0,3.8,.533,0.0,0.0,,2.0,3.8,.533,0.5,1.0,.500,3.3,5.6,8.9,1.0,1.3,1.8,2.0,7.6,4.6
7,LaMarcus Aldridge\aldrila01,PF,25,POR,81,81,3211,7.9,15.9,.500,0.0,0.3,.174,7.9,15.6,.505,3.9,5.0,.791,3.1,4.8,7.9,1.9,0.9,1.1,1.7,2.5,19.8
8,Malik Allen\allenma01,PF,32,ORL,18,0,178,2.2,6.3,.355,0.0,0.0,,2.2,6.3,.355,0.2,0.4,.500,2.4,4.0,6.5,0.8,0.2,0.8,0.6,6.1,4.7
9,Ray Allen\allenra02,SG,35,BOS,80,80,2890,6.0,12.2,.491,2.1,4.7,.444,3.9,7.5,.520,2.4,2.7,.881,0.6,2.8,3.4,2.7,1.0,0.2,1.5,1.8,16.5
10,Tony Allen\allento01,SG,29,MEM,72,31,1494,6.0,11.9,.510,0.1,0.6,.174,6.0,11.3,.527,3.3,4.4,.753,1.7,3.0,4.7,2.5,3.1,1.1,2.1,3.9,15.5
11,Al-Farouq Aminu\aminual01,SF,20,LAC,81,14,1452,4.0,10.1,.394,1.1,3.5,.315,2.9,6.5,.437,2.3,3.0,.773,1.9,4.8,6.6,1.5,1.5,0.6,2.6,3.0,11.3
12,Lou Amundson\amundlo01,PF,28,GSW,46,7,691,4.3,9.5,.454,0.0,0.0,,4.3,9.5,.454,1.8,4.5,.391,4.2,5.4,9.6,0.9,0.7,1.7,1.3,4.5,10.4
13,Chris Andersen\anderch01,C,32,DEN,45,0,732,4.0,6.7,.599,0.0,0.0,.000,4.0,6.7,.603,4.2,6.6,.637,3.7,7.1,10.8,1.0,1.1,2.9,1.2,3.9,12.3
14,David Andersen\anderda03,PF,30,TOT,40,0,373,5.4,11.7,.463,0.8,2.2,.348,4.6,9.5,.490,1.4,2.1,.636,1.9,6.2,8.1,1.3,0.5,0.9,2.1,3.9,12.9
14,David Andersen\anderda03,PF,30,TOR,11,0,150,5.5,11.3,.489,0.7,2.4,.300,4.8,8.9,.541,1.7,1.7,1.000,1.9,6.2,8.2,1.7,0.7,0.7,1.9,2.6,13.4
14,David Andersen\anderda03,PF,30,NOH,29,0,223,5.3,11.9,.446,0.8,2.1,.385,4.5,9.8,.459,1.1,2.4,.467,1.9,6.1,8.1,1.0,0.3,1.0,2.3,4.7,12.6
15,James Anderson\anderja01,SF,21,SAS,26,2,286,3.9,10.2,.383,2.3,5.8,.391,1.6,4.4,.371,1.8,2.3,.778,0.3,2.6,2.9,2.3,0.4,0.8,1.6,3.0,11.8
16,Ryan Anderson\anderry01,PF,22,ORL,64,14,1424,5.7,13.3,.430,3.4,8.6,.393,2.3,4.7,.500,2.4,3.0,.812,3.3,5.7,9.0,1.3,0.8,1.0,1.2,3.5,17.2
17,Carmelo Anthony\anthoca01,SF,26,TOT,77,77,2751,9.0,19.7,.455,1.2,3.3,.378,7.7,16.4,.470,6.6,7.9,.838,1.5,5.8,7.4,2.9,0.9,0.6,2.7,2.9,25.8
17,Carmelo Anthony\anthoca01,SF,26,DEN,50,50,1774,8.9,19.6,.452,0.9,2.6,.333,8.0,17.1,.470,7.0,8.5,.823,1.6,6.2,7.8,2.8,0.9,0.6,2.9,2.7,25.5
17,Carmelo Anthony\anthoca01,SF,26,NYK,27,27,977,9.1,19.8,.461,2.0,4.6,.424,7.1,15.1,.472,6.0,6.9,.872,1.5,5.2,6.7,3.0,0.9,0.6,2.4,3.3,26.2
18,Joel Anthony\anthojo01,C,28,MIA,75,11,1463,1.3,2.4,.535,0.0,0.0,,1.3,2.4,.535,1.2,1.8,.644,2.6,4.0,6.5,0.6,0.2,2.3,0.9,4.8,3.8
19,Gilbert Arenas\arenagi01,PG,29,TOT,70,16,1796,5.4,14.7,.366,1.9,6.6,.297,3.4,8.2,.423,2.4,3.1,.784,0.4,3.3,3.8,5.5,1.5,0.4,3.5,3.8,15.1
19,Gilbert Arenas\arenagi01,PG,29,WAS,21,14,726,6.4,16.4,.394,2.3,7.2,.324,4.1,9.2,.449,2.8,3.3,.836,0.3,3.2,3.5,5.8,1.5,0.6,3.5,3.8,18.0
19,Gilbert Arenas\arenagi01,PG,29,ORL,49,2,1070,4.7,13.6,.344,1.7,6.1,.275,3.0,7.5,.401,2.2,2.9,.744,0.5,3.5,4.0,5.3,1.5,0.3,3.6,3.8,13.2
20,Trevor Ariza\arizatr01,SF,25,NOH,75,75,2600,4.2,10.6,.398,1.1,3.8,.303,3.1,6.8,.450,1.9,2.7,.701,0.8,4.8,5.6,2.2,1.7,0.4,1.6,2.5,11.4
21,Hilton Armstrong\armsthi01,C,26,TOT,53,2,488,2.7,5.6,.487,0.1,0.3,.500,2.6,5.3,.486,1.2,2.4,.485,3.1,6.6,9.7,1.0,1.3,1.5,2.1,6.2,6.8
21,Hilton Armstrong\armsthi01,C,26,WAS,41,2,412,2.7,5.6,.484,0.1,0.3,.333,2.6,5.3,.492,1.2,2.0,.609,3.4,6.6,10.0,0.9,1.3,1.4,2.2,6.6,6.7
21,Hilton Armstrong\armsthi01,C,26,ATL,12,0,76,2.8,5.7,.500,0.5,0.5,1.000,2.4,5.2,.455,0.9,4.7,.200,1.4,6.6,8.1,1.9,1.4,2.4,1.4,4.3,7.1
22,Carlos Arroyo\arroyca01,PG,31,TOT,64,43,1185,3.6,8.3,.440,0.9,2.1,.449,2.7,6.2,.436,1.2,1.4,.830,0.6,2.5,3.1,3.8,0.6,0.0,1.8,2.2,9.4
22,Carlos Arroyo\arroyca01,PG,31,MIA,49,42,995,3.9,8.6,.458,1.0,2.3,.438,2.9,6.3,.466,1.0,1.3,.800,0.5,2.4,2.9,3.6,0.5,0.0,1.6,2.2,9.9
22,Carlos Arroyo\arroyca01,PG,31,BOS,15,1,190,2.1,6.6,.314,0.6,0.9,.600,1.5,5.7,.267,2.1,2.3,.917,1.3,3.0,4.4,4.7,1.3,0.0,3.2,2.1,6.8
23,Darrell Arthur\arthuda01,PF,22,MEM,80,9,1609,6.9,14.0,.497,0.0,0.1,.000,6.9,13.8,.502,2.4,3.0,.813,2.6,5.1,7.7,1.2,1.2,1.4,2.0,5.1,16.3
24,Omer Asik\asikom01,C,24,CHI,82,0,989,2.8,5.1,.553,0.0,0.0,,2.8,5.1,.553,2.7,5.3,.503,4.1,7.1,11.1,1.2,0.7,2.0,2.3,5.6,8.3
25,D.J. Augustin\augusdj01,PG,23,CHA,82,82,2757,5.2,12.5,.416,1.4,4.3,.333,3.8,8.2,.461,3.5,3.9,.906,0.5,2.4,2.9,6.5,0.7,0.0,2.0,2.0,15.4
26,Luke Babbitt\babbilu01,SF,21,POR,24,0,137,3.9,14.5,.273,0.8,4.2,.188,3.2,10.2,.308,0.8,2.4,.333,1.6,6.3,7.9,1.6,0.5,0.5,2.1,3.9,9.5
27,Renaldo Balkman\balkmre01,SF,26,TOT,8,0,62,3.5,7.5,.462,0.6,1.2,.500,2.9,6.4,.455,1.7,2.3,.750,1.2,2.9,4.1,1.2,2.3,1.2,0.6,8.7,9.3
27,Renaldo Balkman\balkmre01,SF,26,DEN,5,0,44,4.1,7.4,.556,0.0,0.0,,4.1,7.4,.556,2.5,3.3,.750,0.8,2.5,3.3,1.6,2.5,1.6,0.0,9.0,10.6
27,Renaldo Balkman\balkmre01,SF,26,NYK,3,0,18,2.0,8.0,.250,2.0,4.0,.500,0.0,4.0,.000,0.0,0.0,,2.0,4.0,6.0,0.0,2.0,0.0,2.0,8.0,6.0
28,Marcus Banks\banksma01,PG,29,TOR,3,0,22,0.0,3.3,.000,0.0,0.0,,0.0,3.3,.000,9.8,13.1,.750,0.0,1.6,1.6,4.9,1.6,0.0,3.3,6.5,9.8
29,Leandro Barbosa\barbole01,SG,28,TOR,58,0,1395,7.6,16.9,.450,1.9,5.5,.338,5.7,11.4,.505,2.8,3.5,.796,0.4,2.2,2.6,3.1,1.3,0.2,2.2,2.9,19.8
30,J.J. Barea\bareajo01,PG,26,DAL,81,2,1669,6.1,14.0,.439,1.4,4.1,.349,4.7,9.9,.476,2.9,3.4,.847,0.6,2.8,3.4,6.8,0.6,0.0,2.9,2.9,16.6
31,Andrea Bargnani\bargnan01,C,25,TOR,66,66,2353,8.0,17.9,.448,1.2,3.4,.345,6.9,14.5,.472,4.4,5.4,.820,1.1,4.1,5.2,1.8,0.5,0.7,2.3,2.4,21.6
32,Matt Barnes\barnema02,SF,30,LAL,53,0,1020,4.6,9.8,.470,1.2,3.8,.318,3.4,6.1,.564,2.1,2.7,.779,2.6,5.5,8.0,2.5,1.4,0.8,2.0,4.5,12.6
33,Earl Barron\barroea01,C,29,TOT,21,7,305,3.8,11.7,.323,0.0,0.0,,3.8,11.7,.323,1.8,2.8,.625,3.8,5.2,9.0,1.3,0.9,0.7,1.9,5.4,9.3
33,Earl Barron\barroea01,C,29,PHO,12,6,183,2.4,10.0,.235,0.0,0.0,,2.4,10.0,.235,2.4,3.9,.600,3.1,4.7,7.9,0.8,1.2,0.8,2.2,6.3,7.1
33,Earl Barron\barroea01,C,29,MIL,7,0,85,7.2,15.7,.459,0.0,0.0,,7.2,15.7,.459,0.8,0.8,1.000,5.1,4.2,9.3,1.7,0.8,0.8,0.8,4.2,15.2
33,Earl Barron\barroea01,C,29,POR,2,1,37,2.9,10.7,.273,0.0,0.0,,2.9,10.7,.273,1.0,1.9,.500,3.9,9.7,13.6,2.9,0.0,0.0,2.9,3.9,6.8
34,Brandon Bass\bassbr01,PF,25,ORL,76,51,1980,6.0,11.7,.515,0.0,0.0,.000,6.0,11.7,.516,3.5,4.2,.815,2.4,5.3,7.7,1.0,0.5,0.9,1.8,2.9,15.5
35,Tony Battie\battito01,C,34,PHI,38,0,377,4.3,9.2,.469,0.2,0.3,.667,4.1,8.9,.462,0.8,1.3,.571,1.6,7.8,9.5,1.1,0.5,1.4,1.1,5.6,9.5
36,Shane Battier\battish01,SF,32,TOT,82,59,2375,3.5,7.7,.450,1.5,4.0,.382,1.9,3.7,.525,1.0,1.4,.688,1.4,4.3,5.7,2.8,1.0,1.2,1.2,2.4,9.5
36,Shane Battier\battish01,SF,32,HOU,59,59,1818,3.7,8.1,.456,1.7,4.5,.391,1.9,3.6,.536,1.0,1.5,.645,1.1,4.4,5.6,3.0,1.0,1.4,1.2,2.5,10.1
36,Shane Battier\battish01,SF,32,MEM,23,0,557,2.8,6.5,.426,0.9,2.7,.333,1.9,3.8,.492,1.0,1.1,.882,2.1,3.9,5.9,2.1,1.0,0.6,1.0,2.0,7.4
37,Nicolas Batum\batumni01,SF,22,POR,80,67,2522,5.2,11.5,.455,1.7,4.9,.345,3.6,6.6,.535,2.0,2.3,.841,1.6,3.6,5.2,1.8,1.0,0.7,1.2,2.8,14.1
38,Jerryd Bayless\bayleje01,PG,22,TOT,71,14,1496,5.2,12.4,.422,1.2,3.5,.336,4.1,8.9,.456,4.0,5.0,.806,0.6,3.3,4.0,6.4,0.9,0.1,3.1,3.6,15.7
38,Jerryd Bayless\bayleje01,PG,22,NOH,11,0,149,4.1,11.8,.347,0.7,3.4,.214,3.4,8.5,.400,3.1,4.1,.765,0.5,3.1,3.6,6.8,0.5,0.2,4.1,3.9,12.1
38,Jerryd Bayless\bayleje01,PG,22,TOR,60,14,1347,5.4,12.5,.429,1.2,3.5,.348,4.1,9.0,.461,4.1,5.1,.810,0.6,3.4,4.0,6.4,1.0,0.1,2.9,3.6,16.1
39,Michael Beasley\beaslmi01,SF,22,MIN,73,73,2361,8.6,19.0,.450,0.9,2.5,.366,7.6,16.5,.463,3.3,4.4,.753,1.8,4.4,6.2,2.4,0.8,0.8,3.0,3.4,21.4
40,Rodrigue Beaubois\beaubro01,PG,22,DAL,28,26,496,6.8,16.2,.422,1.8,6.0,.301,5.0,10.2,.493,1.7,2.2,.767,0.5,3.3,3.8,4.6,1.5,0.6,3.4,5.5,17.1
41,Marco Belinelli\belinma01,SG,24,NOH,80,69,1957,5.6,12.7,.437,2.5,6.0,.414,3.1,6.8,.458,1.8,2.3,.784,0.3,2.5,2.8,1.7,0.7,0.1,1.4,2.7,15.4
42,Charlie Bell\bellch01,SG,31,GSW,19,0,171,2.5,9.1,.279,1.3,4.4,.286,1.3,4.6,.273,0.4,0.8,.500,1.3,2.5,3.8,2.7,1.3,0.2,1.3,2.7,6.7
43,Raja Bell\bellra01,SG,34,UTA,68,63,2097,3.3,8.0,.409,1.2,3.3,.352,2.1,4.7,.449,1.6,1.8,.892,0.5,2.5,3.0,2.0,1.0,0.2,1.1,2.9,9.3
