last name,first name,age,position,team,faStatus,total-contract,average
Anthony,Carmelo,33,SF,NYK,UFA,124064681,24812936
Bledsoe,Eric,27,PG,PHX,RFA,70000000,14000000
Hayward,Gordon,27,SF,UTH,RFA,62965420,15741355
Gortat,Marcin,33,C,WAS,UFA,60000000,12000000
Lowry,Kyle,31,PG,TOR,UFA,48000000,12000000
Parsons,Chandler,28,SF,HOU,RFA,46084500,15361500
James,LeBron,32,SF,MIA,UFA,42217798,21108899
Ariza,Trevor,32,SF,WAS,UFA,32000002,8000001
Bradley,Avery,26,SG,BOS,RFA,32000000,8000000
Frye,Channing,34,PF,PHX,UFA,32000000,8000000
Wade,Dwyane,35,SG,MIA,UFA,31125000,15562500
Diaw,Boris,35,C,SAS,UFA,28000000,7000000
Thomas,Isaiah,28,PG,SAC,RFA,27000002,6750001
Nowitzki,Dirk,39,PF,DAL,UFA,25000000,8333333
Hawes,Spencer,29,PF,CLE,UFA,22652350,5663088
Gasol,Pau,37,PF,LAL,UFA,22346280,7448760
Young,Nick,32,SF,LAL,UFA,21326174,5331544
Deng,Luol,32,SF,CLE,UFA,19866073,9933037
Meeks,Jodie,30,SG,LAL,UFA,18810000,6270000
Patterson,Patrick,28,PF,TOR,RFA,18150001,6050000
Stephenson,Lance,26,SF,IND,UFA,18000000,9000000
Miles,C.J.,30,SG,CLE,UFA,17955350,4488838
Livingston,Shaun,32,PG,BKN,UFA,16631175,5543725
Harris,Devin,34,PG,DAL,UFA,16562884,4140721
Williams,Marvin,31,PF,UTH,UFA,14000000,7000000
Humphries,Kris,32,PF,BOS,UFA,13320000,4440000
Vasquez,Greivis,30,PG,TOR,RFA,13000000,6500000
Mills,Patrick,29,PG,SAS,UFA,13000000,4333333
Carter,Vince,40,SG,DAL,UFA,12000000,4000000
Sefolosha,Thabo,33,SF,OKC,UFA,12000000,4000000
Pierce,Paul,39,SF,BKN,UFA,10848725,5424363
Andersen,Chris,39,PF,MIA,UFA,10375000,5187500
Morrow,Anthony,32,SG,NOP,UFA,10032000,3344000
Scott,Mike,29,PF,ATL,RFA,10000000,3333333
Kaman,Chris,35,C,LAL,UFA,9816000,4908000
Booker,Trevor,29,PF,WAS,UFA,9775000,4887500
Hill,Jordan,30,C,LAL,UFA,9000000,9000000
Butler,Caron,37,SF,OKC,UFA,9000000,4500000
Chalmers,Mario,31,PG,MIA,UFA,8300000,4150000
Mack,Shelvin,27,PG,ATL,RFA,7300000,2433333
Turner,Evan,28,SF,IND,UFA,6703510,3351755
Bayless,Jerryd,29,PG,BOS,UFA,6000000,3000000
Blair,DeJaun,28,C,DAL,UFA,6000000,2000000
