last name,first name,age,position,team,faStatus,total-contract,average
Gasol,Marc,32,C,MEM,UFA,113211750,22642350
Love,Kevin,29,PF,CLE,UFA,113211750,22642350
Leonard,Kawhi,26,SF,SAS,RFA,94343125,18868625
Butler,Jimmy,28,SG,CHI,RFA,92339878,18467976
Jordan,DeAndre,29,C,LAC,UFA,87616050,21904013
Dragic,Goran,31,PG,MIA,UFA,85002250,17000450
Aldridge,LaMarcus,32,PF,POR,UFA,84072030,21018008
Thompson,Tristan,26,C,CLE,RFA,82000000,16400000
Green,Draymond,27,PF,GSW,RFA,82000000,16400000
Jackson,Reggie,27,PG,DET,RFA,80000000,16000000
Kanter,Enes,25,PF,OKC,RFA,70060026,17515007
Matthews,Wesley,30,SG,POR,UFA,70060026,17515007
Knight,Brandon,25,PG,PHX,RFA,70000000,14000000
Middleton,Khris,26,SF,MIL,RFA,70000000,14000000
Harris,Tobias,25,PF,ORL,RFA,64000000,16000000
Lopez,Brook,29,C,BKN,UFA,63497025,21165675
Millsap,Paul,32,PF,ATL,UFA,60216100,20072033
Carroll,DeMarre,31,SF,ATL,UFA,58000000,14500000
Asik,Omer,31,C,NOP,UFA,57977525,11595505
Lopez,Robin,29,C,POR,UFA,54015500,13503875
Young,Thaddeus,29,PF,BKN,UFA,54000000,13500000
Chandler,Tyson,35,C,DAL,UFA,52000000,13000000
Monroe,Greg,27,C,DET,UFA,51437513,17145838
Ellis,Monta,31,SG,DAL,UFA,43981000,10995250
Green,Danny,30,SG,SAS,UFA,40000000,10000000
Shumpert,Iman,27,SG,CLE,RFA,40000000,10000000
Crowder,Jae,27,SF,BOS,RFA,35000000,7000000
Koufos,Kosta,28,C,MEM,UFA,32879000,8219750
Aminu,Al-Farouq,27,SF,DAL,UFA,30000000,7500000
Joseph,Cory,26,PG,SAS,UFA,29890000,7472500
Johnson,Amir,30,PF,TOR,UFA,24000000,12000000
Brewer,Corey,31,SG,HOU,UFA,23420913,7806971
Beverley,Patrick,29,PG,HOU,RFA,23027026,5756757
Williams,Louis,30,SG,TOR,UFA,21000000,7000000
Davis,Ed,28,PF,LAL,UFA,20000000,6666667
Baynes,Aron,30,PF,SAS,UFA,19500000,6500000
Ajinca,Alexis,29,C,NOP,UFA,19200000,4800000
Belinelli,Marco,31,SF,SAS,UFA,19000000,6333333
Singler,Kyle,29,SF,OKC,RFA,19000000,4750000
Wright,Brandan,29,PF,PHX,UFA,17129640,5709880
Garnett,Kevin,41,PF,MIN,UFA,16500000,8250000
O'Quinn,Kyle,27,C,ORL,RFA,16012500,4003125
Barea,Jose,33,PG,DAL,UFA,16001700,4000425
Afflalo,Arron,31,SG,POR,UFA,16000000,8000000
Watson,C.J.,33,PG,IND,UFA,15000000,5000000
Dunleavy,Mike,37,SF,CHI,UFA,14512500,4837500
Nelson,Jameer,35,PG,DEN,UFA,13621575,4540525
Williams,Deron,33,PG,BKN,UFA,11000000,5500000
Duncan,Tim,41,PF,SAS,UFA,10850000,5425000
Barton,Will,26,SG,DEN,RFA,10599999,3533333
Pierce,Paul,39,SF,WAS,UFA,10583760,3527920
Jerebko,Jonas,30,PF,BOS,UFA,10000000,5000000
Rondo,Rajon,31,PG,DAL,UFA,9500000,9500000
Williams,Derrick,26,PF,SAC,RFA,8998000,4499000
Cunningham,Dante,30,PF,NOP,UFA,8934750,2978250
Allen,LaVoy,28,PF,IND,UFA,8050000,4025000
Gooden,Drew,36,PF,WAS,UFA,6847000,3423500
McDaniels,K.J.,24,SG,HOU,RFA,6523126,3261563
Rivers,Austin,27,SG,LAC,UFA,6454902,3227451
Bass,Brandon,32,PF,BOS,UFA,6135000,3067500
Casspi,Omri,29,SF,SAC,UFA,5800000,2900000
Arthur,Darrell,29,PF,DEN,UFA,5754630,2877315
Ginobili,Manu,40,SG,SAS,UFA,5754630,2877315
Teletovic,Mirza,32,PF,BKN,UFA,5464000,5464000
Anthony,Joel,35,C,DET,UFA,5000000,2500000
Lin,Jeremy,29,PG,LAL,UFA,4374255,2187128
Smith,Jason,31,PF,NYK,UFA,4300000,4300000
Ingles,Joe,30,SF,UTH,RFA,4300000,2150000
Williams,Mo,34,PG,CHA,UFA,4294500,2147250
Hill,Jordan,30,C,LAL,UFA,4000000,4000000
Anderson,Alan,34,SG,BKN,UFA,4000000,4000000
RobinsonIII,Glen,23,SG,PHI,UFA,3241000,1080333
Jenkins,John,26,SG,ATL,UFA,3211301,1070434
Ellington,Wayne,29,SG,LAL,UFA,3067500,1533750
Butler,Caron,37,SF,MIL,UFA,3050846,1525423
West,David,37,PF,IND,UFA,3050846,1525423
Cole,Norris,28,PG,NOP,RFA,3036927,3036927
Larkin,Shane,25,PG,NYK,UFA,3000000,1500000
Bargnani,Andrea,31,C,NYK,UFA,2914556,1457278
Scola,Luis,37,PF,IND,UFA,2900000,2900000
Seraphin,Kevin,27,PF,WAS,UFA,2814000,2814000
Gee,Alonzo,30,SF,POR,UFA,2699400,1349700
Jackson,Pierre,26,PG,PHI,UFA,2639382,659846
Barbosa,Leandro,34,SG,GSW,UFA,2500000,2500000
Evans,Jeremy,29,SF,UTH,UFA,2327888,1163944
Babbitt,Luke,28,SF,NOP,UFA,2327888,1163944
Johnson,Wesley,30,SG,LAL,UFA,2327888,1163944
Brooks,Aaron,32,PG,CHI,UFA,2250000,2250000
Anderson,James,28,SG,PHI,UFA,2154544,1077272
Neal,Gary,32,PG,MIN,UFA,2139000,2139000
Acy,Quincy,26,SF,NYK,UFA,2032309,1016155
Robinson,Thomas,26,PF,PHI,UFA,2032309,1016155
Withey,Jeff,27,C,NOP,UFA,1962972,981486
Holiday,Justin,28,SG,GSW,UFA,1962972,981486
Whittington,Shayne,26,PF,IND,UFA,1825490,1825490
Thomas,Lance,29,SF,NYK,UFA,1636842,1636842
Amundson,Louis,34,PF,NYK,UFA,1635476,1635476
Jones,Dahntay,36,SF,LAC,UFA,1499187,1499187
Hayes,Chuck,34,PF,TOR,UFA,1499187,1499187
Terry,Jason,40,SG,HOU,UFA,1499187,1499187
Prince,Tayshaun,37,SF,DET,UFA,1499187,1499187
Richardson,Jason,36,SG,PHI,UFA,1499187,1499187
Villanueva,Charlie,33,PF,DAL,UFA,1499187,1499187
Jefferson,Richard,37,SF,DAL,UFA,1499187,1499187
Perkins,Kendrick,32,C,CLE,UFA,1499187,1499187
Jones,James,36,SG,CLE,UFA,1499187,1499187
Price,Ronnie,34,PG,LAL,UFA,1499187,1499187
Smith,Josh,31,SF,HOU,UFA,1499187,1499187
Bonner,Matt,37,C,SAS,UFA,1499187,1499187
Stoudemire,Amar'e,34,PF,DAL,UFA,1499187,1499187
Roberts,Ronald,26,SF,PHI,UFA,1399729,699865
Green,Gerald,31,SG,PHX,UFA,1356146,1356146
Hansbrough,Tyler,31,PF,TOR,UFA,1185784,1185784
Thornton,Marcus,30,SG,PHX,UFA,1185784,1185784
Copeland,Chris,33,SF,IND,UFA,1150000,1150000
Dellavedova,Matthew,27,PG,CLE,RFA,1147276,1147276
Smith,Ishmael,29,PG,PHI,UFA,1100602,1100602
Sloan,Donald,29,PG,IND,UFA,1015421,1015421
Fredette,Jimmer,28,PG,NOP,UFA,1015421,1015421
Prigioni,Pablo,40,PG,DEN,UFA,981348,981348
Bennett,Anthony,24,PF,MIN,UFA,947276,947276
Clark,Ian,26,SG,DEN,UFA,947276,947276
Pressey,Phil,26,PG,BOS,UFA,947276,947276
Reed,Willie,27,PF,BKN,UFA,947276,947276
Moreland,Eric,25,PF,SAC,UFA,845059,845059
