last name,first name,age,position,team,faStatus,total-contract,average
Williams,Deron,33,PG,BKN,UFA,98772325,19754465
Hibbert,Roy,30,C,IND,RFA,58365563,14591391
Batum,Nicolas,28,SG,POR,RFA,46121500,11530375
McGee,JaVale,29,C,DEN,RFA,44000000,11000000
Wallace,Gerald,35,SF,BKN,UFA,40000030,10000008
Hill,George,31,PG,IND,RFA,40000000,8000000
Ilyasova,Ersan,30,SF,MIL,UFA,40000000,8000000
Garnett,Kevin,41,PF,BOS,UFA,36000000,12000000
Green,Jeff,31,SF,BOS,UFA,35200000,8800000
Anderson,Ryan,29,PF,ORL,RFA,34000000,8500000
Duncan,Tim,41,PF,SAS,UFA,30361446,10120482
Thompson,Jason,31,PF,SAC,RFA,30187500,6037500
Dragic,Goran,31,PG,HOU,UFA,30000000,7500000
Nash,Steve,43,PG,PHX,UFA,27901500,9300500
Nelson,Jameer,35,PG,ORL,UFA,25200000,8400000
Asik,Omer,31,C,CHI,RFA,25123938,8374646
Lin,Jeremy,29,PG,NYK,RFA,25123938,8374646
Lee,Courtney,32,SG,HOU,UFA,21350000,5337500
Crawford,Jamal,37,SG,POR,UFA,21350000,5337500
Bass,Brandon,32,PF,BOS,UFA,19350000,6450000
Fields,Landry,29,SF,NYK,RFA,18750000,6250000
Beasley,Michael,28,SF,MIN,UFA,18000000,6000000
Mahinmi,Ian,30,C,DAL,UFA,16000000,4000000
Williams,Louis,30,SG,PHI,UFA,15675000,5225000
Terry,Jason,40,SG,DAL,UFA,15675000,5225000
Felton,Raymond,33,PG,POR,UFA,14860000,3715000
Miller,Andre,41,PG,DEN,UFA,14625000,4875000
Camby,Marcus,43,C,HOU,UFA,13151319,4383773
Hawes,Spencer,29,PF,PHI,UFA,13100000,6550000
Green,Danny,30,SG,SAS,RFA,11287500,3762500
Roy,Brandon,33,SG,POR,UFA,10400000,5200000
Sessions,Ramon,31,PG,LAL,UFA,10000000,5000000
Arthur,Darrell,29,PF,MEM,RFA,9675000,4837500
Diaw,Boris,35,C,SAS,UFA,9202500,4601250
Kidd,Jason,44,PG,DAL,UFA,9090000,3030000
Speights,Marreese,30,C,MEM,RFA,8715000,4357500
Mayo,O.J.,29,SG,MEM,UFA,8220900,4110450
