last name,first name,age,position,team,faStatus,total-contract,average
Curry,Stephen,29,PG,GSW,UFA,201158790,40231758
Griffin,Blake,28,PF,LAC,UFA,171174820,34234964
Holiday,Jrue,27,PG,NOP,UFA,131805000,26361000
Hayward,Gordon,27,SF,UTH,UFA,127829970,31957493
PorterJr.,Otto,24,SF,WAS,RFA,106524975,26631244
Lowry,Kyle,31,PG,TOR,UFA,100000000,33333333
HardawayJr.,Tim,25,SG,ATL,RFA,70950000,17737500
Ibaka,Serge,28,PF,TOR,UFA,65000000,21666667
Gallinari,Danilo,29,SF,DEN,UFA,64762737,21587579
Millsap,Paul,32,PF,ATL,UFA,61000000,30500000
Hill,George,31,PG,UTH,UFA,57000000,19000000
Teague,Jeff,29,PG,IND,UFA,57000000,19000000
Ingles,Joe,29,SF,UTH,RFA,52000000,13000000
Waiters,Dion,25,SG,MIA,UFA,52000000,13000000
Durant,Kevin,28,SF,GSW,UFA,51250000,25625000
Olynyk,Kelly,26,C,BOS,UFA,50000000,12500000
Mills,Patrick,29,PG,SAS,UFA,49714285,12428571
Gasol,Pau,37,PF,SAS,UFA,48800000,16266667
Iguodala,Andre,33,SG,GSW,UFA,48000000,16000000
Snell,Tony,25,SF,MIL,RFA,46000000,11500000
Johnson,James,30,PF,MIA,UFA,43295100,14431700
Plumlee,Mason,27,C,DEN,RFA,41000000,13666667
Felicio,Cristiano,25,PF,CHI,RFA,32000000,8000000
Tucker,P.J.,32,SF,TOR,UFA,31878148,7969537
Roberson,Andre,25,SG,OKC,RFA,30000000,10000000
Gibson,Taj,32,PF,OKC,UFA,28000000,14000000
Mirotic,Nikola,26,PF,CHI,RFA,27000000,13500000
Miles,C.J.,30,SG,IND,UFA,25000000,8333333
Randolph,Zach,36,PF,MEM,UFA,24000000,12000000
Livingston,Shaun,32,PG,GSW,UFA,23692308,7897436
Redick,J.J.,33,SG,LAC,UFA,23000000,23000000
Korver,Kyle,36,SG,CLE,UFA,22060000,7353333
Bogdanovic,Bojan,28,SF,WAS,UFA,21000000,10500000
Galloway,Langston,25,PG,SAC,RFA,21000000,7000000
Simmons,Jonathon,28,SG,SAS,UFA,20000000,6666667
Collison,Darren,30,PG,SAC,UFA,20000000,10000000
Caldwell-Pope,Kentavious,24,SG,DET,UFA,17745894,17745894
Gay,Rudy,31,SF,SAC,UFA,17232300,8616150
Green,JaMychal,27,PF,MEM,RFA,17000000,8500000
Williams,Alan,24,PF,PHX,RFA,17000000,5666667
Patterson,Patrick,28,PF,TOR,UFA,16354800,5451600
Dedmon,Dewayne,28,C,SAS,UFA,14100000,7050000
Mack,Shelvin,27,PG,UTH,UFA,12000000,6000000
Johnson,Amir,30,PF,BOS,UFA,11000000,11000000
Hilario,Nene,35,PF,HOU,UFA,10954440,3651480
McLemore,Ben,24,SG,SAC,UFA,10660000,5330000
Sefolosha,Thabo,33,SF,ATL,UFA,10500000,5250000
Muscala,Mike,26,PF,ATL,UFA,10000000,5000000
Holiday,Justin,28,SG,NYK,UFA,9000000,4500000
Baker,Ron,24,SG,NYK,UFA,8872400,4436200
Crawford,Jamal,37,SG,ATL,UFA,8872400,4436200
Jerebko,Jonas,30,PF,BOS,UFA,8200000,4100000
Carter,Vince,40,SG,MEM,UFA,8000000,8000000
Meeks,Jodie,30,SG,ORL,UFA,6744500,3372250
Ilyasova,Ersan,30,SF,ATL,UFA,6000000,6000000
Young,Nick,32,SF,LAL,UFA,5192000,5192000
Bullock,Reggie,26,SF,DET,RFA,5000000,2500000
Nowitzki,Dirk,39,PF,DAL,UFA,5000000,5000000
Williams,Troy,22,SF,HOU,RFA,4693068,1564356
Baynes,Aron,30,PF,DET,UFA,4328000,4328000
Noel,Nerlens,23,C,DAL,RFA,4187598,4187598
Zeller,Tyler,27,C,BOS,UFA,3643479,1821740
Pachulia,Zaza,33,C,GSW,UFA,3477600,3477600
Muhammad,Shabazz,24,SF,MIN,UFA,3372245,1686123
Withey,Jeff,27,C,UTH,UFA,3372245,1686123
Rondo,Rajon,31,PG,CHI,UFA,3300000,3300000
Black,Tarik,25,C,LAL,UFA,3290000,3290000
Tolliver,Anthony,32,PF,SAC,UFA,3290000,3290000
Evans,Tyreke,28,SF,SAC,UFA,3290000,3290000
Ennis,Tyler,23,PG,LAL,UFA,3180397,1590199
Lauvergne,Joffrey,25,PF,CHI,UFA,3180397,1590199
Stone,Diamond,20,C,ATL,UFA,2857562,1428781
Cook,Quinn,24,PG,NOP,UFA,2857562,1428781
Selden,Wayne,22,SG,MEM,UFA,2857562,1428781
Carter-Williams,Michael,25,PG,CHI,UFA,2700000,2700000
Green,Gerald,31,SG,BOS,UFA,2328652,2328652
Terry,Jason,40,SG,MIL,UFA,2328652,2328652
Allen,Tony,35,SG,MEM,UFA,2328652,2328652
Sessions,Ramon,31,PG,CHA,UFA,2328652,2328652
Afflalo,Arron,31,SG,SAC,UFA,2328652,2328652
Collison,Nick,36,PF,OKC,UFA,2328652,2328652
Haslem,Udonis,37,PF,MIA,UFA,2328652,2328652
Green,Jeff,31,SF,ORL,UFA,2328652,2328652
Calderon,Jose,35,PG,ATL,UFA,2328652,2328652
Felton,Raymond,33,PG,LAC,UFA,2328652,2328652
West,David,37,PF,GSW,UFA,2328652,2328652
Cunningham,Dante,30,PF,NOP,UFA,2300000,2300000
Brooks,Aaron,32,PG,IND,UFA,2116955,2116955
Morrow,Anthony,31,SG,CHI,UFA,2116955,2116955
Beasley,Michael,28,SF,MIL,UFA,2116955,2116955
McGee,JaVale,29,C,GSW,UFA,2116955,2116955
Speights,Marreese,30,C,LAC,UFA,2116955,2116955
Richard,Luc,31,SF,LAC,UFA,2116955,2116955
Rose,Derrick,28,PG,NYK,UFA,2106470,2106470
Casspi,Omri,29,SF,MIN,UFA,2106470,2106470
Babbitt,Luke,28,SF,MIA,UFA,1974159,1974159
Scott,Mike,29,PF,PHX,UFA,1709538,1709538
Clark,Ian,26,SG,GSW,UFA,1577230,1577230
Reed,Willie,27,PF,MIA,UFA,1577230,1577230
Rudez,Damjan,31,SF,ORL,RFA,1524305,1524305
McDaniels,K.J.,24,SG,BKN,UFA,1524305,1524305
Mickey,Jordan,23,PF,BOS,UFA,1471382,1471382
Weber,Briante,24,SG,CHA,UFA,1471382,1471382
Brown,Bobby,33,PG,HOU,RFA,1312611,1312611
Uthoff,Jarrod,24,PF,HOU,UFA,1312611,1312611
Gbinije,Michael,25,SG,DET,UFA,1312611,1312611
Plumlee,Marshall,25,PF,NYK,UFA,1312611,1312611
Niang,Georges,24,SF,IND,UFA,1312611,1312611
Georges-Hunt,Marcus,23,SG,ORL,UFA,1312611,1312611
Zimmerman,Stephen,21,C,ORL,UFA,1312611,1312611
