last name,first name,age,position,team,faStatus,total-contract,average
Barnes,Matt,37,SF,MEM,UFA,12250000,6125000
Daniels,Troy,26,SG,CHA,RFA,10000009,3333336
Williams,Deron,33,PG,DAL,UFA,10000000,10000000
Hill,Jordan,30,C,IND,UFA,8000000,4000000
Barbosa,Leandro,34,SG,GSW,UFA,8000000,4000000
Jefferson,Richard,37,SF,CLE,UFA,7612500,2537500
Hamilton,Justin,27,C,MIN,UFA,6000000,3000000
Sessions,Ramon,31,PG,WAS,UFA,6000000,6000000
Waiters,Dion,25,SG,OKC,UFA,5926410,2963205
Curry,Seth,27,SG,SAC,UFA,5926410,2963205
Dedmon,Dewayne,28,C,ORL,UFA,5926410,2963205
Ennis,James,27,SF,NOP,UFA,5926410,2963205
Sullinger,Jared,25,PF,BOS,UFA,5628000,5628000
Scola,Luis,37,PF,TOR,UFA,5500000,5500000
Price,Ronnie,34,PG,PHX,UFA,5000000,2500000
Vasquez,Greivis,30,PG,MIL,UFA,5000000,5000000
Jennings,Brandon,28,PG,ORL,UFA,5000000,5000000
Hibbert,Roy,30,C,LAL,UFA,5000000,5000000
Williams,Derrick,26,PF,NYK,UFA,4598000,4598000
Richard,Luc,31,SF,LAC,UFA,4505135,2252568
Frazier,Tim,26,PG,NOP,RFA,4090000,2045000
Humphries,Kris,32,PF,ATL,UFA,4000000,4000000
Haslem,Udonis,37,PF,MIA,UFA,4000000,4000000
Johnson,James,30,PF,TOR,UFA,4000000,4000000
Rush,Brandon,32,SG,GSW,UFA,3500000,3500000
Lee,David,34,PF,DAL,UFA,3157626,1578813
Huertas,Marcelo,34,PG,LAL,RFA,3067600,1533800
Hilario,Nene,35,PF,WAS,UFA,2898000,2898000
Pachulia,Zaza,33,C,DAL,UFA,2898000,2898000
Speights,Marreese,30,C,GSW,UFA,2863580,1431790
Brooks,Aaron,32,PG,CHI,UFA,2700000,2700000
Foye,Randy,34,SG,OKC,UFA,2500000,2500000
WrotenJr.,Tony,24,SG,MEM,UFA,2229953,1114977
Prigioni,Pablo,40,PG,LAC,UFA,2229953,1114977
Acy,Quincy,26,SF,SAC,UFA,2229953,1114977
Canaan,Isaiah,26,PG,PHI,UFA,2103441,1051721
Reed,Willie,27,PF,BKN,UFA,2103441,1051721
Dinwiddie,Spencer,24,PG,CHI,UFA,2031676,1015838
Wood,Christian,22,PF,PHI,RFA,1889382,944691
WorldPeace,Metta,37,SF,LAL,UFA,1551659,1551659
Amundson,Louis,34,PF,NYK,UFA,1551659,1551659
Brand,Elton,38,PF,PHI,UFA,1551659,1551659
Novak,Steve,34,SF,MIL,UFA,1551659,1551659
Terry,Jason,40,SG,HOU,UFA,1551659,1551659
Felton,Raymond,33,PG,DAL,UFA,1551659,1551659
Andersen,Chris,39,PF,MEM,UFA,1551659,1551659
Bass,Brandon,32,PF,LAL,UFA,1551659,1551659
Varejao,Anderson,35,PF,GSW,UFA,1551659,1551659
Jack,Jarrett,33,PG,BKN,UFA,1551659,1551659
West,David,37,PF,SAS,UFA,1551659,1551659
Farmar,Jordan,30,PG,MEM,UFA,1410598,1410598
Green,Gerald,31,SG,MIA,UFA,1410598,1410598
Vujacic,Sasha,33,SG,NYK,UFA,1410598,1410598
Gee,Alonzo,30,SF,NOP,UFA,1400000,1400000
Lawson,Ty,29,PG,IND,UFA,1315448,1315448
Anderson,Alan,34,SG,WAS,UFA,1315448,1315448
Thornton,Marcus,30,SG,WAS,UFA,1315448,1315448
Stephenson,Lance,26,SF,MEM,UFA,1227286,1227286
Robinson,Thomas,26,PF,BKN,UFA,1050961,1050961
Jones,Terrence,25,PF,HOU,UFA,1050961,1050961
Roberts,Brian,31,PG,POR,UFA,1050961,1050961
Clark,Ian,26,SG,GSW,UFA,1015696,1015696
Early,Cleanthony,26,SF,NYK,UFA,980431,980431
McAdoo,James,24,SF,GSW,UFA,980431,980431
