last name,first name,age,position,team,faStatus,total-contract,average
Conley,Mike,29,PG,MEM,UFA,152605576,30521115
DeRozan,DeMar,28,SG,TOR,UFA,139000000,27800000
Beal,Bradley,24,SG,WAS,RFA,127171313,25434263
Drummond,Andre,24,C,DET,RFA,127171313,25434263
Batum,Nicolas,28,SG,CHA,UFA,120000000,24000000
Horford,Al,31,C,ATL,UFA,113326228,28331557
James,LeBron,32,SF,CLE,UFA,99857127,33285709
Whiteside,Hassan,28,C,MIA,UFA,98419538,24604885
Barnes,Harrison,25,SF,GSW,UFA,94438525,23609631
Parsons,Chandler,28,SF,DAL,UFA,94438523,23609631
Fournier,Evan,24,SG,ORL,RFA,85000000,17000000
Anderson,Ryan,29,PF,NOP,UFA,80000000,20000000
Crabbe,Allen,25,SF,POR,RFA,74832500,18708125
Noah,Joakim,32,C,CHI,UFA,72590000,18147500
Biyombo,Bismack,25,PF,TOR,UFA,72000000,18000000
Deng,Luol,32,SF,MIA,UFA,72000000,18000000
Howard,Dwight,31,C,HOU,UFA,70500000,23500000
Bazemore,Kent,28,SF,ATL,UFA,70000000,17500000
Turner,Evan,28,SF,BOS,UFA,70000000,17500000
Mozgov,Timofey,31,C,CLE,UFA,64000000,16000000
Mahinmi,Ian,30,C,IND,UFA,64000000,16000000
Smith,J.R.,32,SG,CLE,UFA,57000000,14250000
Williams,Marvin,31,PF,CHA,UFA,54512500,13628125
Durant,Kevin,29,SF,OKC,UFA,54274505,27137253
Gordon,Eric,28,SG,NOP,UFA,52886489,13221622
Plumlee,Miles,29,C,MIL,RFA,50000000,12500000
Johnson,Tyler,24,SG,MIA,RFA,50000000,12500000
Clarkson,Jordan,25,SG,LAL,RFA,50000000,12500000
Lee,Courtney,32,SG,CHA,UFA,48003340,12000835
Hill,Solomon,26,SF,IND,UFA,48000000,12000000
Wade,Dwyane,35,SG,MIA,UFA,47000000,23500000
Harkless,Maurice,24,PF,POR,RFA,42000000,10500000
Crawford,Jamal,37,SG,LAC,UFA,42000000,14000000
Leuer,Jon,28,PF,PHX,UFA,42000000,10500000
Leonard,Meyers,25,C,POR,RFA,41000000,10250000
Dellavedova,Matthew,27,PG,CLE,RFA,38430000,9607500
Lin,Jeremy,29,PG,CHA,UFA,38300000,12766667
Powell,Dwight,26,PF,DAL,UFA,37268750,9317188
Rivers,Austin,27,SG,LAC,UFA,35475000,11825000
Moore,E'Twaun,28,SG,CHI,UFA,34000000,8500000
Gasol,Pau,37,PF,CHI,UFA,31697500,15848750
Jefferson,Al,32,C,CHA,UFA,30000000,10000000
Dudley,Jared,32,PF,WAS,UFA,30000000,10000000
Augustin,D.J.,29,PG,DEN,UFA,29000000,7250000
Thomas,Lance,29,SF,NYK,UFA,27549950,6887488
Rondo,Rajon,31,PG,SAC,UFA,27397000,13698500
Bayless,Jerryd,29,PG,MIL,UFA,27000000,9000000
Nicholson,Andrew,27,PF,ORL,UFA,26000000,6500000
Nowitzki,Dirk,39,PF,DAL,UFA,25000000,25000000
Afflalo,Arron,31,SG,NYK,UFA,25000000,12500000
Temple,Garrett,31,SG,WAS,UFA,24000000,8000000
Arthur,Darrell,29,PF,DEN,UFA,23000000,7666667
Johnson,Joe,36,SF,MIA,UFA,21505000,10752500
Marjanovic,Boban,29,C,SAS,RFA,21000000,7000000
Booker,Trevor,29,PF,UTH,UFA,18375000,9187500
Zeller,Tyler,27,C,BOS,RFA,18000000,9000000
Henderson,Gerald,29,SG,POR,UFA,18000000,9000000
Smith,Ishmael,29,PG,PHI,UFA,18000000,6000000
Johnson,Wesley,30,SG,LAC,UFA,17643780,5881260
Tolliver,Anthony,32,PF,DET,UFA,16000000,8000000
Smith,Jason,31,PF,ORL,UFA,15675000,5225000
Ezeli,Festus,27,C,GSW,UFA,15133000,7566500
Green,Jeff,31,SF,LAC,UFA,15000000,15000000
Ginobili,Manu,40,SG,SAS,UFA,14000000,14000000
Black,Tarik,25,C,LAL,RFA,12846325,6423163
Ellington,Wayne,29,SG,BKN,UFA,12270000,6135000
