Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
398,Wayne Selden\seldewa01,SG,22,NOP,3,3,47,5.2,8.3,.625,4.2,7.3,.571,1.0,1.0,1.000,2.1,4.2,.500,0.0,5.2,5.2,1.0,2.1,0.0,3.1,6.3,16.7,,113,109
398,Wayne Selden\seldewa01,SG,22,MEM,11,2,189,5.5,13.8,.400,0.8,5.8,.143,4.7,8.0,.586,3.3,5.0,.667,0.3,2.8,3.0,3.3,1.1,0.3,2.5,3.3,15.1,,93,112
399,Kevin Seraphin\serapke01,PF,27,IND,49,3,559,9.8,17.7,.551,0.0,0.2,.000,9.8,17.5,.556,1.3,2.0,.636,3.7,9.0,12.7,2.1,0.6,1.8,2.6,5.9,20.8,,106,109
400,Ramon Sessions\sessira01,PG,30,CHO,50,1,811,6.2,16.3,.380,1.3,3.8,.339,4.9,12.4,.393,5.6,7.3,.771,0.7,3.8,4.5,8.0,1.7,0.2,2.8,2.7,19.3,,103,111
401,Iman Shumpert\shumpim01,SG,26,CLE,76,31,1937,5.2,12.6,.411,2.4,6.7,.360,2.8,5.9,.469,1.8,2.3,.789,1.0,4.6,5.6,2.8,1.6,0.7,2.0,3.9,14.6,,104,112
402,Pascal Siakam\siakapa01,PF,22,TOR,55,38,859,6.1,12.1,.502,0.1,0.4,.143,6.0,11.7,.515,1.3,1.9,.688,3.8,7.1,10.9,1.0,1.5,2.7,1.9,6.4,13.5,,106,106
403,Jonathon Simmons\simmojo02,SG,27,SAS,78,8,1392,6.5,15.4,.420,1.1,3.7,.294,5.4,11.7,.461,3.6,4.8,.750,0.7,5.1,5.9,4.6,1.7,0.9,2.8,5.3,17.7,,100,105
404,Kyle Singler\singlky01,SF,28,OKC,32,2,385,4.3,10.6,.410,0.9,4.7,.189,3.4,5.9,.587,1.7,2.2,.765,1.0,5.1,6.1,1.1,0.9,0.6,1.4,3.7,11.2,,99,111
405,Marcus Smart\smartma01,SG,22,BOS,79,24,2399,5.6,15.5,.359,1.9,6.9,.283,3.6,8.6,.420,4.2,5.2,.812,1.6,4.7,6.3,7.5,2.6,0.7,3.3,4.0,17.3,,102,108
406,Ish Smith\smithis01,PG,28,DET,81,32,1955,8.5,19.4,.439,0.7,2.7,.267,7.8,16.6,.467,1.9,2.6,.706,0.5,5.5,6.1,10.8,1.6,0.9,2.9,3.3,19.6,,103,108
407,J.R. Smith\smithjr01,SG,31,CLE,41,35,1187,5.2,15.0,.346,4.0,11.4,.351,1.2,3.6,.329,0.4,0.6,.667,0.7,4.0,4.8,2.6,1.7,0.5,1.1,3.2,14.8,,101,112
408,Jason Smith\smithja02,C,30,WAS,74,3,1068,8.0,15.2,.529,1.7,3.6,.474,6.3,11.6,.546,1.6,2.4,.686,3.0,9.0,11.9,1.7,1.0,2.5,2.7,7.8,19.4,,110,108
409,Tony Snell\snellto01,SG,25,MIL,80,80,2336,5.3,11.8,.455,3.1,7.7,.406,2.2,4.0,.548,1.0,1.3,.810,0.5,4.9,5.4,2.1,1.2,0.3,1.2,2.7,14.8,,114,113
410,Marreese Speights\speigma01,C,29,LAC,82,2,1286,9.5,21.3,.445,4.0,10.8,.372,5.5,10.5,.520,4.7,5.3,.876,3.4,11.1,14.5,2.5,0.9,1.6,2.7,8.9,27.6,,114,106
411,Tiago Splitter\splitti01,C,32,PHI,8,0,76,9.0,19.9,.452,1.3,3.8,.333,7.7,16.0,.480,5.8,7.1,.818,5.1,9.0,14.1,2.6,0.6,0.6,3.8,5.1,25.0,,105,110
412,Nik Stauskas\stausni01,SG,23,PHI,80,27,2188,5.6,14.1,.396,2.9,8.0,.368,2.6,6.1,.433,2.7,3.3,.813,0.5,4.6,5.0,4.2,1.0,0.7,2.9,3.2,16.8,,100,112
413,Lance Stephenson\stephla01,SG,26,TOT,18,0,361,7.4,16.5,.450,0.8,2.8,.300,6.6,13.8,.480,1.1,1.8,.615,0.6,6.6,7.2,8.1,0.7,0.4,3.6,4.4,16.8,,96,112
413,Lance Stephenson\stephla01,SG,26,NOP,6,0,162,7.9,16.6,.473,0.3,3.0,.100,7.6,13.6,.556,1.5,2.4,.625,0.9,4.5,5.4,8.8,0.6,0.3,3.3,5.4,17.5,,100,112
413,Lance Stephenson\stephla01,SG,26,MIN,6,0,67,7.6,15.9,.476,0.0,1.5,.000,7.6,14.4,.526,0.8,1.5,.500,0.0,7.6,7.6,3.8,0.0,0.0,3.0,1.5,15.9,,89,117
