Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines\abrinal01,SG,23,OKC,68,6,1055,4.6,11.6,.393,3.2,8.4,.381,1.4,3.2,.426,1.5,1.7,.898,0.6,2.3,2.9,1.4,1.3,0.3,1.1,3.9,13.9
2,Quincy Acy\acyqu01,PF,26,TOT,38,1,558,4.5,11.0,.412,2.4,5.8,.411,2.1,5.2,.413,2.9,3.9,.750,1.3,6.1,7.4,1.2,0.9,1.0,1.4,4.3,14.3
2,Quincy Acy\acyqu01,PF,26,DAL,6,0,48,3.7,12.7,.294,0.7,5.2,.143,3.0,7.5,.400,1.5,2.3,.667,1.5,4.5,6.0,0.0,0.0,0.0,1.5,6.8,9.7
2,Quincy Acy\acyqu01,PF,26,BRK,32,1,510,4.6,10.8,.425,2.5,5.9,.434,2.0,4.9,.414,3.0,4.0,.754,1.3,6.3,7.6,1.3,1.0,1.1,1.3,4.1,14.8
3,Steven Adams\adamsst01,C,23,OKC,80,80,2389,5.6,9.9,.571,0.0,0.0,.000,5.6,9.9,.572,2.4,3.9,.611,4.2,5.0,9.2,1.3,1.3,1.2,2.2,2.9,13.6
4,Arron Afflalo\afflaar01,SG,31,SAC,61,45,1580,4.2,9.6,.440,1.4,3.4,.411,2.8,6.1,.457,1.9,2.1,.892,0.2,2.6,2.8,1.8,0.5,0.1,1.0,2.4,11.7
5,Alexis Ajinca\ajincal01,C,28,NOP,39,15,584,5.5,11.0,.500,0.0,0.2,.000,5.5,10.7,.511,1.8,2.5,.725,2.8,8.1,10.9,0.7,1.2,1.4,1.9,4.7,12.8
6,Cole Aldrich\aldrico01,C,28,MIN,62,0,531,3.1,5.8,.523,0.0,0.0,,3.1,5.8,.523,1.0,1.5,.682,3.5,7.3,10.7,1.7,1.7,1.6,1.2,5.8,7.1
7,LaMarcus Aldridge\aldrila01,PF,31,SAS,72,72,2335,7.7,16.2,.477,0.4,0.9,.411,7.4,15.3,.480,3.4,4.2,.812,2.7,5.4,8.1,2.1,0.7,1.4,1.5,2.4,19.2
8,Lavoy Allen\allenla01,PF,27,IND,61,5,871,3.2,6.9,.458,0.0,0.0,.000,3.2,6.9,.461,1.0,1.4,.697,4.3,4.7,9.1,2.4,0.7,1.0,1.2,3.2,7.3
9,Tony Allen\allento01,SG,35,MEM,71,66,1914,5.2,11.2,.461,0.3,1.0,.278,4.9,10.2,.479,1.5,2.4,.615,3.1,4.2,7.4,1.8,2.2,0.5,1.9,3.3,12.1
10,Al-Farouq Aminu\aminual01,SF,26,POR,61,25,1773,3.7,9.5,.393,1.4,4.3,.330,2.3,5.2,.445,1.9,2.8,.706,1.6,7.6,9.2,2.0,1.2,0.9,1.9,2.1,10.8
11,Chris Andersen\anderch01,C,38,CLE,12,0,114,2.8,6.9,.409,0.0,0.9,.000,2.8,6.0,.474,3.2,4.4,.714,2.8,6.9,9.8,1.6,1.6,2.2,1.6,6.3,8.8
12,Alan Anderson\anderal01,SF,34,LAC,30,0,308,3.5,9.4,.375,1.6,5.1,.318,1.9,4.2,.444,1.4,1.9,.750,0.4,2.5,2.8,1.3,0.4,0.0,0.8,4.1,10.1
13,Justin Anderson\anderju01,SF,23,TOT,75,10,1228,5.5,12.9,.424,1.7,5.7,.299,3.8,7.2,.522,3.0,3.8,.791,2.0,5.2,7.2,1.9,1.2,0.7,1.9,3.2,15.6
13,Justin Anderson\anderju01,SF,23,DAL,51,2,710,5.6,14.0,.401,1.9,6.2,.303,3.8,7.9,.477,3.5,4.5,.795,2.0,5.6,7.6,1.6,1.4,0.8,2.0,3.2,16.7
13,Justin Anderson\anderju01,SF,23,PHI,24,8,518,5.2,11.3,.463,1.5,5.0,.292,3.8,6.3,.600,2.2,2.8,.780,2.1,4.6,6.7,2.4,0.9,0.5,1.8,3.1,14.1
14,Kyle Anderson\anderky01,SG,23,SAS,72,14,1020,3.3,7.4,.445,0.5,1.4,.375,2.8,6.0,.462,1.6,2.0,.789,1.2,6.2,7.3,3.2,1.8,0.9,1.4,2.2,8.7
15,Ryan Anderson\anderry01,PF,28,HOU,72,72,2116,5.5,13.2,.418,3.5,8.6,.403,2.0,4.5,.446,2.2,2.6,.860,1.9,3.7,5.6,1.2,0.5,0.2,0.9,2.4,16.7
16,Giannis Antetokounmpo\antetgi01,SF,22,MIL,80,80,2845,8.3,15.9,.521,0.6,2.3,.272,7.7,13.7,.563,6.0,7.7,.770,1.8,7.1,8.9,5.5,1.7,1.9,3.0,3.1,23.2
17,Carmelo Anthony\anthoca01,SF,32,NYK,74,74,2538,8.5,19.7,.433,2.1,6.0,.359,6.4,13.7,.466,4.3,5.2,.833,0.9,5.3,6.2,3.0,0.9,0.5,2.2,2.8,23.5
18,Joel Anthony\anthojo01,C,34,SAS,19,0,122,3.0,4.7,.625,0.0,0.0,,3.0,4.7,.625,1.5,2.4,.625,2.4,6.8,9.1,0.9,0.6,1.8,1.2,3.2,7.4
19,Trevor Ariza\arizatr01,SF,31,HOU,80,80,2773,4.2,10.4,.409,2.5,7.2,.344,1.8,3.2,.556,1.2,1.6,.738,0.7,5.2,5.9,2.3,1.9,0.3,0.9,1.7,12.2
20,Darrell Arthur\arthuda01,PF,28,DEN,41,7,639,5.4,12.1,.442,3.0,6.6,.453,2.4,5.5,.429,1.1,1.2,.864,1.4,4.9,6.3,2.4,1.1,1.2,2.0,4.3,14.8
21,Omer Asik\asikom01,C,30,NOP,31,19,482,2.3,4.9,.477,0.0,0.0,,2.3,4.9,.477,1.7,2.9,.590,3.6,8.6,12.2,1.1,0.4,0.7,1.0,3.8,6.3
22,D.J. Augustin\augusdj01,PG,29,ORL,78,20,1538,4.6,12.1,.377,2.2,6.4,.347,2.3,5.7,.412,3.1,3.8,.814,0.4,2.4,2.7,4.9,0.7,0.0,2.1,2.4,14.4
23,Luke Babbitt\babbilu01,SF,27,MIA,68,55,1065,3.8,9.5,.402,2.9,7.1,.414,0.9,2.4,.366,0.4,0.5,.733,0.4,4.4,4.8,1.2,0.7,0.4,0.8,4.0,11.0
24,Ron Baker\bakerro01,SG,23,NYK,52,13,857,3.4,9.1,.378,1.0,3.6,.267,2.5,5.5,.450,1.2,1.8,.651,0.5,3.6,4.1,4.5,1.4,0.3,2.4,3.1,9.0
25,Wade Baldwin\baldwwa01,PG,20,MEM,33,1,405,3.2,10.2,.313,0.3,2.0,.136,2.9,8.3,.355,2.8,3.3,.838,1.0,3.1,4.1,5.4,1.6,0.6,3.5,3.6,9.4
26,Leandro Barbosa\barbole01,SG,34,PHO,67,0,963,6.4,14.7,.439,1.3,3.7,.357,5.1,11.0,.466,1.5,1.7,.889,0.6,3.3,3.9,3.0,1.2,0.3,1.8,3.1,15.7
27,J.J. Barea\bareajo01,PG,32,DAL,35,6,771,6.6,16.0,.414,2.5,6.9,.358,4.2,9.1,.456,2.1,2.4,.863,0.4,3.5,3.9,9.0,0.7,0.0,2.9,1.4,17.8
28,Harrison Barnes\barneha02,PF,24,DAL,79,79,2803,7.7,16.4,.468,1.0,2.9,.351,6.7,13.6,.492,3.1,3.6,.861,1.2,3.9,5.1,1.5,0.8,0.2,1.3,1.6,19.5
29,Matt Barnes\barnema02,SF,36,TOT,74,18,1777,3.7,9.6,.391,1.8,5.3,.331,2.0,4.3,.467,1.4,1.8,.787,1.4,6.4,7.8,4.0,1.0,0.5,2.2,3.7,10.7
