Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Quincy Acy\acyqu01,PF,22,TOR,29,0,342,6.5,11.6,.560,0.2,0.3,.500,6.4,11.3,.562,4.8,5.9,.816,4.7,7.3,12.0,1.7,2.0,2.3,2.6,8.2,18.0,,120,105
2,Jeff Adrien\adrieje01,PF,26,CHA,52,5,713,5.3,12.4,.429,0.0,0.1,.000,5.3,12.2,.434,4.8,7.4,.650,5.0,9.4,14.4,2.7,1.3,2.0,2.4,5.9,15.4,,105,109
3,Arron Afflalo\afflaar01,SF,27,ORL,64,64,2307,9.0,20.4,.439,1.6,5.4,.300,7.3,15.0,.489,4.3,5.0,.857,0.7,4.7,5.4,4.7,0.9,0.2,3.1,3.1,23.9,,102,112
4,Josh Akognon\akognjo01,PG,26,DAL,3,0,9,11.3,22.7,.500,5.7,11.3,.500,5.7,11.3,.500,0.0,0.0,,0.0,5.7,5.7,5.7,0.0,0.0,0.0,17.0,28.4,,130,111
5,Cole Aldrich\aldrico01,C,24,TOT,45,0,388,5.7,10.4,.550,0.0,0.0,,5.7,10.4,.550,1.6,2.6,.600,3.9,11.7,15.6,1.2,0.7,3.0,3.0,7.8,13.0,,102,105
5,Cole Aldrich\aldrico01,C,24,HOU,30,0,213,5.4,10.1,.535,0.0,0.0,,5.4,10.1,.535,0.9,2.1,.444,2.8,10.6,13.4,1.4,0.7,2.1,3.3,9.6,11.7,,92,105
5,Cole Aldrich\aldrico01,C,24,SAC,15,0,175,6.2,10.8,.568,0.0,0.0,,6.2,10.8,.568,2.3,3.2,.727,5.3,13.2,18.5,0.9,0.6,4.1,2.6,5.6,14.6,,112,106
6,LaMarcus Aldridge\aldrila01,PF,27,POR,74,74,2790,12.0,24.8,.484,0.0,0.3,.143,12.0,24.6,.488,5.3,6.6,.810,3.3,9.3,12.6,3.6,1.2,1.7,2.7,3.5,29.4,,108,107
7,Lavoy Allen\allenla01,C,23,PHI,79,37,1669,6.5,14.3,.454,0.0,0.0,.000,6.5,14.3,.455,1.4,1.9,.717,5.0,7.5,12.5,2.3,0.8,1.7,1.7,5.7,14.4,,103,106
8,Ray Allen\allenra02,SG,37,MIA,79,0,2035,7.6,16.9,.449,3.6,8.6,.419,4.0,8.3,.480,3.6,4.1,.886,1.0,4.6,5.6,3.5,1.7,0.4,2.7,3.4,22.5,,112,107
9,Tony Allen\allento01,SG,31,MEM,79,79,2109,7.3,16.4,.445,0.1,0.6,.125,7.2,15.8,.458,3.4,4.8,.717,3.1,6.2,9.3,2.5,3.1,1.1,2.4,5.4,18.1,,102,98
10,Al-Farouq Aminu\aminual01,SF,22,NOH,76,71,2066,5.9,12.4,.475,0.1,0.5,.211,5.8,11.9,.486,2.7,3.6,.737,3.6,11.7,15.4,2.7,2.4,1.3,3.0,4.0,14.6,,101,105
11,Lou Amundson\amundlo01,PF,30,TOT,39,0,372,4.6,11.6,.395,0.0,0.0,,4.6,11.6,.395,1.7,5.1,.333,6.9,8.3,15.1,1.6,2.3,1.7,2.7,7.6,10.8,,89,105
11,Lou Amundson\amundlo01,PF,30,MIN,20,0,161,4.5,12.2,.368,0.0,0.0,,4.5,12.2,.368,1.3,6.4,.200,7.4,7.7,15.1,1.0,2.2,1.9,3.5,8.3,10.3,,77,103
11,Lou Amundson\amundlo01,PF,30,CHI,1,0,2,0.0,26.9,.000,0.0,0.0,,0.0,26.9,.000,0.0,0.0,,26.9,0.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,,59,113
11,Lou Amundson\amundlo01,PF,30,NOH,18,0,209,4.7,10.9,.429,0.0,0.0,,4.7,10.9,.429,2.1,4.2,.500,6.2,8.8,15.0,2.1,2.3,1.6,2.1,7.0,11.4,,102,106
12,Chris Andersen\anderch01,C,34,MIA,42,0,624,6.0,10.4,.577,0.2,0.3,.667,5.9,10.2,.575,5.3,7.9,.677,4.8,9.8,14.6,1.4,1.4,3.7,2.0,7.6,17.6,,125,100
13,Alan Anderson\anderal01,SF,30,TOR,65,2,1495,8.4,21.9,.383,3.4,10.1,.333,5.0,11.8,.426,4.5,5.2,.857,1.2,4.0,5.3,3.7,1.7,0.2,2.8,4.7,24.6,,101,110
14,James Anderson\anderja01,SG-SF,23,TOT,39,2,401,6.5,15.8,.413,2.6,7.5,.350,3.9,8.3,.470,3.0,3.5,.857,2.3,6.8,9.0,5.3,1.9,0.6,3.1,3.1,18.6,,107,105
14,James Anderson\anderja01,SF,23,SAS,10,0,94,6.0,13.6,.440,2.7,6.0,.455,3.3,7.6,.429,3.8,4.9,.778,1.6,6.0,7.6,4.9,1.6,1.1,3.8,3.8,18.4,,105,103
14,James Anderson\anderja01,SG,23,HOU,29,2,307,6.7,16.4,.406,2.6,8.0,.327,4.1,8.5,.481,2.8,3.1,.895,2.4,7.0,9.4,5.4,2.0,0.5,2.9,2.9,18.7,,108,106
