Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Quincy Acy\acyqu01,PF,22,TOR,29,0,342,4.4,7.9,.560,0.1,0.2,.500,4.3,7.7,.562,3.3,4.0,.816,3.2,4.9,8.1,1.2,1.4,1.6,1.8,5.6,12.2
2,Jeff Adrien\adrieje01,PF,26,CHA,52,5,713,3.6,8.5,.429,0.0,0.1,.000,3.6,8.4,.434,3.3,5.0,.650,3.4,6.5,9.9,1.8,0.9,1.4,1.6,4.0,10.6
3,Arron Afflalo\afflaar01,SF,27,ORL,64,64,2307,6.2,14.1,.439,1.1,3.7,.300,5.1,10.4,.489,3.0,3.5,.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5
4,Josh Akognon\akognjo01,PG,26,DAL,3,0,9,8.0,16.0,.500,4.0,8.0,.500,4.0,8.0,.500,0.0,0.0,,0.0,4.0,4.0,4.0,0.0,0.0,0.0,12.0,20.0
5,Cole Aldrich\aldrico01,C,24,TOT,45,0,388,4.1,7.4,.550,0.0,0.0,,4.1,7.4,.550,1.1,1.9,.600,2.8,8.4,11.1,0.8,0.5,2.1,2.1,5.6,9.3
5,Cole Aldrich\aldrico01,C,24,HOU,30,0,213,3.9,7.3,.535,0.0,0.0,,3.9,7.3,.535,0.7,1.5,.444,2.0,7.6,9.6,1.0,0.5,1.5,2.4,6.9,8.5
5,Cole Aldrich\aldrico01,C,24,SAC,15,0,175,4.3,7.6,.568,0.0,0.0,,4.3,7.6,.568,1.6,2.3,.727,3.7,9.3,13.0,0.6,0.4,2.9,1.9,3.9,10.3
6,LaMarcus Aldridge\aldrila01,PF,27,POR,74,74,2790,8.2,17.0,.484,0.0,0.2,.143,8.2,16.8,.488,3.6,4.5,.810,2.3,6.4,8.6,2.5,0.8,1.2,1.8,2.4,20.1
7,Lavoy Allen\allenla01,C,23,PHI,79,37,1669,4.4,9.8,.454,0.0,0.0,.000,4.4,9.8,.455,0.9,1.3,.717,3.4,5.1,8.5,1.6,0.5,1.2,1.2,3.9,9.8
8,Ray Allen\allenra02,SG,37,MIA,79,0,2035,5.2,11.5,.449,2.5,5.9,.419,2.7,5.6,.480,2.5,2.8,.886,0.7,3.1,3.8,2.4,1.2,0.3,1.8,2.3,15.3
9,Tony Allen\allento01,SG,31,MEM,79,79,2109,4.8,10.9,.445,0.1,0.4,.125,4.8,10.5,.458,2.3,3.2,.717,2.1,4.1,6.2,1.7,2.0,0.8,1.6,3.6,12.0
10,Al-Farouq Aminu\aminual01,SF,22,NOH,76,71,2066,3.9,8.3,.475,0.1,0.3,.211,3.9,7.9,.486,1.8,2.4,.737,2.4,7.8,10.2,1.8,1.6,0.9,2.0,2.7,9.7
11,Lou Amundson\amundlo01,PF,30,TOT,39,0,372,3.1,7.8,.395,0.0,0.0,,3.1,7.8,.395,1.2,3.5,.333,4.6,5.6,10.3,1.1,1.5,1.2,1.8,5.1,7.4
11,Lou Amundson\amundlo01,PF,30,MIN,20,0,161,3.1,8.5,.368,0.0,0.0,,3.1,8.5,.368,0.9,4.5,.200,5.1,5.4,10.5,0.7,1.6,1.3,2.5,5.8,7.2
11,Lou Amundson\amundlo01,PF,30,CHI,1,0,2,0.0,18.0,.000,0.0,0.0,,0.0,18.0,.000,0.0,0.0,,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Lou Amundson\amundlo01,PF,30,NOH,18,0,209,3.1,7.2,.429,0.0,0.0,,3.1,7.2,.429,1.4,2.8,.500,4.1,5.9,10.0,1.4,1.6,1.0,1.4,4.7,7.6
12,Chris Andersen\anderch01,C,34,MIA,42,0,624,4.1,7.1,.577,0.1,0.2,.667,4.0,6.9,.575,3.6,5.4,.677,3.3,6.6,9.9,1.0,0.9,2.5,1.4,5.1,11.9
13,Alan Anderson\anderal01,SF,30,TOR,65,2,1495,5.7,14.8,.383,2.3,6.9,.333,3.4,8.0,.426,3.0,3.5,.857,0.8,2.7,3.6,2.5,1.2,0.2,1.9,3.2,16.7
14,James Anderson\anderja01,SG-SF,23,TOT,39,2,401,4.7,11.3,.413,1.9,5.4,.350,2.8,5.9,.470,2.2,2.5,.857,1.6,4.8,6.5,3.8,1.3,0.4,2.2,2.2,13.4
14,James Anderson\anderja01,SF,23,SAS,10,0,94,4.2,9.6,.440,1.9,4.2,.455,2.3,5.4,.429,2.7,3.4,.778,1.1,4.2,5.4,3.4,1.1,0.8,2.7,2.7,13.0
14,James Anderson\anderja01,SG,23,HOU,29,2,307,4.8,11.8,.406,1.9,5.7,.327,2.9,6.1,.481,2.0,2.2,.895,1.8,5.0,6.8,3.9,1.4,0.4,2.1,2.1,13.5
15,Ryan Anderson\anderry01,PF,24,NOH,81,22,2503,6.8,16.0,.423,3.1,8.0,.382,3.7,8.0,.464,2.2,2.6,.844,2.7,4.7,7.5,1.4,0.6,0.4,1.4,2.6,18.8
16,Carmelo Anthony\anthoca01,PF,28,NYK,67,67,2482,9.7,21.6,.449,2.3,6.0,.379,7.4,15.6,.476,6.2,7.4,.830,1.9,4.7,6.7,2.5,0.8,0.5,2.5,3.0,27.8
17,Joel Anthony\anthojo01,C,30,MIA,62,3,566,2.2,4.3,.515,0.0,0.0,,2.2,4.3,.515,1.1,1.8,.607,2.9,4.5,7.3,0.8,0.8,2.7,1.4,3.1,5.5
18,Trevor Ariza\arizatr01,SF,27,WAS,56,15,1471,4.6,11.0,.417,1.9,5.1,.364,2.7,5.9,.463,1.9,2.3,.821,1.1,5.4,6.5,2.8,1.8,0.5,2.1,1.8,13.0
19,Darrell Arthur\arthuda01,PF,24,MEM,59,3,970,6.0,13.3,.451,0.2,0.7,.278,5.8,12.7,.460,1.2,1.7,.717,2.5,3.7,6.3,1.2,0.9,1.2,1.6,4.7,13.4
20,Omer Asik\asikom01,C,26,HOU,82,82,2464,4.9,9.0,.541,0.0,0.0,.000,4.9,9.0,.542,2.5,4.4,.562,4.0,9.9,14.0,1.1,0.7,1.3,2.5,3.3,12.2
21,D.J. Augustin\augusdj01,PG,25,IND,76,5,1226,3.0,8.6,.350,2.0,5.6,.353,1.1,3.1,.346,2.4,2.9,.838,0.6,2.1,2.7,5.0,1.0,0.1,2.0,1.9,10.5
22,Gustavo Ayon\ayongu01,C,27,TOT,55,3,734,4.5,8.2,.551,0.0,0.0,,4.5,8.2,.551,1.0,2.5,.400,2.9,6.8,9.8,3.5,1.1,0.8,2.3,5.2,10.0
22,Gustavo Ayon\ayongu01,C,27,ORL,43,3,571,4.2,7.9,.536,0.0,0.0,,4.2,7.9,.536,1.2,2.4,.500,2.5,6.3,8.8,3.7,0.8,0.8,2.4,5.2,9.6
