Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Quincy Acy\acyqu01,PF,25,SAC,59,29,876,4.9,8.8,.556,0.8,2.0,.388,4.1,6.8,.606,2.1,2.8,.735,2.7,5.1,7.7,1.1,1.2,1.0,1.1,4.2,12.6
2,Jordan Adams\adamsjo01,SG,21,MEM,2,0,15,4.8,14.4,.333,0.0,2.4,.000,4.8,12.0,.400,7.2,12.0,.600,0.0,4.8,4.8,7.2,7.2,0.0,4.8,4.8,16.8
3,Steven Adams\adamsst01,C,22,OKC,80,80,2014,4.7,7.6,.613,0.0,0.0,,4.7,7.6,.613,2.0,3.5,.582,3.9,5.6,9.5,1.1,0.8,1.6,1.5,4.0,11.4
4,Arron Afflalo\afflaar01,SG,30,NYK,71,57,2371,5.4,12.1,.443,1.4,3.6,.382,4.0,8.5,.469,1.7,2.0,.840,0.3,3.7,4.0,2.2,0.4,0.2,1.2,2.2,13.8
5,Alexis Ajinca\ajincal01,C,27,NOP,59,17,861,6.3,13.2,.476,0.0,0.0,.000,6.3,13.1,.478,2.2,2.6,.839,3.1,8.1,11.2,1.3,0.8,1.5,2.3,5.6,14.7
6,Cole Aldrich\aldrico01,C,27,LAC,60,5,800,6.0,10.1,.596,0.0,0.0,,6.0,10.1,.596,2.7,3.8,.714,3.9,9.1,13.0,2.3,2.1,3.1,2.9,6.3,14.8
7,LaMarcus Aldridge\aldrila01,PF,30,SAS,74,74,2261,8.5,16.6,.513,0.0,0.3,.000,8.5,16.4,.521,4.1,4.8,.858,2.8,7.3,10.1,1.8,0.6,1.3,1.6,2.4,21.2
8,Cliff Alexander\alexacl01,PF,20,POR,8,0,36,5.0,10.0,.500,0.0,0.0,,5.0,10.0,.500,0.0,0.0,,2.0,4.0,6.0,0.0,1.0,2.0,1.0,1.0,10.0
9,Lavoy Allen\allenla01,PF,26,IND,79,28,1599,4.3,8.3,.516,0.0,0.0,,4.3,8.3,.516,1.0,1.6,.630,3.6,5.9,9.5,1.7,0.6,0.9,1.6,3.3,9.6
10,Tony Allen\allento01,SG,34,MEM,64,57,1620,4.8,10.4,.458,0.3,0.9,.357,4.4,9.5,.468,2.0,3.1,.652,2.3,4.3,6.6,1.6,2.4,0.4,1.7,3.9,11.9
11,Al-Farouq Aminu\aminual01,SF,25,POR,82,82,2341,4.6,11.1,.416,1.9,5.4,.361,2.7,5.7,.468,1.8,2.4,.737,1.5,6.2,7.7,2.1,1.1,0.8,1.8,2.6,12.9
12,Lou Amundson\amundlo01,PF,33,NYK,29,0,204,3.4,9.4,.358,0.0,0.0,,3.4,9.4,.358,2.5,4.8,.519,4.1,4.6,8.6,2.1,1.1,1.2,2.6,7.8,9.2
13,Chris Andersen\anderch01,C,37,TOT,27,15,402,3.4,6.4,.528,0.4,1.3,.286,3.0,5.2,.586,2.2,3.2,.694,3.2,5.6,8.8,1.1,1.3,1.2,0.8,2.6,9.4
13,Chris Andersen\anderch01,C,37,MIA,7,1,36,4.0,10.0,.400,2.0,5.0,.400,2.0,5.0,.400,3.0,4.0,.750,3.0,6.0,9.0,3.0,1.0,3.0,2.0,4.0,13.0
13,Chris Andersen\anderch01,C,37,MEM,20,14,366,3.3,6.1,.548,0.2,0.9,.222,3.1,5.2,.604,2.2,3.1,.688,3.2,5.5,8.8,0.9,1.4,1.0,0.7,2.5,9.0
14,Alan Anderson\anderal01,SG,33,WAS,13,0,192,3.9,11.1,.356,2.3,6.9,.324,1.7,4.1,.409,2.1,2.8,.733,0.2,4.9,5.1,2.6,0.7,0.2,0.4,4.7,12.2
15,James Anderson\anderja01,SG,26,SAC,51,15,721,3.3,8.9,.376,1.1,4.3,.267,2.2,4.6,.478,1.1,1.4,.759,0.6,3.6,4.3,2.0,1.0,0.7,2.1,2.7,8.9
16,Justin Anderson\anderju01,SF,22,DAL,55,9,647,4.0,9.7,.406,1.2,4.6,.265,2.7,5.1,.533,2.4,3.1,.800,1.0,6.3,7.3,1.6,1.1,1.4,1.3,2.5,11.6
17,Kyle Anderson\anderky01,SF,22,SAS,78,11,1245,4.0,8.5,.468,0.3,1.1,.324,3.6,7.5,.488,1.8,2.4,.747,0.7,6.3,7.1,3.6,1.7,0.8,1.7,2.8,10.1
18,Ryan Anderson\anderry01,PF,27,NOP,66,7,2008,7.1,16.7,.427,2.3,6.4,.366,4.8,10.2,.466,3.6,4.1,.873,2.3,4.8,7.1,1.3,0.7,0.4,1.6,2.0,20.2
19,Giannis Antetokounmpo\antetgi01,PG,21,MIL,80,79,2823,6.5,12.9,.506,0.4,1.4,.257,6.2,11.5,.537,3.8,5.2,.724,1.4,6.4,7.8,4.4,1.2,1.4,2.7,3.3,17.2
20,Thanasis Antetokounmpo\antetth01,SF,23,NYK,2,0,6,18.0,24.0,.750,0.0,6.0,.000,18.0,18.0,1.000,0.0,0.0,,0.0,6.0,6.0,0.0,0.0,0.0,0.0,12.0,36.0
21,Carmelo Anthony\anthoca01,SF,31,NYK,72,72,2530,8.1,18.6,.434,1.5,4.4,.339,6.6,14.2,.463,4.8,5.7,.829,1.4,6.5,7.9,4.3,0.9,0.5,2.5,2.6,22.4
22,Joel Anthony\anthojo01,C,33,DET,19,0,96,2.3,3.7,.600,0.0,0.0,,2.3,3.7,.600,2.3,3.0,.750,3.0,4.9,7.9,0.4,0.7,4.5,0.7,5.6,6.8
23,Keith Appling\applike01,PG,23,ORL,5,0,27,2.7,10.7,.250,0.0,4.0,.000,2.7,6.7,.400,2.7,2.7,1.000,0.0,1.3,1.3,1.3,1.3,0.0,4.0,6.7,8.0
24,Trevor Ariza\arizatr01,SF,30,HOU,81,81,2859,4.5,10.8,.416,2.3,6.3,.371,2.2,4.5,.478,1.6,2.0,.783,0.8,3.8,4.6,2.4,2.0,0.3,1.4,2.2,12.9
25,Darrell Arthur\arthuda01,PF,27,DEN,70,16,1516,5.2,11.6,.452,1.1,2.8,.385,4.2,8.8,.473,0.9,1.3,.755,2.0,4.9,7.0,2.3,1.3,1.1,1.6,4.4,12.5
26,Omer Asik\asikom01,C,29,NOP,68,64,1178,3.2,6.0,.533,0.0,0.0,,3.2,6.0,.533,1.9,3.4,.545,3.7,9.0,12.7,0.8,0.6,0.7,1.8,3.8,8.2
27,D.J. Augustin\augusdj01,PG,28,TOT,62,0,1178,4.5,10.7,.423,2.1,5.1,.405,2.4,5.6,.440,3.1,3.9,.805,0.2,2.7,2.9,6.1,1.2,0.1,2.6,2.6,14.3
27,D.J. Augustin\augusdj01,PG,28,OKC,34,0,519,3.2,8.4,.380,1.7,4.2,.393,1.5,4.2,.367,1.8,2.4,.765,0.3,2.6,3.0,4.6,0.9,0.1,2.1,2.8,9.8
27,D.J. Augustin\augusdj01,PG,28,DEN,28,0,659,5.6,12.5,.445,2.4,5.8,.411,3.2,6.7,.475,4.2,5.1,.819,0.2,2.7,2.8,7.2,1.4,0.1,2.9,2.4,17.8
28,Jeff Ayres\pendeje02,C,28,LAC,17,0,107,4.0,7.7,.522,0.0,0.3,.000,4.0,7.4,.545,2.0,2.0,1.000,1.3,6.1,7.4,1.7,0.0,1.0,2.0,6.1,10.1
29,Luke Babbitt\babbilu01,SF,26,NOP,47,13,845,5.2,12.3,.422,1.9,4.6,.404,3.3,7.7,.433,1.7,2.1,.780,1.1,5.2,6.3,2.3,0.5,0.3,1.0,3.8,13.9
30,Cameron Bairstow\bairsca01,C,25,CHI,18,2,103,4.5,14.0,.325,0.3,1.7,.200,4.2,12.2,.343,2.4,2.8,.875,1.4,8.4,9.8,2.1,0.7,1.0,1.4,6.6,11.9
31,Leandro Barbosa\barbole01,SG,33,GSW,68,0,1079,5.7,12.3,.462,1.3,3.7,.355,4.4,8.7,.508,1.7,2.1,.839,0.9,3.0,3.9,2.7,1.5,0.3,1.8,3.6,14.4
32,J.J. Barea\bareajo01,PG,31,DAL,74,16,1667,6.8,15.4,.446,2.2,5.6,.385,4.7,9.7,.481,1.6,2.1,.771,0.6,2.7,3.3,6.5,0.6,0.0,2.4,2.4,17.4
33,Andrea Bargnani\bargnan01,C,30,BRK,46,0,634,7.2,15.8,.455,0.2,0.9,.188,7.0,14.9,.471,2.7,3.2,.825,1.6,3.9,5.5,1.0,0.2,0.5,1.5,3.5,17.3
34,Harrison Barnes\barneha02,SF,23,GSW,66,59,2042,5.2,11.2,.466,1.4,3.8,.383,3.8,7.4,.508,1.8,2.4,.761,1.4,4.4,5.7,2.1,0.7,0.2,1.0,2.4,13.6
35,Matt Barnes\barnema02,SF,35,MEM,76,45,2190,4.3,11.4,.381,2.0,6.1,.322,2.4,5.3,.449,1.8,2.3,.804,1.4,5.5,6.9,2.7,1.3,0.9,2.0,3.8,12.5
36,Will Barton\bartowi01,SG,25,DEN,82,1,2353,6.5,15.0,.432,1.7,5.0,.345,4.8,10.1,.476,3.3,4.1,.806,0.9,6.4,7.3,3.1,1.1,0.6,2.1,2.2,18.0
37,Brandon Bass\bassbr01,PF,30,LAL,66,0,1342,4.7,8.5,.549,0.0,0.1,.000,4.7,8.5,.552,3.4,4.0,.845,2.8,4.9,7.6,2.0,0.9,1.5,1.1,3.4,12.7
38,Nicolas Batum\batumni01,SF,27,CHO,70,70,2448,5.5,12.8,.426,2.0,5.9,.348,3.4,7.0,.492,2.4,2.8,.849,0.8,5.5,6.3,5.9,1.0,0.6,3.0,1.7,15.4
39,Jerryd Bayless\bayleje01,SG,27,MIL,52,18,1505,4.4,10.5,.423,2.4,5.5,.437,2.0,4.9,.408,1.7,2.2,.778,0.5,2.9,3.4,3.9,1.1,0.3,1.7,2.7,12.9
40,Aron Baynes\baynear01,C,29,DET,81,1,1233,5.7,11.2,.505,0.0,0.1,.000,5.7,11.2,.508,3.7,4.8,.764,4.1,7.1,11.2,1.5,0.6,1.5,2.0,4.4,15.0
41,Kent Bazemore\bazemke01,SF,26,ATL,75,68,2083,5.5,12.5,.441,1.9,5.3,.357,3.6,7.3,.502,2.1,2.6,.815,0.5,6.1,6.6,3.0,1.7,0.7,2.4,3.0,15.1
42,Bradley Beal\bealbr01,SG,22,WAS,55,35,1708,7.6,16.8,.449,2.2,5.7,.387,5.4,11.1,.481,2.8,3.7,.767,0.9,3.1,4.0,3.4,1.1,0.2,2.4,2.5,20.2
43,Michael Beasley\beaslmi01,PF,27,HOU,20,0,363,10.6,20.3,.522,0.3,0.9,.333,10.3,19.4,.531,3.8,4.9,.776,2.9,6.8,9.7,1.6,1.1,0.9,2.4,3.9,25.3
44,Marco Belinelli\belinma01,SG,29,SAC,68,7,1672,5.3,13.7,.386,2.0,6.4,.306,3.3,7.3,.456,2.5,3.0,.833,0.2,2.3,2.5,2.7,0.8,0.0,1.7,2.0,15.0
45,Anthony Bennett\bennean01,PF,22,TOR,19,0,84,3.4,11.6,.296,1.3,6.0,.214,2.1,5.6,.385,3.9,4.3,.900,2.6,7.3,9.9,0.0,2.1,0.0,1.7,3.4,12.0
46,Patrick Beverley\beverpa01,PG,27,HOU,71,63,2041,4.6,10.5,.434,2.2,5.5,.400,2.4,5.0,.472,1.1,1.6,.682,1.3,3.1,4.4,4.2,1.7,0.5,1.6,4.1,12.3
47,Bismack Biyombo\biyombi01,C,23,TOR,82,22,1808,3.1,5.7,.542,0.0,0.0,.000,3.1,5.7,.544,2.8,4.5,.628,3.6,9.4,13.0,0.6,0.4,2.6,1.4,4.5,9.0
48,Nemanja Bjelica\bjeline01,PF,27,MIN,60,0,1075,3.7,7.9,.468,1.6,4.2,.384,2.1,3.7,.564,1.3,1.8,.727,1.6,5.4,7.0,2.8,0.9,0.7,1.6,5.2,10.3
49,Tarik Black\blackta01,C,24,LAL,39,0,496,4.1,7.5,.548,0.0,0.0,,4.1,7.5,.548,1.4,3.3,.422,3.2,8.2,11.4,1.2,1.0,1.3,1.6,5.7,9.7
50,DeJuan Blair\blairde01,C,26,WAS,29,0,218,4.6,11.2,.412,0.0,0.2,.000,4.6,11.1,.418,0.8,2.1,.385,3.3,6.1,9.4,1.8,1.3,0.3,2.5,8.8,10.1
51,Steve Blake\blakest01,PG,35,DET,58,2,986,3.4,8.8,.388,1.9,5.5,.344,1.5,3.2,.461,0.6,0.7,.800,0.3,2.9,3.2,7.3,0.9,0.2,3.0,2.6,9.3
52,Eric Bledsoe\bledser01,PG,26,PHO,31,31,1059,7.6,16.7,.453,1.6,4.4,.372,5.9,12.3,.482,4.7,5.8,.802,0.6,3.6,4.2,6.5,2.1,0.6,3.7,2.5,21.5
53,Bojan Bogdanovic\bogdabo02,SF,26,BRK,79,39,2115,5.5,12.7,.433,2.2,5.8,.382,3.3,7.0,.474,1.9,2.2,.833,0.6,3.7,4.3,1.7,0.5,0.1,2.0,2.0,15.1
54,Andrew Bogut\bogutan01,C,31,GSW,70,66,1451,4.3,6.9,.627,0.0,0.0,1.000,4.3,6.9,.626,0.6,1.2,.480,3.0,9.2,12.2,4.0,0.8,2.8,2.1,5.5,9.3
55,Matt Bonner\bonnema01,C,35,SAS,30,2,206,5.1,10.0,.509,2.6,5.9,.441,2.4,4.0,.609,0.5,0.7,.750,0.5,4.2,4.7,1.6,1.0,0.2,0.5,2.8,13.3
56,Devin Booker\bookede01,SG,19,PHO,76,51,2108,6.3,14.8,.423,1.7,4.9,.343,4.6,9.9,.464,3.7,4.4,.840,0.5,2.7,3.2,3.4,0.8,0.3,2.7,3.8,17.9
57,Trevor Booker\booketr01,PF,28,UTA,79,2,1632,4.2,8.6,.490,0.3,0.9,.293,3.9,7.7,.513,1.6,2.3,.670,3.7,6.3,10.0,1.9,1.3,0.9,1.8,3.7,10.2
58,Chris Bosh\boshch01,PF,31,MIA,53,53,1778,7.2,15.5,.467,1.6,4.5,.365,5.6,11.0,.508,4.3,5.4,.795,1.0,6.9,7.9,2.6,0.7,0.7,1.6,2.0,20.4
59,Avery Bradley\bradlav01,SG,25,BOS,76,72,2536,6.5,14.5,.447,2.1,5.8,.361,4.4,8.7,.505,1.4,1.7,.780,0.7,2.4,3.1,2.2,1.7,0.3,1.5,2.3,16.4
60,Elton Brand\brandel01,C,36,PHI,17,1,225,5.0,11.5,.431,0.0,0.2,.000,5.0,11.4,.437,1.3,1.4,.889,1.4,8.6,10.1,2.9,1.4,1.3,1.8,5.1,11.2
61,Corey Brewer\breweco01,SF,29,HOU,82,12,1669,4.6,11.9,.384,1.3,4.8,.272,3.3,7.1,.460,2.3,3.0,.750,0.9,3.4,4.3,2.4,1.8,0.4,1.7,3.6,12.7
62,Aaron Brooks\brookaa01,PG,31,CHI,69,0,1108,6.1,15.2,.401,2.1,6.0,.357,4.0,9.2,.430,1.6,2.1,.766,0.7,2.6,3.3,5.8,1.0,0.3,2.7,4.3,16.0
63,Anthony Brown\brownan02,SF,23,LAL,29,11,599,2.3,7.6,.310,1.2,4.2,.286,1.1,3.4,.339,1.0,1.2,.850,0.5,3.7,4.2,1.1,0.8,0.3,0.9,2.0,6.9
64,Lorenzo Brown\brownlo01,PG,25,PHO,8,0,61,4.7,14.8,.320,0.6,4.7,.125,4.1,10.0,.412,1.8,2.4,.750,0.0,4.1,4.1,6.5,1.8,0.6,5.3,2.4,11.8
65,Markel Brown\brownma02,SG,24,BRK,62,6,982,4.7,11.8,.394,1.4,4.4,.314,3.3,7.4,.443,2.6,3.4,.755,0.8,3.6,4.5,3.3,1.4,0.5,2.0,3.4,13.3
66,Kobe Bryant\bryanko01,SF,37,LAL,66,66,1863,7.7,21.5,.358,2.6,9.0,.285,5.1,12.5,.410,4.5,5.4,.826,0.8,4.0,4.8,3.6,1.2,0.3,2.5,2.2,22.4
67,Chase Budinger\budinch01,SF,27,TOT,66,2,929,4.0,9.3,.435,0.9,3.3,.279,3.1,5.9,.523,1.5,2.2,.696,1.7,4.1,5.8,2.5,1.2,0.4,1.7,2.4,10.5
67,Chase Budinger\budinch01,SF,27,IND,49,2,729,4.0,9.6,.418,1.0,3.4,.290,3.0,6.2,.488,1.7,2.4,.708,1.5,4.4,6.0,2.4,1.4,0.4,1.5,2.3,10.7
67,Chase Budinger\budinch01,SF,27,PHO,17,0,200,4.1,8.1,.511,0.7,3.1,.235,3.4,5.0,.679,0.9,1.4,.625,2.2,3.1,5.2,2.7,0.5,0.2,2.3,2.9,9.9
68,Reggie Bullock\bullore01,SF,24,DET,37,0,429,3.6,8.2,.439,1.8,4.4,.415,1.8,3.8,.467,1.2,1.3,.933,1.2,4.5,5.7,2.3,0.8,0.2,0.7,2.4,10.2
69,Trey Burke\burketr01,PG,23,UTA,64,0,1366,6.9,16.7,.413,2.3,6.7,.344,4.6,10.0,.460,1.8,2.2,.817,0.5,2.5,3.0,3.9,0.9,0.2,2.1,2.3,17.9
70,Alec Burks\burksal01,SG,24,UTA,31,3,797,6.2,15.1,.410,1.4,3.6,.405,4.7,11.5,.412,4.8,6.4,.752,0.7,4.2,4.9,2.8,0.8,0.2,2.3,3.2,18.6
71,Caron Butler\butleca01,SF,35,SAC,17,1,176,5.1,12.1,.424,0.6,3.7,.167,4.5,8.4,.537,2.0,2.5,.833,1.0,3.5,4.5,2.0,1.8,0.2,0.6,3.9,12.9
72,Jimmy Butler\butleji01,SG,26,CHI,67,67,2474,6.8,15.1,.454,0.9,3.0,.312,5.9,12.1,.489,5.7,6.9,.832,1.1,4.1,5.2,4.7,1.6,0.6,1.9,1.8,20.4
73,Rasual Butler\butlera01,SF,36,SAS,46,0,432,4.1,8.7,.471,1.2,4.1,.306,2.8,4.6,.618,0.9,1.3,.688,0.2,4.4,4.7,2.0,1.1,1.9,0.7,0.9,10.3
74,Bruno Caboclo\cabocbr01,SF,20,TOR,6,1,43,0.8,10.0,.083,0.8,5.9,.143,0.0,4.2,.000,0.0,0.0,,0.8,0.8,1.7,0.8,1.7,0.8,3.3,1.7,2.5
75,Jose Calderon\caldejo01,PG,34,NYK,72,72,2024,3.7,8.1,.459,1.5,3.6,.414,2.2,4.5,.496,0.7,0.9,.875,0.4,3.7,4.1,5.3,1.1,0.1,1.5,2.4,9.7
76,Kentavious Caldwell-Pope\caldwke01,SG,22,DET,76,76,2789,5.2,12.4,.420,1.5,4.8,.309,3.7,7.6,.489,2.4,2.9,.811,0.9,2.7,3.6,1.8,1.4,0.2,1.4,2.2,14.3
77,Isaiah Canaan\canaais01,SG,24,PHI,77,39,1966,4.8,13.2,.360,3.2,8.9,.363,1.5,4.3,.354,2.7,3.3,.833,0.4,2.8,3.2,2.5,1.0,0.2,1.7,2.4,15.5
78,Clint Capela\capelca01,C,21,HOU,77,35,1471,5.7,9.7,.582,0.0,0.0,.000,5.7,9.7,.583,2.0,5.2,.379,4.7,7.3,12.1,1.2,1.4,2.3,1.5,4.6,13.3
79,DeMarre Carroll\carrode01,SF,29,TOR,26,22,786,4.8,12.4,.389,2.1,5.4,.390,2.7,7.0,.388,1.4,2.3,.600,1.4,4.2,5.6,1.2,2.0,0.3,1.3,2.9,13.1
80,Vince Carter\cartevi01,SG,39,MEM,60,3,1005,4.8,12.3,.388,2.1,6.1,.349,2.7,6.2,.425,2.5,3.0,.833,1.1,4.1,5.2,2.0,1.4,0.6,1.3,3.6,14.1
81,Michael Carter-Williams\cartemi01,PG,24,MIL,54,37,1649,5.5,12.1,.452,0.3,1.2,.273,5.2,10.9,.472,2.3,3.5,.654,1.0,5.0,6.0,6.1,1.7,0.9,3.3,3.5,13.6
82,Omri Casspi\casspom01,SF,27,SAC,69,21,1880,5.7,11.9,.481,2.1,5.2,.409,3.6,6.7,.537,2.0,3.0,.648,1.1,6.7,7.9,1.8,1.1,0.3,1.8,2.9,15.6
83,Willie Cauley-Stein\caulewi01,C,22,SAC,66,39,1412,4.9,8.6,.563,0.0,0.1,.000,4.9,8.6,.567,2.1,3.2,.648,3.4,5.6,9.0,0.9,1.2,1.7,1.2,3.7,11.8
84,Mario Chalmers\chalmma01,PG,29,TOT,61,7,1373,4.8,11.6,.410,1.2,3.9,.309,3.6,7.7,.461,5.7,6.9,.832,0.6,3.5,4.1,6.0,2.3,0.3,2.9,4.7,16.5
84,Mario Chalmers\chalmma01,PG,29,MIA,6,0,120,3.0,9.6,.313,0.3,3.3,.091,2.7,6.3,.429,3.6,3.9,.923,0.3,3.9,4.2,5.7,2.4,0.3,2.7,4.8,9.9
