Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Quincy Acy\acyqu01,PF,25,SAC,59,29,876,6.5,11.7,.556,1.0,2.7,.388,5.5,9.0,.606,2.7,3.7,.735,3.6,6.7,10.3,1.5,1.6,1.3,1.5,5.6,16.8,,124,108
2,Jordan Adams\adamsjo01,SG,21,MEM,2,0,15,6.9,20.6,.333,0.0,3.4,.000,6.9,17.2,.400,10.3,17.2,.600,0.0,6.9,6.9,10.3,10.3,0.0,6.9,6.9,24.0,,84,90
3,Steven Adams\adamsst01,C,22,OKC,80,80,2014,6.4,10.5,.613,0.0,0.0,,6.4,10.5,.613,2.8,4.8,.582,5.4,7.7,13.1,1.5,1.0,2.2,2.1,5.5,15.7,,123,105
4,Arron Afflalo\afflaar01,SG,30,NYK,71,57,2371,7.7,17.3,.443,2.0,5.2,.382,5.7,12.2,.469,2.4,2.8,.840,0.5,5.3,5.8,3.1,0.5,0.2,1.8,3.1,19.7,,105,112
5,Alexis Ajinca\ajincal01,C,27,NOP,59,17,861,8.6,18.1,.476,0.0,0.1,.000,8.6,18.1,.478,3.0,3.6,.839,4.3,11.2,15.5,1.8,1.1,2.1,3.1,7.7,20.3,,100,107
6,Cole Aldrich\aldrico01,C,27,LAC,60,5,800,8.4,14.1,.596,0.0,0.0,,8.4,14.1,.596,3.8,5.3,.714,5.4,12.7,18.0,3.1,2.9,4.3,4.0,8.7,20.5,,113,94
7,LaMarcus Aldridge\aldrila01,PF,30,SAS,74,74,2261,12.1,23.7,.513,0.0,0.4,.000,12.1,23.3,.521,5.9,6.8,.858,4.0,10.3,14.3,2.5,0.9,1.8,2.2,3.4,30.1,,114,99
8,Cliff Alexander\alexacl01,PF,20,POR,8,0,36,6.9,13.9,.500,0.0,0.0,,6.9,13.9,.500,0.0,0.0,,2.8,5.6,8.3,0.0,1.4,2.8,1.4,1.4,13.9,,100,107
9,Lavoy Allen\allenla01,PF,26,IND,79,28,1599,5.9,11.5,.516,0.0,0.0,,5.9,11.5,.516,1.4,2.3,.630,5.0,8.1,13.2,2.4,0.8,1.3,2.1,4.6,13.3,,110,104
10,Tony Allen\allento01,SG,34,MEM,64,57,1620,6.8,14.9,.458,0.5,1.3,.357,6.4,13.6,.468,2.9,4.4,.652,3.3,6.1,9.4,2.2,3.5,0.6,2.5,5.6,17.0,,101,105
11,Al-Farouq Aminu\aminual01,SF,25,POR,82,82,2341,6.4,15.4,.416,2.7,7.5,.361,3.7,7.9,.468,2.5,3.3,.737,2.1,8.6,10.7,2.9,1.5,1.1,2.6,3.7,17.9,,105,107
12,Lou Amundson\amundlo01,PF,33,NYK,29,0,204,4.8,13.4,.358,0.0,0.0,,4.8,13.4,.358,3.5,6.8,.519,5.8,6.6,12.3,3.0,1.5,1.8,3.8,11.1,13.1,,87,106
13,Chris Andersen\anderch01,C,37,TOT,27,15,402,4.9,9.2,.528,0.5,1.8,.286,4.4,7.4,.586,3.2,4.6,.694,4.6,7.9,12.5,1.5,1.9,1.7,1.2,3.7,13.4,,127,106
13,Chris Andersen\anderch01,C,37,MIA,7,1,36,5.7,14.2,.400,2.8,7.1,.400,2.8,7.1,.400,4.3,5.7,.750,4.3,8.5,12.8,4.3,1.4,4.3,2.8,5.7,18.5,,113,100
13,Chris Andersen\anderch01,C,37,MEM,20,14,366,4.8,8.7,.548,0.3,1.3,.222,4.5,7.5,.604,3.1,4.5,.688,4.6,7.9,12.5,1.3,2.0,1.4,1.0,3.5,12.9,,129,106
14,Alan Anderson\anderal01,SG,33,WAS,13,0,192,5.3,15.0,.356,3.0,9.4,.324,2.3,5.6,.409,2.8,3.8,.733,0.3,6.6,6.9,3.6,1.0,0.3,0.5,6.3,16.5,,107,108
15,James Anderson\anderja01,SG,26,SAC,51,15,721,4.5,11.9,.376,1.5,5.7,.267,2.9,6.1,.478,1.5,1.9,.759,0.9,4.9,5.7,2.7,1.4,0.9,2.8,3.6,11.9,,87,111
16,Justin Anderson\anderju01,SF,22,DAL,55,9,647,5.6,13.8,.406,1.7,6.5,.265,3.9,7.2,.533,3.5,4.3,.800,1.4,9.0,10.4,2.3,1.5,2.0,1.9,3.5,16.4,,103,104
17,Kyle Anderson\anderky01,SF,22,SAS,78,11,1245,5.7,12.1,.468,0.5,1.5,.324,5.2,10.6,.488,2.5,3.4,.747,1.0,9.0,10.0,5.1,2.5,1.2,2.4,4.0,14.4,,104,97
18,Ryan Anderson\anderry01,PF,27,NOP,66,7,2008,9.8,22.9,.427,3.2,8.8,.366,6.6,14.1,.466,4.9,5.6,.873,3.2,6.5,9.8,1.8,0.9,0.6,2.2,2.7,27.8,,108,112
19,Giannis Antetokounmpo\antetgi01,PG,21,MIL,80,79,2823,9.3,18.3,.506,0.5,2.0,.257,8.8,16.3,.537,5.3,7.4,.724,2.0,9.0,11.0,6.2,1.7,2.0,3.8,4.7,24.4,,109,106
20,Thanasis Antetokounmpo\antetth01,SF,23,NYK,2,0,6,25.7,34.3,.750,0.0,8.6,.000,25.7,25.7,1.000,0.0,0.0,,0.0,8.6,8.6,0.0,0.0,0.0,0.0,17.1,51.4,,140,110
21,Carmelo Anthony\anthoca01,SF,31,NYK,72,72,2530,11.5,26.6,.434,2.1,6.3,.339,9.4,20.3,.463,6.8,8.2,.829,2.0,9.3,11.3,6.1,1.3,0.8,3.6,3.7,32.0,,107,107
22,Joel Anthony\anthojo01,C,33,DET,19,0,96,3.2,5.3,.600,0.0,0.0,,3.2,5.3,.600,3.2,4.2,.750,4.2,6.8,11.0,0.5,1.1,6.3,1.1,7.9,9.5,,136,99
23,Keith Appling\applike01,PG,23,ORL,5,0,27,3.7,14.8,.250,0.0,5.6,.000,3.7,9.3,.400,3.7,3.7,1.000,0.0,1.9,1.9,1.9,1.9,0.0,5.6,9.3,11.1,,57,110
24,Trevor Ariza\arizatr01,SF,30,HOU,81,81,2859,6.1,14.8,.416,3.2,8.6,.371,3.0,6.2,.478,2.2,2.8,.783,1.2,5.1,6.3,3.2,2.8,0.4,1.9,3.0,17.6,,110,108
25,Darrell Arthur\arthuda01,PF,27,DEN,70,16,1516,7.3,16.2,.452,1.5,3.9,.385,5.8,12.3,.473,1.3,1.8,.755,2.8,6.8,9.7,3.2,1.8,1.6,2.2,6.1,17.4,,104,108
